time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;AuxLoad_Xfmr_transformer_terminal1_V_re;AuxLoad_Xfmr_transformer_terminal1_V_im;AuxLoad_Xfmr_transformer_terminal1_i_re;AuxLoad_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_tap_value;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_ipCmdPu;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_iqCmdPu;Wind_Turbine_WPP_UWPRefPu;Wind_Turbine_WPP_wPPControl2015_qControl_UWPPu;Wind_Turbine_WPP_wPPControl2015_qControl_QWPPu;Wind_Turbine_WPP_omegaRefPu;
0.000000;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000001;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000002;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000004;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000008;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000016;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000032;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000064;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000128;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
0.000192;1.043539;0.043481;1.043539;0.043481;0.009765;-0.004385;1.043539;0.043481;-0.727228;-0.025510;10.000000;0.808265;-0.020609;1.044982;1.044982;0.021536;1.000000;
