time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;AuxLoad_Xfmr_transformer_terminal1_V_re;AuxLoad_Xfmr_transformer_terminal1_V_im;AuxLoad_Xfmr_transformer_terminal1_i_re;AuxLoad_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_tap_value;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_ipCmdPu;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_iqCmdPu;Wind_Turbine_WPP_UWPRefPu;Wind_Turbine_WPP_wPPControl2015_qControl_UWPPu;Wind_Turbine_WPP_wPPControl2015_qControl_QWPPu;Wind_Turbine_WPP_omegaRefPu;
0.000000;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000001;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000002;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000004;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000008;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000016;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000032;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000064;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031557;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021593;1.000000;
0.000128;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031558;10.000000;0.808265;-0.020609;1.044982;1.044228;0.021592;1.000000;
0.000256;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031558;10.000000;0.808266;-0.020609;1.044982;1.044228;0.021591;1.000000;
0.000512;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726991;-0.031560;10.000000;0.808266;-0.020609;1.044982;1.044228;0.021590;1.000000;
0.000768;1.042383;0.052195;1.042383;0.052195;0.009802;-0.004302;1.042383;0.052195;-0.726992;-0.031561;10.000000;0.808267;-0.020609;1.044982;1.044228;0.021588;1.000000;
0.001000;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021587;1.000000;
0.001000;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021587;1.000000;
0.001001;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021587;1.000000;
0.001002;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021587;1.000000;
0.001004;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021587;1.000000;
0.001008;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021586;1.000000;
0.001016;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021586;1.000000;
0.001032;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021586;1.000000;
0.001064;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726993;-0.031563;10.000000;0.808268;-0.020609;1.044982;1.044228;0.021586;1.000000;
0.001128;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726994;-0.031564;10.000000;0.808269;-0.020609;1.044982;1.044228;0.021586;1.000000;
0.001256;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726994;-0.031564;10.000000;0.808270;-0.020609;1.044982;1.044228;0.021585;1.000000;
0.001512;1.042383;0.052196;1.042383;0.052196;0.009802;-0.004302;1.042383;0.052196;-0.726996;-0.031566;10.000000;0.808271;-0.020609;1.044982;1.044227;0.021584;1.000000;
0.002024;1.042382;0.052196;1.042382;0.052196;0.009802;-0.004302;1.042382;0.052196;-0.727000;-0.031569;10.000000;0.808276;-0.020609;1.044982;1.044227;0.021581;1.000000;
0.003048;1.042382;0.052197;1.042382;0.052197;0.009802;-0.004302;1.042382;0.052197;-0.727010;-0.031574;10.000000;0.808288;-0.020609;1.044982;1.044227;0.021576;1.000000;
