time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000001000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000002000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000004000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000008000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000016000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000032000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000064000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000128000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000256000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.000512000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.001024000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.002048000;1.044e+00;7.500e-01;-2.601e-07;7.181e-01;-2.490e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.004096000;1.044e+00;7.500e-01;-5.663e-07;7.181e-01;-5.422e-07;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.341e-01;1.000e+00
0.008192000;1.044e+00;7.500e-01;-1.885e-06;7.180e-01;-1.805e-06;1.051e+00;1.000e+01;7.338e-01;-2.058e-02;1.051e+00;1.000e+00;7.340e-01;1.000e+00
0.012288000;1.044e+00;7.499e-01;-8.807e-07;7.179e-01;-8.432e-07;1.051e+00;1.000e+01;7.337e-01;-2.058e-02;1.051e+00;1.000e+00;7.339e-01;1.000e+00
