time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;1.050e+00;-3.330e-01;2.160e-01;-3.171e-01;2.057e-01;1.050e+00;-3.171e-01;2.057e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.989994000;1.050e+00;-3.330e-01;2.160e-01;-3.171e-01;2.057e-01;1.050e+00;-3.171e-01;2.057e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990010000;1.050e+00;-3.330e-01;2.160e-01;-3.172e-01;2.057e-01;1.050e+00;-3.171e-01;2.057e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990026000;1.050e+00;-3.330e-01;2.160e-01;-3.172e-01;2.057e-01;1.050e+00;-3.172e-01;2.057e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990058000;1.050e+00;-3.330e-01;2.160e-01;-3.172e-01;2.058e-01;1.050e+00;-3.172e-01;2.058e-01;1.050e+00;-1.665e-03;1.080e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990122000;1.049e+00;-3.328e-01;2.158e-01;-3.171e-01;2.056e-01;1.049e+00;-3.171e-01;2.058e-01;1.049e+00;-1.664e-03;1.079e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990250000;1.049e+00;-3.326e-01;2.158e-01;-3.171e-01;2.058e-01;1.049e+00;-3.171e-01;2.058e-01;1.049e+00;-1.663e-03;1.079e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990378000;1.048e+00;-3.324e-01;2.156e-01;-3.171e-01;2.057e-01;1.048e+00;-3.171e-01;2.057e-01;1.048e+00;-1.662e-03;1.078e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990408000;1.048e+00;-3.324e-01;2.156e-01;-3.172e-01;2.057e-01;1.048e+00;-3.172e-01;2.057e-01;1.048e+00;-1.662e-03;1.078e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990424000;1.048e+00;-3.324e-01;2.156e-01;-3.172e-01;2.057e-01;1.048e+00;-3.172e-01;2.057e-01;1.048e+00;-1.662e-03;1.078e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990440000;1.048e+00;-3.322e-01;2.156e-01;-3.170e-01;2.058e-01;1.048e+00;-3.170e-01;2.058e-01;1.048e+00;-1.661e-03;1.078e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990472000;1.048e+00;-3.322e-01;2.156e-01;-3.171e-01;2.058e-01;1.048e+00;-3.171e-01;2.058e-01;1.048e+00;-1.661e-03;1.078e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990536000;1.047e+00;-3.322e-01;2.154e-01;-3.172e-01;2.057e-01;1.047e+00;-3.172e-01;2.059e-01;1.047e+00;-1.661e-03;1.077e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990664000;1.047e+00;-3.320e-01;2.154e-01;-3.172e-01;2.058e-01;1.047e+00;-3.172e-01;2.058e-01;1.047e+00;-1.660e-03;1.077e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.990920000;1.045e+00;-3.316e-01;2.152e-01;-3.172e-01;2.059e-01;1.045e+00;-3.172e-01;2.058e-01;1.045e+00;-1.658e-03;1.076e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.991176000;1.044e+00;-3.312e-01;2.148e-01;-3.172e-01;2.057e-01;1.044e+00;-3.172e-01;2.059e-01;1.044e+00;-1.656e-03;1.074e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.991688000;1.042e+00;-3.304e-01;2.144e-01;-3.172e-01;2.058e-01;1.042e+00;-3.172e-01;2.058e-01;1.042e+00;-1.652e-03;1.072e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.991944000;1.040e+00;-3.298e-01;2.142e-01;-3.170e-01;2.059e-01;1.040e+00;-3.170e-01;2.059e-01;1.040e+00;-1.649e-03;1.071e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.992200000;1.039e+00;-3.294e-01;2.140e-01;-3.170e-01;2.060e-01;1.039e+00;-3.170e-01;2.060e-01;1.039e+00;-1.647e-03;1.070e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.992712000;1.036e+00;-3.286e-01;2.136e-01;-3.170e-01;2.061e-01;1.037e+00;-3.170e-01;2.061e-01;1.036e+00;-1.643e-03;1.068e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.992968000;1.035e+00;-3.282e-01;2.134e-01;-3.170e-01;2.061e-01;1.035e+00;-3.170e-01;2.061e-01;1.035e+00;-1.641e-03;1.067e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.993480000;1.033e+00;-3.276e-01;2.130e-01;-3.172e-01;2.063e-01;1.033e+00;-3.172e-01;2.063e-01;1.033e+00;-1.638e-03;1.065e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.993992000;1.030e+00;-3.268e-01;2.126e-01;-3.173e-01;2.064e-01;1.030e+00;-3.172e-01;2.064e-01;1.030e+00;-1.634e-03;1.063e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
29.994504000;1.028e+00;-3.260e-01;2.122e-01;-3.173e-01;2.065e-01;1.028e+00;-3.172e-01;2.065e-01;1.028e+00;-1.630e-03;1.061e-03;5.000e+01;1.000e+01;-3.330e-01;2.160e-01;5.000e+01
