time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;-6.660e-01;1.612e-09;-6.660e-01;5.664e-09;1.000e+00;-6.660e-01;3.832e-10;1.000e+00;-3.330e-03;-1.039e-09;1.000e+01;-6.660e-01;9.000e-05
0.000001000;1.000e+00;-6.660e-01;1.611e-09;-6.660e-01;5.662e-09;1.000e+00;-6.660e-01;2.904e-10;1.000e+00;-3.330e-03;-1.085e-09;1.000e+01;-6.660e-01;9.000e-05
29.999994000;1.000e+00;-6.660e-01;1.690e-09;-6.660e-01;2.311e-09;1.000e+00;-6.660e-01;1.051e-09;1.000e+00;-3.330e-03;-2.369e-09;1.000e+01;-6.660e-01;9.000e-05
29.999994000;4.533e-01;-3.020e-01;1.681e-09;-6.662e-01;2.350e-09;4.533e-01;-6.662e-01;8.246e-10;4.533e-01;-1.510e-03;-2.248e-09;1.000e+01;-6.660e-01;9.000e-05
30.000058000;4.533e-01;-3.020e-01;1.613e-09;-6.662e-01;2.242e-09;4.533e-01;-6.662e-01;-1.682e-11;4.533e-01;-1.510e-03;-1.775e-09;1.000e+01;-6.660e-01;9.000e-05
30.000122000;4.533e-01;-3.020e-01;1.590e-09;-6.662e-01;2.157e-09;4.533e-01;-6.662e-01;4.412e-04;4.533e-01;-1.510e-03;-1.819e-09;1.000e+01;-6.660e-01;9.000e-05
30.000250000;4.533e-01;-3.020e-01;1.559e-09;-6.662e-01;2.046e-09;4.533e-01;-6.662e-01;4.412e-04;4.533e-01;-1.510e-03;-1.895e-09;1.000e+01;-6.660e-01;9.000e-05
30.000378000;4.534e-01;-3.020e-01;1.518e-09;-6.661e-01;1.908e-09;4.533e-01;-6.662e-01;4.412e-04;4.534e-01;-1.510e-03;-2.005e-09;1.000e+01;-6.660e-01;9.000e-05
30.000506000;4.534e-01;-3.020e-01;2.000e-04;-6.661e-01;4.412e-04;4.534e-01;-6.661e-01;4.412e-04;4.534e-01;-1.510e-03;9.979e-07;1.000e+01;-6.660e-01;9.000e-05
30.000634000;4.534e-01;-3.022e-01;2.000e-04;-6.666e-01;4.411e-04;4.534e-01;-6.666e-01;8.823e-04;4.534e-01;-1.511e-03;9.977e-07;1.000e+01;-6.660e-01;9.000e-05
30.000762000;4.534e-01;-3.022e-01;4.000e-04;-6.666e-01;8.823e-04;4.534e-01;-6.666e-01;8.823e-04;4.534e-01;-1.511e-03;1.997e-06;1.000e+01;-6.660e-01;9.000e-05
30.000890000;4.534e-01;-3.022e-01;4.000e-04;-6.665e-01;8.822e-04;4.534e-01;-6.665e-01;1.323e-03;4.534e-01;-1.511e-03;1.997e-06;1.000e+01;-6.660e-01;9.000e-05
30.000953000;4.534e-01;-3.024e-01;6.000e-04;-6.670e-01;1.323e-03;4.534e-01;-6.670e-01;1.323e-03;4.534e-01;-1.512e-03;2.997e-06;1.000e+01;-6.660e-01;9.000e-05
30.000985000;4.534e-01;-3.024e-01;6.000e-04;-6.670e-01;1.323e-03;4.534e-01;-6.670e-01;1.323e-03;4.534e-01;-1.512e-03;2.996e-06;1.000e+01;-6.660e-01;9.000e-05
30.001017000;4.534e-01;-3.024e-01;6.000e-04;-6.670e-01;1.323e-03;4.534e-01;-6.670e-01;1.764e-03;4.534e-01;-1.512e-03;2.995e-06;1.000e+01;-6.660e-01;9.000e-05
30.001081000;4.534e-01;-3.024e-01;8.000e-04;-6.669e-01;1.764e-03;4.534e-01;-6.670e-01;1.764e-03;4.534e-01;-1.512e-03;3.995e-06;1.000e+01;-6.660e-01;9.000e-05
30.001145000;4.534e-01;-3.026e-01;8.000e-04;-6.674e-01;1.764e-03;4.534e-01;-6.674e-01;2.206e-03;4.534e-01;-1.513e-03;3.995e-06;1.000e+01;-6.660e-01;9.000e-05
30.001209000;4.534e-01;-3.026e-01;1.000e-03;-6.674e-01;2.205e-03;4.534e-01;-6.674e-01;2.205e-03;4.534e-01;-1.513e-03;4.995e-06;1.000e+01;-6.660e-01;9.000e-05
