time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_VoltageInjTerminal;Bess_GEN_ActiveCurrentInjTerminal;Bess_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;2.167e-01;-6.383e-01;2.074e-01;1.109e+00;1.055e+00;-6.100e-01;2.481e-01;1.044e+00;-4.000e-01;1.300e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.000001000;1.044e+00;-6.667e-01;2.167e-01;-6.383e-01;2.074e-01;1.109e+00;1.055e+00;-6.100e-01;2.481e-01;1.044e+00;-4.000e-01;1.300e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.000032000;1.044e+00;-6.667e-01;2.167e-01;-6.383e-01;2.074e-01;1.109e+00;1.055e+00;-6.100e-01;2.481e-01;1.044e+00;-4.000e-01;1.300e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.000064000;1.044e+00;-6.667e-01;2.166e-01;-6.383e-01;2.074e-01;1.109e+00;1.055e+00;-6.100e-01;2.480e-01;1.044e+00;-4.000e-01;1.300e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.000128000;1.044e+00;-6.667e-01;2.166e-01;-6.383e-01;2.074e-01;1.109e+00;1.055e+00;-6.100e-01;2.480e-01;1.044e+00;-4.000e-01;1.300e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.000256000;1.044e+00;-6.667e-01;2.165e-01;-6.383e-01;2.073e-01;1.109e+00;1.055e+00;-6.100e-01;2.480e-01;1.044e+00;-4.000e-01;1.299e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.000512000;1.044e+00;-6.667e-01;2.164e-01;-6.383e-01;2.072e-01;1.109e+00;1.055e+00;-6.100e-01;2.478e-01;1.044e+00;-4.000e-01;1.299e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.001024000;1.044e+00;-6.666e-01;2.162e-01;-6.383e-01;2.070e-01;1.109e+00;1.055e+00;-6.100e-01;2.476e-01;1.044e+00;-4.000e-01;1.297e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.001536000;1.044e+00;-6.666e-01;2.160e-01;-6.383e-01;2.068e-01;1.109e+00;1.055e+00;-6.100e-01;2.474e-01;1.044e+00;-4.000e-01;1.296e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
0.002536000;1.044e+00;-6.666e-01;2.156e-01;-6.382e-01;2.064e-01;1.109e+00;1.055e+00;-6.101e-01;2.470e-01;1.044e+00;-4.000e-01;1.294e-01;-6.667e-01;2.167e-01;1.109e+00;5.000e+01;5.000e+01
