time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;-6.672e-09;-6.383e-01;-1.986e-09;1.045e+00;-6.222e-01;1.704e-02;1.044e+00;-4.000e-01;3.059e-09;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.106024000;1.044e+00;-6.667e-01;-4.900e-04;-6.383e-01;-4.692e-04;1.045e+00;-6.222e-01;1.658e-02;1.044e+00;-4.000e-01;-2.940e-04;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.110024000;1.044e+00;-6.667e-01;-5.117e-04;-6.383e-01;-4.899e-04;1.045e+00;-6.222e-01;1.655e-02;1.044e+00;-4.000e-01;-3.070e-04;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.200024000;1.044e+00;-6.667e-01;-1.060e-03;-6.383e-01;-1.015e-03;1.045e+00;-6.222e-01;1.603e-02;1.044e+00;-4.000e-01;-6.360e-04;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.201024000;1.044e+00;-6.667e-01;-1.067e-03;-6.383e-01;-1.021e-03;1.044e+00;-6.222e-01;1.602e-02;1.044e+00;-4.000e-01;-6.400e-04;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.317024000;1.044e+00;-6.667e-01;-1.828e-03;-6.383e-01;-1.751e-03;1.044e+00;-6.222e-01;1.530e-02;1.044e+00;-4.000e-01;-1.097e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.319024000;1.044e+00;-6.667e-01;-1.842e-03;-6.383e-01;-1.763e-03;1.044e+00;-6.222e-01;1.528e-02;1.044e+00;-4.000e-01;-1.105e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.320024000;1.044e+00;-6.667e-01;-1.848e-03;-6.383e-01;-1.770e-03;1.044e+00;-6.222e-01;1.528e-02;1.044e+00;-4.000e-01;-1.109e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.323024000;1.044e+00;-6.667e-01;-1.870e-03;-6.383e-01;-1.791e-03;1.044e+00;-6.222e-01;1.526e-02;1.044e+00;-4.000e-01;-1.122e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.324024000;1.044e+00;-6.667e-01;-1.877e-03;-6.384e-01;-1.797e-03;1.044e+00;-6.222e-01;1.525e-02;1.044e+00;-4.000e-01;-1.126e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.365024000;1.044e+00;-6.667e-01;-2.155e-03;-6.384e-01;-2.064e-03;1.044e+00;-6.222e-01;1.498e-02;1.044e+00;-4.000e-01;-1.293e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.366024000;1.044e+00;-6.667e-01;-2.162e-03;-6.384e-01;-2.070e-03;1.044e+00;-6.223e-01;1.498e-02;1.044e+00;-4.000e-01;-1.297e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.671024000;1.044e+00;-6.667e-01;-4.303e-03;-6.384e-01;-4.121e-03;1.044e+00;-6.223e-01;1.293e-02;1.044e+00;-4.000e-01;-2.582e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.672024000;1.044e+00;-6.667e-01;-4.312e-03;-6.384e-01;-4.129e-03;1.044e+00;-6.224e-01;1.292e-02;1.044e+00;-4.000e-01;-2.587e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.761024000;1.044e+00;-6.667e-01;-4.948e-03;-6.384e-01;-4.739e-03;1.044e+00;-6.224e-01;1.231e-02;1.044e+00;-4.000e-01;-2.969e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.762024000;1.044e+00;-6.667e-01;-4.955e-03;-6.385e-01;-4.745e-03;1.044e+00;-6.224e-01;1.231e-02;1.044e+00;-4.000e-01;-2.973e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.975024000;1.044e+00;-6.667e-01;-6.485e-03;-6.385e-01;-6.211e-03;1.044e+00;-6.224e-01;1.084e-02;1.044e+00;-4.000e-01;-3.891e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
0.976024000;1.044e+00;-6.667e-01;-6.492e-03;-6.385e-01;-6.217e-03;1.044e+00;-6.225e-01;1.084e-02;1.044e+00;-4.000e-01;-3.895e-03;1.000e+01;1.041e+00;5.000e+01;5.000e+01
