time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;PV_Array_GEN_VoltageInjTerminal;PV_Array_GEN_ActiveCurrentInjTerminal;PV_Array_GEN_ReactiveCurrentInjTerminal;PV_Array_GEN_ActivePowerControlledPu;PV_Array_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;PV_Array_GEN_ActivePowerSetpointPu;PV_Array_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;8.320e-01;-4.440e-01;8.320e-01;-4.440e-01;9.875e-01;8.559e-01;-3.958e-01;8.452e-01;-3.908e-01;1.000e+00;2.080e-03;-1.110e-03;8.453e-01;-3.906e-01
19.999996;1.000e+00;8.320e-01;-4.440e-01;8.320e-01;-4.440e-01;9.875e-01;8.559e-01;-3.958e-01;8.452e-01;-3.908e-01;1.000e+00;2.080e-03;-1.110e-03;8.453e-01;-3.906e-01
19.999997;1.000e+00;8.320e-01;-4.440e-01;8.320e-01;-4.440e-01;9.875e-01;8.559e-01;-3.958e-01;8.452e-01;-3.908e-01;1.000e+00;2.080e-03;-1.110e-03;8.037e-01;-3.906e-01
20.000000;1.000e+00;8.320e-01;-4.440e-01;8.320e-01;-4.440e-01;9.875e-01;8.559e-01;-3.958e-01;8.452e-01;-3.908e-01;1.000e+00;2.080e-03;-1.110e-03;8.037e-01;-3.906e-01
20.002735;1.000e+00;8.320e-01;-4.440e-01;8.320e-01;-4.440e-01;9.875e-01;8.559e-01;-3.958e-01;8.452e-01;-3.908e-01;1.000e+00;2.080e-03;-1.110e-03;8.037e-01;-3.906e-01
20.003426;1.000e+00;8.316e-01;-4.440e-01;8.316e-01;-4.440e-01;9.875e-01;8.559e-01;-3.958e-01;8.452e-01;-3.908e-01;1.000e+00;2.079e-03;-1.110e-03;8.037e-01;-3.906e-01
20.004417;1.000e+00;8.316e-01;-4.440e-01;8.316e-01;-4.440e-01;9.875e-01;8.555e-01;-3.958e-01;8.448e-01;-3.908e-01;1.000e+00;2.079e-03;-1.110e-03;8.037e-01;-3.906e-01
20.004624;1.000e+00;8.312e-01;-4.440e-01;8.312e-01;-4.440e-01;9.875e-01;8.555e-01;-3.958e-01;8.448e-01;-3.908e-01;1.000e+00;2.078e-03;-1.110e-03;8.037e-01;-3.906e-01
20.004832;1.000e+00;8.312e-01;-4.440e-01;8.312e-01;-4.440e-01;9.875e-01;8.555e-01;-3.957e-01;8.448e-01;-3.908e-01;1.000e+00;2.078e-03;-1.110e-03;8.037e-01;-3.906e-01
20.005039;1.000e+00;8.312e-01;-4.440e-01;8.312e-01;-4.440e-01;9.875e-01;8.551e-01;-3.957e-01;8.444e-01;-3.908e-01;1.000e+00;2.078e-03;-1.110e-03;8.037e-01;-3.906e-01
20.006283;1.000e+00;8.308e-01;-4.440e-01;8.307e-01;-4.440e-01;9.875e-01;8.547e-01;-3.957e-01;8.440e-01;-3.908e-01;1.000e+00;2.077e-03;-1.110e-03;8.037e-01;-3.906e-01
20.006698;1.000e+00;8.308e-01;-4.440e-01;8.307e-01;-4.440e-01;9.875e-01;8.546e-01;-3.957e-01;8.440e-01;-3.908e-01;1.000e+00;2.077e-03;-1.110e-03;8.037e-01;-3.906e-01
20.007113;1.000e+00;8.304e-01;-4.440e-01;8.303e-01;-4.440e-01;9.876e-01;8.542e-01;-3.957e-01;8.436e-01;-3.908e-01;1.000e+00;2.076e-03;-1.110e-03;8.037e-01;-3.906e-01
20.007528;1.000e+00;8.304e-01;-4.440e-01;8.303e-01;-4.439e-01;9.876e-01;8.542e-01;-3.957e-01;8.436e-01;-3.908e-01;1.000e+00;2.076e-03;-1.110e-03;8.037e-01;-3.906e-01
20.008357;1.000e+00;8.300e-01;-4.440e-01;8.299e-01;-4.439e-01;9.876e-01;8.538e-01;-3.957e-01;8.432e-01;-3.908e-01;1.000e+00;2.075e-03;-1.110e-03;8.037e-01;-3.906e-01
20.008772;1.000e+00;8.296e-01;-4.440e-01;8.294e-01;-4.439e-01;9.876e-01;8.534e-01;-3.957e-01;8.428e-01;-3.908e-01;1.000e+00;2.074e-03;-1.110e-03;8.037e-01;-3.906e-01
20.009601;1.000e+00;8.292e-01;-4.440e-01;8.290e-01;-4.439e-01;9.876e-01;8.529e-01;-3.957e-01;8.424e-01;-3.908e-01;1.000e+00;2.073e-03;-1.110e-03;8.037e-01;-3.906e-01
20.010431;1.000e+00;8.288e-01;-4.440e-01;8.286e-01;-4.439e-01;9.877e-01;8.525e-01;-3.957e-01;8.420e-01;-3.908e-01;1.000e+00;2.072e-03;-1.110e-03;8.037e-01;-3.906e-01
20.011260;1.000e+00;8.284e-01;-4.440e-01;8.281e-01;-4.439e-01;9.877e-01;8.521e-01;-3.957e-01;8.416e-01;-3.908e-01;1.000e+00;2.071e-03;-1.110e-03;8.037e-01;-3.906e-01
20.012089;1.000e+00;8.280e-01;-4.436e-01;8.277e-01;-4.434e-01;9.878e-01;8.516e-01;-3.956e-01;8.412e-01;-3.908e-01;1.000e+00;2.070e-03;-1.109e-03;8.037e-01;-3.906e-01
20.012919;1.000e+00;8.272e-01;-4.436e-01;8.269e-01;-4.434e-01;9.878e-01;8.508e-01;-3.956e-01;8.404e-01;-3.908e-01;1.000e+00;2.068e-03;-1.109e-03;8.037e-01;-3.906e-01
20.013748;1.000e+00;8.268e-01;-4.436e-01;8.264e-01;-4.434e-01;9.879e-01;8.503e-01;-3.956e-01;8.400e-01;-3.908e-01;1.000e+00;2.067e-03;-1.109e-03;8.037e-01;-3.906e-01
20.014578;1.001e+00;8.264e-01;-4.436e-01;8.260e-01;-4.434e-01;9.879e-01;8.499e-01;-3.956e-01;8.396e-01;-3.908e-01;1.001e+00;2.066e-03;-1.109e-03;8.037e-01;-3.906e-01
20.015407;1.001e+00;8.256e-01;-4.436e-01;8.251e-01;-4.433e-01;9.879e-01;8.490e-01;-3.956e-01;8.388e-01;-3.908e-01;1.001e+00;2.064e-03;-1.109e-03;8.037e-01;-3.906e-01
20.016237;1.001e+00;8.252e-01;-4.436e-01;8.247e-01;-4.433e-01;9.880e-01;8.486e-01;-3.955e-01;8.384e-01;-3.908e-01;1.001e+00;2.063e-03;-1.109e-03;8.037e-01;-3.906e-01
20.017066;1.001e+00;8.244e-01;-4.436e-01;8.238e-01;-4.433e-01;9.880e-01;8.477e-01;-3.955e-01;8.376e-01;-3.912e-01;1.001e+00;2.061e-03;-1.109e-03;8.037e-01;-3.906e-01
20.017896;1.001e+00;8.240e-01;-4.436e-01;8.234e-01;-4.433e-01;9.881e-01;8.473e-01;-3.959e-01;8.372e-01;-3.912e-01;1.001e+00;2.060e-03;-1.109e-03;8.037e-01;-3.906e-01
20.018725;1.001e+00;8.236e-01;-4.436e-01;8.229e-01;-4.432e-01;9.881e-01;8.464e-01;-3.959e-01;8.364e-01;-3.912e-01;1.001e+00;2.059e-03;-1.109e-03;8.037e-01;-3.906e-01
20.019554;1.001e+00;8.228e-01;-4.432e-01;8.221e-01;-4.428e-01;9.882e-01;8.460e-01;-3.959e-01;8.360e-01;-3.912e-01;1.001e+00;2.057e-03;-1.108e-03;8.037e-01;-3.906e-01
20.020384;1.001e+00;8.224e-01;-4.432e-01;8.216e-01;-4.428e-01;9.883e-01;8.451e-01;-3.959e-01;8.352e-01;-3.912e-01;1.001e+00;2.056e-03;-1.108e-03;8.037e-01;-3.906e-01
20.021213;1.001e+00;8.216e-01;-4.432e-01;8.208e-01;-4.428e-01;9.883e-01;8.447e-01;-3.958e-01;8.348e-01;-3.912e-01;1.001e+00;2.054e-03;-1.108e-03;8.037e-01;-3.906e-01
20.022043;1.001e+00;8.212e-01;-4.432e-01;8.204e-01;-4.427e-01;9.884e-01;8.438e-01;-3.958e-01;8.340e-01;-3.912e-01;1.001e+00;2.053e-03;-1.108e-03;8.037e-01;-3.906e-01
20.022872;1.001e+00;8.204e-01;-4.432e-01;8.195e-01;-4.427e-01;9.884e-01;8.434e-01;-3.958e-01;8.336e-01;-3.912e-01;1.001e+00;2.051e-03;-1.108e-03;8.037e-01;-3.906e-01
20.023702;1.001e+00;8.200e-01;-4.432e-01;8.191e-01;-4.427e-01;9.885e-01;8.425e-01;-3.958e-01;8.328e-01;-3.912e-01;1.001e+00;2.050e-03;-1.108e-03;8.037e-01;-3.906e-01
20.024702;1.001e+00;8.192e-01;-4.432e-01;8.182e-01;-4.427e-01;9.885e-01;8.421e-01;-3.957e-01;8.324e-01;-3.912e-01;1.001e+00;2.048e-03;-1.108e-03;8.037e-01;-3.906e-01
20.025702;1.001e+00;8.184e-01;-4.432e-01;8.173e-01;-4.426e-01;9.886e-01;8.412e-01;-3.957e-01;8.316e-01;-3.912e-01;1.001e+00;2.046e-03;-1.108e-03;8.037e-01;-3.906e-01
20.026702;1.001e+00;8.180e-01;-4.428e-01;8.169e-01;-4.422e-01;9.886e-01;8.404e-01;-3.957e-01;8.308e-01;-3.912e-01;1.001e+00;2.045e-03;-1.107e-03;8.037e-01;-3.906e-01
20.027702;1.001e+00;8.172e-01;-4.428e-01;8.160e-01;-4.422e-01;9.887e-01;8.395e-01;-3.957e-01;8.300e-01;-3.912e-01;1.001e+00;2.043e-03;-1.107e-03;8.037e-01;-3.906e-01
20.028702;1.001e+00;8.164e-01;-4.428e-01;8.152e-01;-4.421e-01;9.888e-01;8.390e-01;-3.957e-01;8.296e-01;-3.912e-01;1.001e+00;2.041e-03;-1.107e-03;8.037e-01;-3.906e-01
20.029702;1.002e+00;8.160e-01;-4.428e-01;8.147e-01;-4.421e-01;9.888e-01;8.382e-01;-3.956e-01;8.288e-01;-3.912e-01;1.002e+00;2.040e-03;-1.107e-03;8.037e-01;-3.906e-01
20.030702;1.002e+00;8.152e-01;-4.428e-01;8.139e-01;-4.421e-01;9.889e-01;8.373e-01;-3.956e-01;8.280e-01;-3.912e-01;1.002e+00;2.038e-03;-1.107e-03;8.037e-01;-3.906e-01
20.031702;1.002e+00;8.144e-01;-4.428e-01;8.130e-01;-4.421e-01;9.889e-01;8.369e-01;-3.956e-01;8.276e-01;-3.912e-01;1.002e+00;2.036e-03;-1.107e-03;8.037e-01;-3.906e-01
20.032702;1.002e+00;8.140e-01;-4.428e-01;8.126e-01;-4.420e-01;9.890e-01;8.360e-01;-3.956e-01;8.268e-01;-3.912e-01;1.002e+00;2.035e-03;-1.107e-03;8.037e-01;-3.906e-01
20.033702;1.002e+00;8.132e-01;-4.424e-01;8.117e-01;-4.416e-01;9.890e-01;8.352e-01;-3.955e-01;8.260e-01;-3.912e-01;1.002e+00;2.033e-03;-1.106e-03;8.037e-01;-3.906e-01
20.034702;1.002e+00;8.128e-01;-4.424e-01;8.113e-01;-4.416e-01;9.891e-01;8.347e-01;-3.955e-01;8.256e-01;-3.912e-01;1.002e+00;2.032e-03;-1.106e-03;8.037e-01;-3.906e-01
20.035702;1.002e+00;8.120e-01;-4.424e-01;8.104e-01;-4.416e-01;9.891e-01;8.339e-01;-3.955e-01;8.248e-01;-3.912e-01;1.002e+00;2.030e-03;-1.106e-03;8.037e-01;-3.906e-01
20.036702;1.002e+00;8.116e-01;-4.424e-01;8.100e-01;-4.415e-01;9.892e-01;8.334e-01;-3.955e-01;8.244e-01;-3.912e-01;1.002e+00;2.029e-03;-1.106e-03;8.037e-01;-3.906e-01
20.037702;1.002e+00;8.108e-01;-4.424e-01;8.092e-01;-4.415e-01;9.892e-01;8.326e-01;-3.959e-01;8.236e-01;-3.916e-01;1.002e+00;2.027e-03;-1.106e-03;8.037e-01;-3.906e-01
20.038702;1.002e+00;8.104e-01;-4.424e-01;8.087e-01;-4.415e-01;9.893e-01;8.321e-01;-3.959e-01;8.232e-01;-3.916e-01;1.002e+00;2.026e-03;-1.106e-03;8.037e-01;-3.906e-01
20.039702;1.002e+00;8.096e-01;-4.424e-01;8.079e-01;-4.415e-01;9.893e-01;8.313e-01;-3.958e-01;8.224e-01;-3.916e-01;1.002e+00;2.024e-03;-1.106e-03;8.037e-01;-3.906e-01
20.040702;1.002e+00;8.092e-01;-4.424e-01;8.074e-01;-4.414e-01;9.893e-01;8.309e-01;-3.958e-01;8.220e-01;-3.916e-01;1.002e+00;2.023e-03;-1.106e-03;8.037e-01;-3.906e-01
20.041702;1.002e+00;8.088e-01;-4.424e-01;8.070e-01;-4.414e-01;9.894e-01;8.300e-01;-3.958e-01;8.212e-01;-3.916e-01;1.002e+00;2.022e-03;-1.106e-03;8.037e-01;-3.906e-01
20.042702;1.002e+00;8.080e-01;-4.424e-01;8.062e-01;-4.414e-01;9.894e-01;8.296e-01;-3.958e-01;8.208e-01;-3.916e-01;1.002e+00;2.020e-03;-1.106e-03;8.037e-01;-3.906e-01
20.043702;1.002e+00;8.076e-01;-4.420e-01;8.057e-01;-4.410e-01;9.895e-01;8.291e-01;-3.958e-01;8.204e-01;-3.916e-01;1.002e+00;2.019e-03;-1.105e-03;8.037e-01;-3.906e-01
20.044702;1.002e+00;8.072e-01;-4.420e-01;8.053e-01;-4.410e-01;9.895e-01;8.287e-01;-3.958e-01;8.200e-01;-3.916e-01;1.002e+00;2.018e-03;-1.105e-03;8.037e-01;-3.906e-01
20.045702;1.002e+00;8.068e-01;-4.420e-01;8.049e-01;-4.409e-01;9.895e-01;8.279e-01;-3.957e-01;8.192e-01;-3.916e-01;1.002e+00;2.017e-03;-1.105e-03;8.037e-01;-3.906e-01
20.046702;1.002e+00;8.064e-01;-4.420e-01;8.044e-01;-4.409e-01;9.896e-01;8.274e-01;-3.957e-01;8.188e-01;-3.916e-01;1.002e+00;2.016e-03;-1.105e-03;8.037e-01;-3.906e-01
20.047702;1.002e+00;8.056e-01;-4.420e-01;8.036e-01;-4.409e-01;9.896e-01;8.270e-01;-3.957e-01;8.184e-01;-3.916e-01;1.002e+00;2.014e-03;-1.105e-03;8.037e-01;-3.906e-01
20.048702;1.003e+00;8.052e-01;-4.420e-01;8.032e-01;-4.409e-01;9.896e-01;8.266e-01;-3.957e-01;8.180e-01;-3.916e-01;1.003e+00;2.013e-03;-1.105e-03;8.037e-01;-3.906e-01
20.049702;1.003e+00;8.048e-01;-4.420e-01;8.027e-01;-4.409e-01;9.897e-01;8.261e-01;-3.957e-01;8.176e-01;-3.916e-01;1.003e+00;2.012e-03;-1.105e-03;8.037e-01;-3.906e-01
20.050702;1.003e+00;8.044e-01;-4.420e-01;8.023e-01;-4.409e-01;9.897e-01;8.257e-01;-3.957e-01;8.172e-01;-3.916e-01;1.003e+00;2.011e-03;-1.105e-03;8.037e-01;-3.906e-01
20.051702;1.003e+00;8.040e-01;-4.420e-01;8.019e-01;-4.408e-01;9.897e-01;8.249e-01;-3.957e-01;8.164e-01;-3.916e-01;1.003e+00;2.010e-03;-1.105e-03;8.037e-01;-3.906e-01
20.052702;1.003e+00;8.036e-01;-4.420e-01;8.015e-01;-4.408e-01;9.898e-01;8.244e-01;-3.957e-01;8.160e-01;-3.916e-01;1.003e+00;2.009e-03;-1.105e-03;8.037e-01;-3.906e-01
20.053702;1.003e+00;8.032e-01;-4.420e-01;8.010e-01;-4.408e-01;9.898e-01;8.240e-01;-3.956e-01;8.156e-01;-3.916e-01;1.003e+00;2.008e-03;-1.105e-03;8.037e-01;-3.906e-01
20.055702;1.003e+00;8.024e-01;-4.420e-01;8.002e-01;-4.408e-01;9.898e-01;8.232e-01;-3.956e-01;8.148e-01;-3.916e-01;1.003e+00;2.006e-03;-1.105e-03;8.037e-01;-3.906e-01
20.056702;1.003e+00;8.020e-01;-4.420e-01;7.998e-01;-4.408e-01;9.899e-01;8.231e-01;-3.960e-01;8.148e-01;-3.920e-01;1.003e+00;2.005e-03;-1.105e-03;8.037e-01;-3.906e-01
20.057702;1.003e+00;8.016e-01;-4.420e-01;7.993e-01;-4.408e-01;9.899e-01;8.227e-01;-3.960e-01;8.144e-01;-3.920e-01;1.003e+00;2.004e-03;-1.105e-03;8.037e-01;-3.906e-01
20.058702;1.003e+00;8.016e-01;-4.420e-01;7.993e-01;-4.407e-01;9.899e-01;8.223e-01;-3.960e-01;8.140e-01;-3.920e-01;1.003e+00;2.004e-03;-1.105e-03;8.037e-01;-3.906e-01
20.059702;1.003e+00;8.012e-01;-4.420e-01;7.989e-01;-4.407e-01;9.899e-01;8.219e-01;-3.960e-01;8.136e-01;-3.920e-01;1.003e+00;2.003e-03;-1.105e-03;8.037e-01;-3.906e-01
20.060702;1.003e+00;8.008e-01;-4.416e-01;7.985e-01;-4.403e-01;9.900e-01;8.215e-01;-3.960e-01;8.132e-01;-3.920e-01;1.003e+00;2.002e-03;-1.104e-03;8.037e-01;-3.906e-01
20.061702;1.003e+00;8.004e-01;-4.416e-01;7.981e-01;-4.403e-01;9.900e-01;8.210e-01;-3.960e-01;8.128e-01;-3.920e-01;1.003e+00;2.001e-03;-1.104e-03;8.037e-01;-3.906e-01
