time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.320e-01;0.000e+00;8.320e-01;0.000e+00;1.000e+00;8.320e-01;0.000e+00;1.000e+00;2.080e-03;0.000e+00;8.320e-01;4.700e-05
11.111111111;1.000e+00;8.320e-01;0.000e+00;8.320e-01;0.000e+00;1.000e+00;8.320e-01;0.000e+00;1.000e+00;2.080e-03;0.000e+00;8.320e-01;4.700e-05
22.222222222;1.000e+00;8.320e-01;0.000e+00;8.320e-01;0.000e+00;1.000e+00;8.320e-01;0.000e+00;1.000e+00;2.080e-03;0.000e+00;8.320e-01;4.700e-05
33.333333333;6.089e-09;1.548e-10;0.000e+00;2.682e-10;0.000e+00;6.691e-05;-2.599e-09;0.000e+00;-3.728e-09;2.459e-10;0.000e+00;8.320e-01;4.700e-05
44.444444444;5.514e-09;1.636e-10;0.000e+00;1.128e-09;0.000e+00;7.287e-05;-2.139e-09;0.000e+00;-3.022e-09;1.990e-10;0.000e+00;8.320e-01;4.700e-05
55.555555556;4.939e-09;1.725e-10;0.000e+00;1.987e-09;0.000e+00;7.884e-05;-1.679e-09;0.000e+00;-2.316e-09;1.521e-10;0.000e+00;8.320e-01;4.700e-05
66.666666667;4.364e-09;1.813e-10;0.000e+00;2.846e-09;0.000e+00;8.480e-05;-1.219e-09;0.000e+00;-1.611e-09;1.052e-10;0.000e+00;8.320e-01;4.700e-05
77.777777778;3.790e-09;1.901e-10;0.000e+00;3.706e-09;0.000e+00;9.076e-05;-7.596e-10;0.000e+00;-9.050e-10;5.835e-11;0.000e+00;8.320e-01;4.700e-05
88.888888889;3.215e-09;1.990e-10;0.000e+00;4.565e-09;0.000e+00;9.673e-05;-2.998e-10;0.000e+00;-1.993e-10;1.145e-11;0.000e+00;8.320e-01;4.700e-05
100.000000000;2.640e-09;2.078e-10;0.000e+00;5.425e-09;0.000e+00;1.027e-04;1.600e-10;0.000e+00;5.064e-10;-3.545e-11;0.000e+00;8.320e-01;4.700e-05
