time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.069e+00;1.066e+00;8.016e-01;1.357e-01;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.333e-01;8.333e-02;1.069e+00;5.000e+01;5.000e+01
19.999996000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.069e+00;1.066e+00;8.016e-01;1.357e-01;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.333e-01;8.333e-02;1.069e+00;5.000e+01;5.000e+01
19.999996000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.069e+00;1.066e+00;8.016e-01;1.357e-01;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.000508000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.069e+00;1.066e+00;8.016e-01;1.357e-01;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.001020000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.978e-02;1.069e+00;1.066e+00;8.016e-01;1.357e-01;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.004020000;1.044e+00;8.333e-01;8.327e-02;7.979e-01;7.973e-02;1.069e+00;1.066e+00;8.016e-01;1.357e-01;1.044e+00;7.500e-01;7.494e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.007020000;1.044e+00;8.333e-01;8.315e-02;7.979e-01;7.962e-02;1.069e+00;1.066e+00;8.016e-01;1.356e-01;1.044e+00;7.500e-01;7.484e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.008020000;1.044e+00;8.333e-01;8.311e-02;7.979e-01;7.957e-02;1.069e+00;1.066e+00;8.016e-01;1.355e-01;1.044e+00;7.499e-01;7.480e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.009020000;1.044e+00;8.333e-01;8.305e-02;7.979e-01;7.953e-02;1.069e+00;1.066e+00;8.016e-01;1.355e-01;1.044e+00;7.499e-01;7.475e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.010020000;1.044e+00;8.332e-01;8.300e-02;7.979e-01;7.947e-02;1.069e+00;1.066e+00;8.016e-01;1.354e-01;1.044e+00;7.499e-01;7.470e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.013020000;1.044e+00;8.332e-01;8.281e-02;7.978e-01;7.930e-02;1.069e+00;1.066e+00;8.016e-01;1.353e-01;1.044e+00;7.499e-01;7.453e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.014020000;1.044e+00;8.332e-01;8.274e-02;7.978e-01;7.924e-02;1.069e+00;1.066e+00;8.016e-01;1.352e-01;1.044e+00;7.498e-01;7.447e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.015020000;1.044e+00;8.331e-01;8.267e-02;7.978e-01;7.917e-02;1.069e+00;1.066e+00;8.016e-01;1.351e-01;1.044e+00;7.498e-01;7.441e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.019020000;1.044e+00;8.331e-01;8.238e-02;7.978e-01;7.889e-02;1.069e+00;1.066e+00;8.016e-01;1.349e-01;1.044e+00;7.498e-01;7.414e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.020020000;1.044e+00;8.330e-01;8.230e-02;7.978e-01;7.882e-02;1.069e+00;1.066e+00;8.016e-01;1.348e-01;1.044e+00;7.497e-01;7.407e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.024020000;1.044e+00;8.330e-01;8.198e-02;7.978e-01;7.852e-02;1.069e+00;1.066e+00;8.016e-01;1.345e-01;1.044e+00;7.497e-01;7.378e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.025020000;1.044e+00;8.329e-01;8.190e-02;7.978e-01;7.844e-02;1.069e+00;1.066e+00;8.016e-01;1.344e-01;1.044e+00;7.497e-01;7.371e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.026020000;1.044e+00;8.329e-01;8.181e-02;7.978e-01;7.837e-02;1.069e+00;1.066e+00;8.016e-01;1.343e-01;1.044e+00;7.496e-01;7.363e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.027020000;1.044e+00;8.329e-01;8.173e-02;7.978e-01;7.829e-02;1.068e+00;1.065e+00;8.016e-01;1.343e-01;1.044e+00;7.496e-01;7.356e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.030020000;1.044e+00;8.329e-01;8.147e-02;7.978e-01;7.805e-02;1.068e+00;1.065e+00;8.016e-01;1.340e-01;1.044e+00;7.496e-01;7.333e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.031020000;1.044e+00;8.328e-01;8.139e-02;7.978e-01;7.797e-02;1.068e+00;1.065e+00;8.017e-01;1.340e-01;1.044e+00;7.496e-01;7.325e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.032020000;1.044e+00;8.328e-01;8.130e-02;7.979e-01;7.789e-02;1.068e+00;1.065e+00;8.017e-01;1.339e-01;1.044e+00;7.495e-01;7.317e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.035020000;1.044e+00;8.328e-01;8.104e-02;7.979e-01;7.764e-02;1.068e+00;1.065e+00;8.017e-01;1.337e-01;1.044e+00;7.495e-01;7.293e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.036020000;1.044e+00;8.327e-01;8.095e-02;7.979e-01;7.756e-02;1.068e+00;1.065e+00;8.017e-01;1.336e-01;1.044e+00;7.495e-01;7.286e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.037020000;1.044e+00;8.327e-01;8.086e-02;7.979e-01;7.748e-02;1.068e+00;1.065e+00;8.017e-01;1.335e-01;1.044e+00;7.495e-01;7.278e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.038020000;1.044e+00;8.327e-01;8.077e-02;7.979e-01;7.739e-02;1.068e+00;1.065e+00;8.017e-01;1.334e-01;1.044e+00;7.494e-01;7.270e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.042020000;1.044e+00;8.327e-01;8.042e-02;7.979e-01;7.706e-02;1.068e+00;1.065e+00;8.018e-01;1.331e-01;1.044e+00;7.494e-01;7.237e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.043020000;1.044e+00;8.326e-01;8.033e-02;7.979e-01;7.698e-02;1.068e+00;1.065e+00;8.018e-01;1.330e-01;1.044e+00;7.494e-01;7.229e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.044020000;1.043e+00;8.326e-01;8.024e-02;7.979e-01;7.689e-02;1.068e+00;1.065e+00;8.018e-01;1.329e-01;1.043e+00;7.494e-01;7.221e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.045020000;1.043e+00;8.326e-01;8.015e-02;7.979e-01;7.681e-02;1.068e+00;1.065e+00;8.018e-01;1.329e-01;1.043e+00;7.494e-01;7.213e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.046020000;1.043e+00;8.326e-01;8.006e-02;7.979e-01;7.672e-02;1.067e+00;1.065e+00;8.018e-01;1.328e-01;1.043e+00;7.493e-01;7.205e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.049020000;1.043e+00;8.326e-01;7.978e-02;7.980e-01;7.647e-02;1.067e+00;1.065e+00;8.019e-01;1.325e-01;1.043e+00;7.493e-01;7.180e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.050020000;1.043e+00;8.325e-01;7.969e-02;7.980e-01;7.638e-02;1.067e+00;1.065e+00;8.019e-01;1.324e-01;1.043e+00;7.493e-01;7.172e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.054020000;1.043e+00;8.325e-01;7.932e-02;7.980e-01;7.604e-02;1.067e+00;1.065e+00;8.019e-01;1.321e-01;1.043e+00;7.493e-01;7.139e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.055020000;1.043e+00;8.325e-01;7.923e-02;7.980e-01;7.595e-02;1.067e+00;1.065e+00;8.020e-01;1.320e-01;1.043e+00;7.492e-01;7.131e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.059020000;1.043e+00;8.325e-01;7.886e-02;7.981e-01;7.560e-02;1.067e+00;1.064e+00;8.020e-01;1.317e-01;1.043e+00;7.492e-01;7.097e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.060020000;1.043e+00;8.324e-01;7.877e-02;7.981e-01;7.552e-02;1.067e+00;1.064e+00;8.020e-01;1.316e-01;1.043e+00;7.492e-01;7.089e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.065020000;1.043e+00;8.324e-01;7.830e-02;7.982e-01;7.508e-02;1.066e+00;1.064e+00;8.021e-01;1.312e-01;1.043e+00;7.492e-01;7.047e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.066020000;1.043e+00;8.324e-01;7.820e-02;7.982e-01;7.499e-02;1.066e+00;1.064e+00;8.022e-01;1.311e-01;1.043e+00;7.491e-01;7.038e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.071020000;1.043e+00;8.324e-01;7.773e-02;7.983e-01;7.454e-02;1.066e+00;1.064e+00;8.023e-01;1.307e-01;1.043e+00;7.491e-01;6.995e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.072020000;1.043e+00;8.323e-01;7.763e-02;7.983e-01;7.445e-02;1.066e+00;1.064e+00;8.023e-01;1.306e-01;1.043e+00;7.491e-01;6.987e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.077020000;1.043e+00;8.323e-01;7.715e-02;7.984e-01;7.400e-02;1.066e+00;1.064e+00;8.024e-01;1.302e-01;1.043e+00;7.491e-01;6.943e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
20.078020000;1.042e+00;8.323e-01;7.705e-02;7.984e-01;7.391e-02;1.066e+00;1.064e+00;8.024e-01;1.301e-01;1.042e+00;7.491e-01;6.935e-02;1.000e+01;8.333e-01;-8.333e-02;1.069e+00;5.000e+01;5.000e+01
