time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;PV_Array_GEN_MagnitudeControlledByAVRPu;PV_Array_GEN_VoltageInjTerminal;PV_Array_GEN_ActiveCurrentInjTerminal;PV_Array_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;PV_Array_GEN_ActivePowerSetpointPu;PV_Array_GEN_ReactivePowerSetpointPu;PV_Array_GEN_VoltageSetpointPu;PV_Array_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;8.333e-01;0.000e+00;7.979e-01;0.000e+00;1.044e+00;1.058e+00;8.074e-01;4.237e-02;1.044e+00;7.500e-01;0.000e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.999996;1.044e+00;8.333e-01;-6.006e-08;7.979e-01;1.570e-07;1.044e+00;1.058e+00;8.074e-01;4.237e-02;1.044e+00;7.500e-01;-1.760e-07;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.999997;1.044e+00;8.333e-01;-6.006e-08;7.979e-01;1.570e-07;1.044e+00;1.058e+00;8.074e-01;4.237e-02;1.044e+00;7.500e-01;-1.760e-07;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.000000;1.044e+00;8.333e-01;-6.006e-08;7.979e-01;1.571e-07;1.044e+00;1.058e+00;8.074e-01;4.237e-02;1.044e+00;7.500e-01;-1.760e-07;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.002020;1.044e+00;8.333e-01;2.161e-06;7.979e-01;2.333e-06;1.044e+00;1.058e+00;8.074e-01;4.237e-02;1.044e+00;7.500e-01;1.824e-06;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.003020;1.044e+00;8.333e-01;4.381e-06;7.979e-01;4.481e-06;1.044e+00;1.058e+00;8.074e-01;4.238e-02;1.044e+00;7.500e-01;3.827e-06;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.004020;1.044e+00;8.333e-01;7.711e-06;7.979e-01;7.693e-06;1.044e+00;1.058e+00;8.074e-01;4.238e-02;1.044e+00;7.500e-01;6.830e-06;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.005020;1.044e+00;8.333e-01;1.215e-05;7.979e-01;1.196e-05;1.044e+00;1.058e+00;8.074e-01;4.238e-02;1.044e+00;7.500e-01;1.084e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.006020;1.044e+00;8.333e-01;1.659e-05;7.979e-01;1.624e-05;1.044e+00;1.058e+00;8.074e-01;4.239e-02;1.044e+00;7.500e-01;1.484e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.007020;1.044e+00;8.333e-01;2.213e-05;7.979e-01;2.157e-05;1.044e+00;1.058e+00;8.074e-01;4.239e-02;1.044e+00;7.500e-01;1.985e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.008020;1.044e+00;8.333e-01;2.768e-05;7.979e-01;2.691e-05;1.044e+00;1.058e+00;8.074e-01;4.240e-02;1.044e+00;7.500e-01;2.485e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.009020;1.044e+00;8.333e-01;3.434e-05;7.979e-01;3.329e-05;1.044e+00;1.058e+00;8.074e-01;4.240e-02;1.044e+00;7.500e-01;3.086e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.012020;1.044e+00;8.333e-01;5.543e-05;7.979e-01;5.352e-05;1.044e+00;1.058e+00;8.074e-01;4.243e-02;1.044e+00;7.500e-01;4.988e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.013020;1.044e+00;8.334e-01;6.430e-05;7.979e-01;6.204e-05;1.044e+00;1.058e+00;8.074e-01;4.243e-02;1.044e+00;7.500e-01;5.789e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.016020;1.044e+00;8.334e-01;8.984e-05;7.979e-01;8.651e-05;1.044e+00;1.058e+00;8.074e-01;4.246e-02;1.044e+00;7.500e-01;8.092e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.017020;1.044e+00;8.334e-01;9.872e-05;7.979e-01;9.502e-05;1.045e+00;1.058e+00;8.074e-01;4.246e-02;1.044e+00;7.500e-01;8.893e-05;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.020020;1.044e+00;8.334e-01;1.265e-04;7.979e-01;1.216e-04;1.045e+00;1.058e+00;8.074e-01;4.249e-02;1.044e+00;7.500e-01;1.140e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.025020;1.044e+00;8.334e-01;1.766e-04;7.979e-01;1.693e-04;1.045e+00;1.058e+00;8.074e-01;4.254e-02;1.044e+00;7.500e-01;1.590e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.026020;1.045e+00;8.334e-01;1.866e-04;7.979e-01;1.789e-04;1.045e+00;1.058e+00;8.074e-01;4.255e-02;1.045e+00;7.500e-01;1.680e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.029020;1.045e+00;8.334e-01;2.188e-04;7.979e-01;2.097e-04;1.045e+00;1.058e+00;8.074e-01;4.258e-02;1.045e+00;7.500e-01;1.971e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.030020;1.045e+00;8.334e-01;2.289e-04;7.979e-01;2.192e-04;1.045e+00;1.058e+00;8.074e-01;4.259e-02;1.045e+00;7.501e-01;2.061e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.042020;1.045e+00;8.334e-01;3.600e-04;7.979e-01;3.443e-04;1.045e+00;1.058e+00;8.074e-01;4.271e-02;1.045e+00;7.501e-01;3.241e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.043020;1.045e+00;8.334e-01;3.712e-04;7.979e-01;3.549e-04;1.045e+00;1.058e+00;8.074e-01;4.272e-02;1.045e+00;7.501e-01;3.341e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.053020;1.045e+00;8.334e-01;4.846e-04;7.979e-01;4.635e-04;1.045e+00;1.058e+00;8.074e-01;4.282e-02;1.045e+00;7.501e-01;4.360e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.054020;1.045e+00;8.334e-01;4.969e-04;7.978e-01;4.752e-04;1.045e+00;1.058e+00;8.074e-01;4.283e-02;1.045e+00;7.501e-01;4.470e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.056020;1.045e+00;8.334e-01;5.191e-04;7.978e-01;4.964e-04;1.045e+00;1.058e+00;8.074e-01;4.285e-02;1.045e+00;7.501e-01;4.669e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.057020;1.045e+00;8.334e-01;5.313e-04;7.978e-01;5.082e-04;1.045e+00;1.058e+00;8.074e-01;4.287e-02;1.045e+00;7.501e-01;4.779e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.066020;1.045e+00;8.334e-01;6.359e-04;7.978e-01;6.083e-04;1.045e+00;1.058e+00;8.074e-01;4.296e-02;1.045e+00;7.501e-01;5.717e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.067020;1.045e+00;8.335e-01;6.481e-04;7.978e-01;6.200e-04;1.045e+00;1.058e+00;8.074e-01;4.297e-02;1.045e+00;7.501e-01;5.827e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.068020;1.045e+00;8.335e-01;6.604e-04;7.978e-01;6.317e-04;1.045e+00;1.058e+00;8.074e-01;4.298e-02;1.045e+00;7.501e-01;5.937e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.069020;1.045e+00;8.335e-01;6.715e-04;7.978e-01;6.423e-04;1.045e+00;1.058e+00;8.073e-01;4.299e-02;1.045e+00;7.501e-01;6.037e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.070020;1.045e+00;8.335e-01;6.837e-04;7.978e-01;6.540e-04;1.045e+00;1.058e+00;8.073e-01;4.300e-02;1.045e+00;7.501e-01;6.147e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.071020;1.045e+00;8.335e-01;6.960e-04;7.978e-01;6.657e-04;1.045e+00;1.058e+00;8.073e-01;4.302e-02;1.045e+00;7.501e-01;6.256e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.072020;1.045e+00;8.335e-01;7.071e-04;7.978e-01;6.763e-04;1.045e+00;1.058e+00;8.073e-01;4.303e-02;1.045e+00;7.501e-01;6.356e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.077020;1.045e+00;8.335e-01;7.672e-04;7.978e-01;7.339e-04;1.045e+00;1.058e+00;8.073e-01;4.308e-02;1.045e+00;7.501e-01;6.896e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.080020;1.045e+00;8.335e-01;8.038e-04;7.978e-01;7.690e-04;1.045e+00;1.058e+00;8.073e-01;4.311e-02;1.045e+00;7.501e-01;7.227e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.081020;1.045e+00;8.335e-01;8.161e-04;7.978e-01;7.806e-04;1.045e+00;1.058e+00;8.073e-01;4.313e-02;1.045e+00;7.501e-01;7.337e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.088020;1.045e+00;8.335e-01;9.016e-04;7.978e-01;8.624e-04;1.045e+00;1.058e+00;8.073e-01;4.320e-02;1.045e+00;7.501e-01;8.108e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.089020;1.045e+00;8.335e-01;9.138e-04;7.978e-01;8.740e-04;1.045e+00;1.058e+00;8.073e-01;4.322e-02;1.045e+00;7.501e-01;8.218e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.091020;1.045e+00;8.335e-01;9.384e-04;7.978e-01;8.974e-04;1.045e+00;1.058e+00;8.073e-01;4.324e-02;1.045e+00;7.501e-01;8.438e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.095020;1.045e+00;8.335e-01;9.884e-04;7.978e-01;9.453e-04;1.045e+00;1.058e+00;8.073e-01;4.328e-02;1.045e+00;7.501e-01;8.889e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.096020;1.045e+00;8.335e-01;1.001e-03;7.978e-01;9.569e-04;1.045e+00;1.058e+00;8.073e-01;4.330e-02;1.045e+00;7.501e-01;8.999e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.098020;1.045e+00;8.335e-01;1.027e-03;7.978e-01;9.813e-04;1.045e+00;1.058e+00;8.073e-01;4.332e-02;1.045e+00;7.501e-01;9.229e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.099020;1.045e+00;8.335e-01;1.039e-03;7.977e-01;9.930e-04;1.045e+00;1.058e+00;8.073e-01;4.333e-02;1.045e+00;7.501e-01;9.339e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.102020;1.045e+00;8.335e-01;1.077e-03;7.977e-01;1.029e-03;1.045e+00;1.058e+00;8.073e-01;4.336e-02;1.045e+00;7.501e-01;9.680e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.103020;1.045e+00;8.335e-01;1.090e-03;7.977e-01;1.042e-03;1.045e+00;1.058e+00;8.072e-01;4.337e-02;1.045e+00;7.501e-01;9.800e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.104020;1.045e+00;8.335e-01;1.102e-03;7.977e-01;1.054e-03;1.045e+00;1.058e+00;8.072e-01;4.339e-02;1.045e+00;7.501e-01;9.910e-04;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.105020;1.045e+00;8.335e-01;1.114e-03;7.977e-01;1.066e-03;1.045e+00;1.058e+00;8.072e-01;4.340e-02;1.045e+00;7.501e-01;1.002e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.109020;1.045e+00;8.335e-01;1.165e-03;7.977e-01;1.114e-03;1.045e+00;1.058e+00;8.072e-01;4.344e-02;1.045e+00;7.501e-01;1.048e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.110020;1.045e+00;8.335e-01;1.179e-03;7.977e-01;1.127e-03;1.045e+00;1.058e+00;8.072e-01;4.346e-02;1.045e+00;7.501e-01;1.060e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.115020;1.045e+00;8.335e-01;1.241e-03;7.977e-01;1.188e-03;1.045e+00;1.058e+00;8.072e-01;4.351e-02;1.045e+00;7.501e-01;1.117e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.116020;1.045e+00;8.335e-01;1.254e-03;7.977e-01;1.201e-03;1.045e+00;1.058e+00;8.072e-01;4.353e-02;1.045e+00;7.501e-01;1.129e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.117020;1.045e+00;8.335e-01;1.268e-03;7.977e-01;1.213e-03;1.045e+00;1.058e+00;8.072e-01;4.354e-02;1.045e+00;7.501e-01;1.141e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.118020;1.045e+00;8.335e-01;1.280e-03;7.977e-01;1.225e-03;1.045e+00;1.059e+00;8.072e-01;4.355e-02;1.045e+00;7.501e-01;1.152e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.120020;1.045e+00;8.335e-01;1.307e-03;7.977e-01;1.251e-03;1.045e+00;1.059e+00;8.072e-01;4.357e-02;1.045e+00;7.501e-01;1.176e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.121020;1.045e+00;8.335e-01;1.319e-03;7.977e-01;1.262e-03;1.045e+00;1.059e+00;8.072e-01;4.359e-02;1.045e+00;7.501e-01;1.187e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.124020;1.045e+00;8.335e-01;1.358e-03;7.977e-01;1.299e-03;1.045e+00;1.059e+00;8.072e-01;4.362e-02;1.045e+00;7.501e-01;1.222e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
20.126020;1.045e+00;8.335e-01;1.384e-03;7.977e-01;1.325e-03;1.045e+00;1.059e+00;8.072e-01;4.364e-02;1.045e+00;7.501e-01;1.246e-03;1.000e+01;8.333e-01;0.000e+00;1.065e+00;5.000e+01;5.000e+01
