time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.044e+00;8.320e-01;5.191e-09;7.966e-01;1.239e-09;1.044e+00;2.080e-03;-7.360e-09;1.000e+01;8.320e-01;4.300e-05
29.999994000;1.044e+00;8.320e-01;8.967e-10;7.966e-01;2.122e-09;1.044e+00;2.080e-03;-1.163e-09;1.000e+01;8.320e-01;4.300e-05
29.999994000;5.524e-09;7.879e-09;1.048e-09;-1.458e-09;2.240e-09;-3.419e-09;-3.744e-09;-1.324e-09;1.000e+01;8.320e-01;4.300e-05
30.006065000;1.857e-09;-1.331e-09;2.071e-09;4.606e-09;-1.472e-09;-6.099e-09;3.401e-09;-1.982e-10;1.000e+01;8.320e-01;4.300e-05
30.052436000;-2.842e-09;4.962e-10;3.035e-09;5.486e-10;-6.547e-09;4.798e-09;1.632e-09;-3.529e-09;1.000e+01;8.320e-01;4.300e-05
30.092250000;7.541e-09;-1.583e-09;-2.721e-09;-7.397e-09;1.573e-09;7.964e-10;-3.651e-09;4.147e-09;1.000e+01;8.320e-01;4.300e-05
30.099144000;4.371e-09;-3.576e-09;-6.908e-09;-4.395e-09;1.171e-08;-2.275e-10;-5.172e-09;6.276e-09;1.000e+01;8.320e-01;4.300e-05
30.126144000;1.353e-09;2.915e-09;-3.797e-08;9.367e-10;5.127e-08;2.306e-10;-6.730e-09;4.556e-09;1.000e+01;8.320e-01;4.300e-05
30.149994000;8.555e-09;5.832e-09;-1.903e-07;4.369e-10;8.617e-08;3.095e-09;-1.140e-09;3.945e-10;1.000e+01;8.320e-01;4.300e-05
30.149994000;4.023e-01;2.752e-01;-6.344e-01;6.840e-01;-1.577e+00;4.023e-01;6.880e-04;-1.586e-03;1.000e+01;8.320e-01;4.300e-05
30.149995000;4.024e-01;2.756e-01;-6.344e-01;6.849e-01;-1.577e+00;4.024e-01;6.890e-04;-1.586e-03;1.000e+01;8.320e-01;4.300e-05
30.149996000;4.025e-01;2.756e-01;-6.344e-01;6.848e-01;-1.576e+00;4.025e-01;6.890e-04;-1.586e-03;1.000e+01;8.320e-01;4.300e-05
30.150449000;4.286e-01;2.948e-01;-6.484e-01;6.878e-01;-1.513e+00;4.286e-01;7.370e-04;-1.621e-03;1.000e+01;8.320e-01;4.300e-05
30.151089000;4.645e-01;3.212e-01;-6.620e-01;6.915e-01;-1.425e+00;4.645e-01;8.030e-04;-1.655e-03;1.000e+01;8.320e-01;4.300e-05
30.151729000;4.992e-01;3.472e-01;-6.692e-01;6.955e-01;-1.340e+00;4.992e-01;8.680e-04;-1.673e-03;1.000e+01;8.320e-01;4.300e-05
30.151857000;5.060e-01;3.524e-01;-6.696e-01;6.964e-01;-1.323e+00;5.060e-01;8.810e-04;-1.674e-03;1.000e+01;8.320e-01;4.300e-05
30.152440000;5.365e-01;3.752e-01;-6.704e-01;6.994e-01;-1.250e+00;5.365e-01;9.380e-04;-1.676e-03;1.000e+01;8.320e-01;4.300e-05
30.152760000;5.528e-01;3.872e-01;-6.688e-01;7.005e-01;-1.210e+00;5.528e-01;9.680e-04;-1.672e-03;1.000e+01;8.320e-01;4.300e-05
30.153272000;5.783e-01;4.064e-01;-6.636e-01;7.027e-01;-1.147e+00;5.783e-01;1.016e-03;-1.659e-03;1.000e+01;8.320e-01;4.300e-05
30.153400000;5.846e-01;4.108e-01;-6.620e-01;7.027e-01;-1.132e+00;5.846e-01;1.027e-03;-1.655e-03;1.000e+01;8.320e-01;4.300e-05
30.154040000;6.153e-01;4.336e-01;-6.508e-01;7.046e-01;-1.058e+00;6.153e-01;1.084e-03;-1.627e-03;1.000e+01;8.320e-01;4.300e-05
30.154424000;6.333e-01;4.468e-01;-6.420e-01;7.055e-01;-1.014e+00;6.333e-01;1.117e-03;-1.605e-03;1.000e+01;8.320e-01;4.300e-05
30.154680000;6.451e-01;4.552e-01;-6.356e-01;7.056e-01;-9.853e-01;6.451e-01;1.138e-03;-1.589e-03;1.000e+01;8.320e-01;4.300e-05
30.154808000;6.509e-01;4.596e-01;-6.320e-01;7.061e-01;-9.709e-01;6.509e-01;1.149e-03;-1.580e-03;1.000e+01;8.320e-01;4.300e-05
30.155448000;6.795e-01;4.800e-01;-6.128e-01;7.064e-01;-9.018e-01;6.795e-01;1.200e-03;-1.532e-03;1.000e+01;8.320e-01;4.300e-05
30.155960000;7.017e-01;4.956e-01;-5.952e-01;7.063e-01;-8.482e-01;7.017e-01;1.239e-03;-1.488e-03;1.000e+01;8.320e-01;4.300e-05
