time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;2.333e-05;7.978e-01;2.234e-05;1.044e+00;1.060e+00;8.060e-01;6.349e-02;1.044e+00;7.499e-01;2.099e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989996000;1.045e+00;8.331e-01;-2.248e-03;7.975e-01;-2.152e-03;1.044e+00;1.060e+00;8.058e-01;6.131e-02;1.045e+00;7.498e-01;-2.023e-03;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989998000;1.045e+00;8.332e-01;-1.123e-03;7.977e-01;-1.075e-03;1.044e+00;1.060e+00;8.059e-01;6.239e-02;1.045e+00;7.499e-01;-1.011e-03;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990000000;1.044e+00;8.333e-01;1.101e-06;7.979e-01;1.065e-06;1.044e+00;1.060e+00;8.060e-01;6.348e-02;1.044e+00;7.500e-01;1.015e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990060000;1.041e+00;8.363e-01;3.361e-02;8.031e-01;3.228e-02;1.051e+00;1.060e+00;8.089e-01;9.605e-02;1.041e+00;7.526e-01;3.025e-02;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990955000;9.946e-01;8.723e-01;5.067e-01;8.770e-01;5.094e-01;1.147e+00;1.060e+00;8.484e-01;5.771e-01;9.946e-01;7.850e-01;4.560e-01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;4.992e+01;4.992e+01
19.993067000;8.845e-01;9.050e-01;1.420e+00;1.023e+00;1.606e+00;1.310e+00;1.055e+00;9.198e-01;1.679e+00;8.845e-01;8.145e-01;1.278e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;4.975e+01;4.975e+01
19.993195000;8.778e-01;9.048e-01;1.467e+00;1.031e+00;1.671e+00;1.318e+00;1.055e+00;9.233e-01;1.744e+00;8.778e-01;8.143e-01;1.320e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;4.974e+01;4.974e+01
19.993451000;8.644e-01;9.038e-01;1.556e+00;1.046e+00;1.800e+00;1.331e+00;1.054e+00;9.301e-01;1.874e+00;8.644e-01;8.134e-01;1.401e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;4.972e+01;4.972e+01
19.994027000;8.344e-01;8.985e-01;1.744e+00;1.077e+00;2.090e+00;1.358e+00;1.051e+00;9.441e-01;2.164e+00;8.344e-01;8.086e-01;1.570e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;4.967e+01;4.967e+01
19.995552000;7.548e-01;8.650e-01;2.146e+00;1.146e+00;2.843e+00;1.399e+00;1.044e+00;9.749e-01;2.916e+00;7.548e-01;7.785e-01;1.931e+00;1.000e+01;8.333e-01;0.000e+00;1.044e+00;4.953e+01;4.953e+01
