time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;4.445e-01;7.978e-01;4.255e-01;1.178e+00;1.100e+00;7.795e-01;4.813e-01;1.044e+00;7.500e-01;4.000e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.989996000;1.044e+00;8.334e-01;4.450e-01;7.980e-01;4.261e-01;1.178e+00;1.100e+00;7.796e-01;4.818e-01;1.044e+00;7.500e-01;4.005e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.989998000;1.044e+00;8.334e-01;4.447e-01;7.979e-01;4.258e-01;1.178e+00;1.100e+00;7.796e-01;4.815e-01;1.044e+00;7.500e-01;4.002e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990000000;1.044e+00;8.333e-01;4.444e-01;7.979e-01;4.255e-01;1.178e+00;1.100e+00;7.796e-01;4.813e-01;1.044e+00;7.500e-01;4.000e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;8.333e-01;4.439e-01;7.978e-01;4.250e-01;1.178e+00;1.100e+00;7.795e-01;4.807e-01;1.044e+00;7.500e-01;3.995e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990124000;1.046e+00;8.319e-01;4.280e-01;7.952e-01;4.092e-01;1.174e+00;1.100e+00;7.780e-01;4.648e-01;1.046e+00;7.487e-01;3.852e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.992390000;1.075e+00;8.101e-01;1.260e-01;7.536e-01;1.172e-01;1.113e+00;1.100e+00;7.548e-01;1.711e-01;1.075e+00;7.291e-01;1.134e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.005e+01;5.005e+01
19.996403000;1.126e+00;7.964e-01;-4.180e-01;7.071e-01;-3.711e-01;1.001e+00;1.105e+00;7.405e-01;-3.174e-01;1.126e+00;7.168e-01;-3.762e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.013e+01;5.013e+01
19.997324000;1.138e+00;7.973e-01;-5.443e-01;7.006e-01;-4.782e-01;9.748e-01;1.107e+00;7.414e-01;-4.240e-01;1.138e+00;7.176e-01;-4.898e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.014e+01;5.014e+01
20.000764000;1.182e+00;8.105e-01;-1.018e+00;6.857e-01;-8.616e-01;8.765e-01;1.115e+00;7.552e-01;-8.049e-01;1.182e+00;7.295e-01;-9.166e-01;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.017e+01;5.017e+01
20.003483000;1.217e+00;8.277e-01;-1.395e+00;6.803e-01;-1.146e+00;7.983e-01;1.123e+00;7.731e-01;-1.087e+00;1.217e+00;7.449e-01;-1.255e+00;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.017e+01;5.017e+01
20.004366000;1.228e+00;8.337e-01;-1.517e+00;6.789e-01;-1.235e+00;7.729e-01;1.125e+00;7.794e-01;-1.175e+00;1.228e+00;7.503e-01;-1.365e+00;1.000e+01;8.333e-01;4.444e-01;1.178e+00;5.016e+01;5.016e+01
