time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.044e+00;7.500e-01;-4.000e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.058e-01;4.103e-01
0.005632000;1.045e+00;8.275e-01;-4.453e-01;7.922e-01;-4.263e-01;1.045e+00;7.447e-01;-4.007e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.860e-01;4.102e-01
0.006093000;1.045e+00;8.265e-01;-4.454e-01;7.912e-01;-4.264e-01;1.045e+00;7.439e-01;-4.008e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.846e-01;4.102e-01
0.007936000;1.045e+00;8.220e-01;-4.459e-01;7.868e-01;-4.268e-01;1.045e+00;7.398e-01;-4.013e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.793e-01;4.101e-01
0.017613000;1.046e+00;7.957e-01;-4.478e-01;7.607e-01;-4.281e-01;1.046e+00;7.162e-01;-4.030e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.584e-01;4.089e-01
0.018534000;1.046e+00;7.937e-01;-4.479e-01;7.586e-01;-4.281e-01;1.046e+00;7.143e-01;-4.031e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.569e-01;4.088e-01
0.021115000;1.047e+00;7.884e-01;-4.479e-01;7.533e-01;-4.279e-01;1.047e+00;7.096e-01;-4.031e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.530e-01;4.084e-01
0.021944000;1.047e+00;7.869e-01;-4.478e-01;7.517e-01;-4.279e-01;1.047e+00;7.082e-01;-4.031e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.518e-01;4.083e-01
0.024433000;1.047e+00;7.828e-01;-4.477e-01;7.475e-01;-4.275e-01;1.047e+00;7.045e-01;-4.029e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.486e-01;4.081e-01
0.025262000;1.047e+00;7.815e-01;-4.476e-01;7.463e-01;-4.274e-01;1.047e+00;7.034e-01;-4.029e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.476e-01;4.080e-01
0.026092000;1.047e+00;7.804e-01;-4.476e-01;7.450e-01;-4.273e-01;1.047e+00;7.023e-01;-4.028e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.466e-01;4.080e-01
0.029409000;1.048e+00;7.762e-01;-4.472e-01;7.407e-01;-4.268e-01;1.048e+00;6.986e-01;-4.025e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.431e-01;4.078e-01
0.034386000;1.049e+00;7.712e-01;-4.466e-01;7.355e-01;-4.259e-01;1.049e+00;6.941e-01;-4.019e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.388e-01;4.079e-01
0.042851000;1.050e+00;7.650e-01;-4.457e-01;7.289e-01;-4.247e-01;1.050e+00;6.885e-01;-4.011e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.332e-01;4.084e-01
0.045851000;1.050e+00;7.632e-01;-4.455e-01;7.270e-01;-4.243e-01;1.050e+00;6.869e-01;-4.009e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.317e-01;4.087e-01
0.046851000;1.050e+00;7.627e-01;-4.454e-01;7.265e-01;-4.242e-01;1.050e+00;6.864e-01;-4.008e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.312e-01;4.088e-01
0.047851000;1.050e+00;7.622e-01;-4.453e-01;7.259e-01;-4.241e-01;1.050e+00;6.860e-01;-4.008e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.308e-01;4.089e-01
0.056851000;1.050e+00;7.584e-01;-4.449e-01;7.220e-01;-4.236e-01;1.050e+00;6.825e-01;-4.005e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.275e-01;4.099e-01
0.057851000;1.050e+00;7.580e-01;-4.449e-01;7.216e-01;-4.236e-01;1.050e+00;6.822e-01;-4.004e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.272e-01;4.100e-01
0.059851000;1.051e+00;7.574e-01;-4.449e-01;7.210e-01;-4.235e-01;1.051e+00;6.816e-01;-4.004e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.266e-01;4.102e-01
0.060851000;1.051e+00;7.571e-01;-4.449e-01;7.206e-01;-4.235e-01;1.051e+00;6.814e-01;-4.004e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.263e-01;4.103e-01
0.064851000;1.051e+00;7.559e-01;-4.449e-01;7.195e-01;-4.235e-01;1.051e+00;6.803e-01;-4.004e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.254e-01;4.107e-01
0.065851000;1.051e+00;7.557e-01;-4.449e-01;7.192e-01;-4.234e-01;1.051e+00;6.801e-01;-4.004e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.252e-01;4.107e-01
0.077851000;1.051e+00;7.532e-01;-4.451e-01;7.169e-01;-4.236e-01;1.051e+00;6.779e-01;-4.006e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.232e-01;4.116e-01
0.080851000;1.051e+00;7.528e-01;-4.452e-01;7.165e-01;-4.237e-01;1.051e+00;6.775e-01;-4.006e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.229e-01;4.117e-01
0.081851000;1.051e+00;7.527e-01;-4.452e-01;7.163e-01;-4.237e-01;1.051e+00;6.774e-01;-4.007e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.228e-01;4.117e-01
0.082851000;1.051e+00;7.525e-01;-4.452e-01;7.162e-01;-4.237e-01;1.051e+00;6.773e-01;-4.007e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.227e-01;4.118e-01
0.108851000;1.051e+00;7.506e-01;-4.456e-01;7.144e-01;-4.241e-01;1.051e+00;6.755e-01;-4.010e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.212e-01;4.121e-01
0.130851000;1.051e+00;7.501e-01;-4.456e-01;7.139e-01;-4.241e-01;1.051e+00;6.751e-01;-4.011e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.209e-01;4.121e-01
0.153851000;1.051e+00;7.500e-01;-4.456e-01;7.138e-01;-4.241e-01;1.051e+00;6.750e-01;-4.010e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.207e-01;4.120e-01
0.158851000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.051e+00;6.750e-01;-4.010e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.207e-01;4.120e-01
0.160851000;1.051e+00;7.499e-01;-4.456e-01;7.137e-01;-4.241e-01;1.051e+00;6.749e-01;-4.010e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.207e-01;4.120e-01
2.696851000;1.052e+00;7.498e-01;-4.440e-01;7.131e-01;-4.223e-01;1.052e+00;6.748e-01;-3.996e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.201e-01;4.102e-01
7.958851000;1.053e+00;7.498e-01;-4.415e-01;7.123e-01;-4.194e-01;1.053e+00;6.748e-01;-3.974e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.192e-01;4.074e-01
8.192851000;1.053e+00;7.498e-01;-4.415e-01;7.122e-01;-4.194e-01;1.053e+00;6.748e-01;-3.973e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.192e-01;4.073e-01
8.324851000;1.053e+00;7.498e-01;-4.415e-01;7.122e-01;-4.193e-01;1.053e+00;6.748e-01;-3.973e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.192e-01;4.073e-01
8.648851000;1.053e+00;7.498e-01;-4.414e-01;7.122e-01;-4.193e-01;1.053e+00;6.748e-01;-3.973e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.192e-01;4.072e-01
8.886851000;1.053e+00;7.498e-01;-4.414e-01;7.122e-01;-4.192e-01;1.053e+00;6.748e-01;-3.972e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.191e-01;4.072e-01
29.999994000;1.053e+00;7.498e-01;-4.411e-01;7.121e-01;-4.190e-01;1.053e+00;6.748e-01;-3.970e-01;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.191e-01;4.069e-01
29.999994000;7.799e-05;1.882e-05;-2.389e-04;1.376e-08;-3.340e-08;7.804e-05;1.699e-05;-2.150e-04;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.191e-01;4.069e-01
30.000122000;7.700e-05;1.881e-05;-2.344e-04;2.875e-09;-1.143e-08;7.704e-05;1.699e-05;-2.110e-04;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.191e-01;4.085e-01
30.001639000;6.504e-05;1.994e-05;-1.967e-04;1.114e-08;1.353e-09;6.504e-05;1.799e-05;-1.770e-04;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.234e-01;4.191e-01
30.002663000;5.802e-05;1.885e-05;-1.756e-04;3.753e-08;-3.577e-09;5.800e-05;1.698e-05;-1.579e-04;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.307e-01;4.129e-01
30.006845000;3.998e-05;1.778e-05;-1.211e-04;-2.470e-08;2.335e-08;3.994e-05;1.600e-05;-1.090e-04;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.711e-01;2.878e-01
30.018673000;2.799e-05;1.668e-05;-8.325e-05;5.198e-08;-7.574e-09;2.802e-05;1.500e-05;-7.502e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.847e-01;-3.667e-01
30.020325000;2.797e-05;1.667e-05;-8.328e-05;2.062e-08;-1.086e-08;2.800e-05;1.500e-05;-7.501e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.945e-01;-4.407e-01
30.022330000;2.795e-05;1.779e-05;-8.331e-05;-3.731e-09;-2.452e-08;2.798e-05;1.600e-05;-7.500e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.986e-01;-5.226e-01
30.024510000;2.795e-05;1.892e-05;-8.332e-05;-4.455e-09;-2.917e-08;2.798e-05;1.697e-05;-7.501e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.944e-01;-6.029e-01
30.025303000;2.796e-05;1.893e-05;-8.333e-05;-1.929e-09;-3.024e-08;2.798e-05;1.697e-05;-7.502e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.909e-01;-6.300e-01
30.027087000;2.798e-05;2.005e-05;-8.333e-05;3.720e-09;-3.109e-08;2.798e-05;1.796e-05;-7.504e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.798e-01;-6.872e-01
30.032638000;2.799e-05;2.228e-05;-8.337e-05;2.984e-08;-6.617e-08;2.801e-05;1.996e-05;-7.503e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;8.219e-01;-8.357e-01
30.034819000;2.798e-05;2.228e-05;-8.336e-05;6.239e-08;-6.818e-08;2.803e-05;1.996e-05;-7.503e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;7.923e-01;-8.837e-01
30.045563000;2.798e-05;2.446e-05;-8.216e-05;3.535e-08;2.007e-08;2.799e-05;2.194e-05;-7.407e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;6.240e-01;-1.057e+00
30.053770000;2.794e-05;2.556e-05;-8.106e-05;8.335e-09;6.283e-08;2.802e-05;2.299e-05;-7.306e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;4.961e-01;-1.139e+00
30.059123000;2.696e-05;2.555e-05;-7.995e-05;-3.902e-08;2.558e-08;2.700e-05;2.302e-05;-7.202e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;4.208e-01;-1.177e+00
30.064832000;2.699e-05;2.551e-05;-7.886e-05;-4.268e-08;1.923e-08;2.700e-05;2.301e-05;-7.099e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;3.492e-01;-1.207e+00
30.067687000;2.701e-05;2.551e-05;-7.887e-05;-2.993e-08;3.414e-08;2.702e-05;2.301e-05;-7.099e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;3.171e-01;-1.220e+00
30.074466000;2.705e-05;2.549e-05;-7.773e-05;-1.525e-10;6.963e-08;2.705e-05;2.301e-05;-7.002e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;2.501e-01;-1.243e+00
30.079105000;2.606e-05;2.547e-05;-7.662e-05;-1.057e-09;4.717e-08;2.603e-05;2.301e-05;-6.903e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;2.115e-01;-1.255e+00
30.085171000;2.605e-05;2.545e-05;-7.554e-05;-1.575e-09;8.794e-09;2.600e-05;2.304e-05;-6.803e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;1.688e-01;-1.266e+00
30.092308000;2.501e-05;2.548e-05;-7.335e-05;1.279e-08;3.074e-08;2.496e-05;2.302e-05;-6.602e-05;1.000e+01;8.336e-01;-4.245e-01;-4.245e-01;1.286e-01;-1.277e+00
