time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.320e-01;4.188e-09;8.320e-01;1.878e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;7.428e-10;1.000e+01;8.320e-01;4.700e-05
29.999994000;1.000e+00;8.320e-01;7.171e-09;8.320e-01;-1.484e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;-1.919e-09;1.000e+01;8.320e-01;4.700e-05
29.999994000;3.004e-06;2.968e-09;7.371e-09;-4.369e-09;-1.779e-09;1.000e+00;1.060e-01;9.923e+01;2.995e-06;7.585e-09;-2.055e-09;1.000e+01;8.320e-01;4.700e-05
30.007516000;9.942e-07;-2.763e-09;-4.800e-09;4.911e-10;-1.755e-09;2.256e-01;2.305e-02;2.239e+01;9.975e-07;-3.702e-09;2.596e-09;1.000e+01;8.320e-01;4.700e-05
30.011304000;9.944e-07;-5.166e-09;1.724e-09;2.197e-10;-5.489e-10;1.084e-01;1.107e-02;1.075e+01;1.006e-06;2.668e-09;-7.671e-10;1.000e+01;8.320e-01;4.700e-05
30.016488000;-6.672e-09;-4.652e-09;-3.019e-09;1.926e-09;-1.247e-09;4.304e-02;-4.591e-09;4.266e+00;1.889e-09;7.180e-09;3.417e-09;1.000e+01;8.320e-01;4.700e-05
30.020820000;-2.972e-09;-5.321e-12;4.317e-09;4.130e-09;7.698e-10;2.371e-02;-2.472e-09;2.345e+00;4.158e-09;-1.584e-09;4.219e-10;1.000e+01;8.320e-01;4.700e-05
30.034091000;-3.959e-11;-6.396e-09;-3.923e-09;-3.594e-10;-1.776e-09;1.323e-02;2.037e-10;1.300e+00;-9.547e-09;4.473e-10;-4.947e-09;1.000e+01;8.320e-01;4.700e-05
30.047321000;2.428e-09;1.410e-09;-2.049e-09;-2.621e-09;-3.360e-09;1.272e-02;-1.901e-09;1.257e+00;7.072e-10;-1.319e-09;-4.177e-09;1.000e+01;8.320e-01;4.700e-05
30.123025000;-7.862e-09;-7.801e-09;1.069e-09;9.093e-10;3.992e-09;1.306e-02;-2.479e-09;1.286e+00;-3.425e-09;-3.144e-10;-3.349e-09;1.000e+01;8.320e-01;4.700e-05
