time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-2.217e-06;7.979e-01;-2.168e-06;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-1.984e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000256000;1.044e+00;8.333e-01;-3.324e-06;7.979e-01;-3.227e-06;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-2.987e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000512000;1.044e+00;8.333e-01;-4.435e-06;7.978e-01;-4.290e-06;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-3.988e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.002048000;1.044e+00;8.333e-01;-1.777e-05;7.978e-01;-1.705e-05;1.044e+00;1.060e+00;8.060e-01;6.346e-02;1.044e+00;7.500e-01;-1.599e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.002560000;1.044e+00;8.333e-01;-2.332e-05;7.978e-01;-2.237e-05;1.044e+00;1.060e+00;8.060e-01;6.345e-02;1.044e+00;7.499e-01;-2.099e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.003072000;1.044e+00;8.333e-01;-3.110e-05;7.978e-01;-2.982e-05;1.044e+00;1.060e+00;8.060e-01;6.344e-02;1.044e+00;7.499e-01;-2.799e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.003584000;1.044e+00;8.332e-01;-3.999e-05;7.978e-01;-3.833e-05;1.044e+00;1.060e+00;8.060e-01;6.343e-02;1.044e+00;7.499e-01;-3.599e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.004608000;1.044e+00;8.332e-01;-5.999e-05;7.978e-01;-5.748e-05;1.044e+00;1.060e+00;8.060e-01;6.341e-02;1.044e+00;7.499e-01;-5.399e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.005120000;1.044e+00;8.332e-01;-7.110e-05;7.978e-01;-6.812e-05;1.044e+00;1.060e+00;8.059e-01;6.340e-02;1.044e+00;7.499e-01;-6.399e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.006144000;1.044e+00;8.332e-01;-9.666e-05;7.978e-01;-9.258e-05;1.044e+00;1.060e+00;8.059e-01;6.337e-02;1.044e+00;7.499e-01;-8.699e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.006656000;1.044e+00;8.332e-01;-1.111e-04;7.977e-01;-1.064e-04;1.044e+00;1.060e+00;8.059e-01;6.336e-02;1.044e+00;7.499e-01;-9.999e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.007168000;1.044e+00;8.332e-01;-1.256e-04;7.977e-01;-1.202e-04;1.044e+00;1.060e+00;8.059e-01;6.334e-02;1.044e+00;7.499e-01;-1.130e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.007680000;1.044e+00;8.332e-01;-1.411e-04;7.977e-01;-1.351e-04;1.044e+00;1.060e+00;8.059e-01;6.333e-02;1.044e+00;7.498e-01;-1.270e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.008192000;1.044e+00;8.331e-01;-1.578e-04;7.977e-01;-1.511e-04;1.044e+00;1.060e+00;8.059e-01;6.331e-02;1.044e+00;7.498e-01;-1.420e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.008704000;1.044e+00;8.331e-01;-1.744e-04;7.977e-01;-1.670e-04;1.044e+00;1.060e+00;8.059e-01;6.330e-02;1.044e+00;7.498e-01;-1.570e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.012288000;1.044e+00;8.331e-01;-3.133e-04;7.977e-01;-3.000e-04;1.044e+00;1.060e+00;8.059e-01;6.316e-02;1.044e+00;7.498e-01;-2.820e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.012800000;1.044e+00;8.330e-01;-3.356e-04;7.977e-01;-3.213e-04;1.044e+00;1.060e+00;8.059e-01;6.314e-02;1.044e+00;7.497e-01;-3.020e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.013824000;1.044e+00;8.330e-01;-3.811e-04;7.977e-01;-3.649e-04;1.044e+00;1.060e+00;8.059e-01;6.310e-02;1.044e+00;7.497e-01;-3.430e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.014336000;1.044e+00;8.330e-01;-4.044e-04;7.976e-01;-3.873e-04;1.044e+00;1.060e+00;8.058e-01;6.307e-02;1.044e+00;7.497e-01;-3.640e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.016896000;1.044e+00;8.330e-01;-5.300e-04;7.976e-01;-5.075e-04;1.044e+00;1.060e+00;8.058e-01;6.296e-02;1.044e+00;7.497e-01;-4.770e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.017408000;1.044e+00;8.330e-01;-5.567e-04;7.976e-01;-5.331e-04;1.044e+00;1.060e+00;8.058e-01;6.293e-02;1.044e+00;7.497e-01;-5.010e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.017920000;1.044e+00;8.329e-01;-5.833e-04;7.976e-01;-5.586e-04;1.044e+00;1.060e+00;8.058e-01;6.291e-02;1.044e+00;7.496e-01;-5.250e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.023280000;1.044e+00;8.329e-01;-8.811e-04;7.976e-01;-8.438e-04;1.044e+00;1.060e+00;8.058e-01;6.263e-02;1.044e+00;7.496e-01;-7.930e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
