time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;5.000e-01;4.178e-08;4.787e-01;-1.595e-08;1.048e+00;1.044e+00;4.500e-01;-5.725e-08;1.000e+01;4.893e-01;-1.092e-02;1.048e+00;5.000e+01;5.000e+01
20.002300000;1.044e+00;5.000e-01;-2.303e-09;4.787e-01;3.068e-08;1.048e+00;1.044e+00;4.500e-01;4.004e-08;1.000e+01;4.893e-01;-1.092e-02;1.048e+00;5.000e+01;5.000e+01
20.002812000;1.044e+00;5.000e-01;1.109e-06;4.787e-01;1.093e-06;1.048e+00;1.044e+00;4.500e-01;1.039e-06;1.000e+01;4.894e-01;-1.092e-02;1.048e+00;5.000e+01;5.000e+01
20.003836000;1.044e+00;5.000e-01;2.220e-06;4.787e-01;2.153e-06;1.048e+00;1.044e+00;4.500e-01;2.035e-06;1.000e+01;4.895e-01;-1.091e-02;1.048e+00;5.000e+01;5.000e+01
20.004836000;1.044e+00;5.000e-01;3.331e-06;4.788e-01;3.214e-06;1.048e+00;1.044e+00;4.500e-01;3.033e-06;1.000e+01;4.896e-01;-1.090e-02;1.048e+00;5.000e+01;5.000e+01
20.010836000;1.044e+00;5.004e-01;1.111e-05;4.791e-01;1.065e-05;1.048e+00;1.044e+00;4.504e-01;1.002e-05;1.000e+01;4.902e-01;-1.080e-02;1.048e+00;5.000e+01;5.000e+01
20.011836000;1.044e+00;5.005e-01;1.111e-05;4.792e-01;1.065e-05;1.048e+00;1.044e+00;4.505e-01;1.001e-05;1.000e+01;4.903e-01;-1.079e-02;1.048e+00;5.000e+01;5.000e+01
20.012836000;1.044e+00;5.006e-01;1.111e-05;4.793e-01;1.065e-05;1.048e+00;1.044e+00;4.505e-01;1.001e-05;1.000e+01;4.904e-01;-1.077e-02;1.048e+00;5.001e+01;5.001e+01
20.013836000;1.044e+00;5.007e-01;1.111e-05;4.794e-01;1.064e-05;1.048e+00;1.044e+00;4.506e-01;1.001e-05;1.000e+01;4.906e-01;-1.076e-02;1.048e+00;5.001e+01;5.001e+01
20.015836000;1.044e+00;5.009e-01;1.111e-05;4.796e-01;1.064e-05;1.048e+00;1.044e+00;4.508e-01;1.000e-05;1.000e+01;4.909e-01;-1.075e-02;1.048e+00;5.001e+01;5.001e+01
20.017836000;1.044e+00;5.012e-01;1.110e-05;4.799e-01;1.064e-05;1.048e+00;1.044e+00;4.511e-01;9.996e-06;1.000e+01;4.912e-01;-1.073e-02;1.048e+00;5.001e+01;5.001e+01
20.021836000;1.044e+00;5.018e-01;8.879e-06;4.805e-01;8.505e-06;1.048e+00;1.044e+00;4.516e-01;7.985e-06;1.000e+01;4.918e-01;-1.070e-02;1.048e+00;5.001e+01;5.001e+01
20.022836000;1.044e+00;5.019e-01;8.877e-06;4.806e-01;8.504e-06;1.048e+00;1.044e+00;4.518e-01;7.982e-06;1.000e+01;4.920e-01;-1.070e-02;1.048e+00;5.001e+01;5.001e+01
20.025836000;1.044e+00;5.025e-01;6.651e-06;4.811e-01;6.375e-06;1.048e+00;1.044e+00;4.522e-01;5.974e-06;1.000e+01;4.926e-01;-1.068e-02;1.048e+00;5.001e+01;5.001e+01
20.027836000;1.044e+00;5.028e-01;5.537e-06;4.815e-01;5.310e-06;1.048e+00;1.044e+00;4.525e-01;4.969e-06;1.000e+01;4.930e-01;-1.067e-02;1.048e+00;5.001e+01;5.001e+01
20.029836000;1.044e+00;5.032e-01;4.422e-06;4.819e-01;4.244e-06;1.048e+00;1.044e+00;4.529e-01;3.964e-06;1.000e+01;4.934e-01;-1.066e-02;1.048e+00;5.001e+01;5.001e+01
20.033836000;1.044e+00;5.040e-01;2.196e-06;4.827e-01;2.115e-06;1.048e+00;1.044e+00;4.536e-01;1.955e-06;1.000e+01;4.943e-01;-1.065e-02;1.048e+00;5.001e+01;5.001e+01
20.034836000;1.044e+00;5.043e-01;1.084e-06;4.829e-01;1.050e-06;1.048e+00;1.044e+00;4.538e-01;9.522e-07;1.000e+01;4.945e-01;-1.065e-02;1.048e+00;5.001e+01;5.001e+01
20.040836000;1.044e+00;5.056e-01;-2.253e-06;4.842e-01;-2.142e-06;1.048e+00;1.044e+00;4.551e-01;-2.060e-06;1.000e+01;4.960e-01;-1.064e-02;1.048e+00;5.001e+01;5.001e+01
20.045836000;1.044e+00;5.069e-01;-5.588e-06;4.855e-01;-5.333e-06;1.048e+00;1.044e+00;4.562e-01;-5.067e-06;1.000e+01;4.973e-01;-1.064e-02;1.048e+00;5.001e+01;5.001e+01
20.046836000;1.044e+00;5.072e-01;-6.698e-06;4.857e-01;-6.397e-06;1.048e+00;1.044e+00;4.564e-01;-6.068e-06;1.000e+01;4.976e-01;-1.063e-02;1.048e+00;5.001e+01;5.001e+01
20.048653000;1.044e+00;5.076e-01;-7.800e-06;4.862e-01;-7.454e-06;1.048e+00;1.044e+00;4.569e-01;-7.068e-06;1.000e+01;4.981e-01;-1.063e-02;1.048e+00;5.001e+01;5.001e+01
20.051685000;1.044e+00;5.085e-01;-8.889e-06;4.870e-01;-8.497e-06;1.048e+00;1.044e+00;4.576e-01;-8.059e-06;1.000e+01;4.990e-01;-1.063e-02;1.048e+00;5.001e+01;5.001e+01
20.052685000;1.044e+00;5.088e-01;-9.997e-06;4.873e-01;-9.558e-06;1.048e+00;1.044e+00;4.579e-01;-9.057e-06;1.000e+01;4.993e-01;-1.063e-02;1.048e+00;5.001e+01;5.001e+01
20.053685000;1.044e+00;5.091e-01;-9.995e-06;4.876e-01;-9.556e-06;1.048e+00;1.044e+00;4.582e-01;-9.056e-06;1.000e+01;4.996e-01;-1.064e-02;1.048e+00;5.002e+01;5.002e+01
20.060685000;1.044e+00;5.112e-01;-1.442e-05;4.897e-01;-1.379e-05;1.048e+00;1.044e+00;4.600e-01;-1.305e-05;1.000e+01;5.017e-01;-1.064e-02;1.048e+00;5.002e+01;5.002e+01
20.062685000;1.044e+00;5.118e-01;-1.665e-05;4.903e-01;-1.591e-05;1.048e+00;1.044e+00;4.606e-01;-1.504e-05;1.000e+01;5.024e-01;-1.064e-02;1.048e+00;5.002e+01;5.002e+01
