time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;8.333e-02;7.979e-01;7.979e-02;1.078e+00;1.044e+00;7.500e-01;7.500e-02;1.000e+01;8.068e-01;-1.003e-01;1.078e+00;5.000e+01;5.000e+01
0.000014000;1.044e+00;8.331e-01;8.327e-02;7.976e-01;7.973e-02;1.078e+00;1.044e+00;7.498e-01;7.494e-02;1.000e+01;3.562e-01;-1.007e-01;1.078e+00;4.999e+01;4.999e+01
0.000161000;1.044e+00;8.290e-01;8.235e-02;7.936e-01;7.884e-02;1.078e+00;1.044e+00;7.461e-01;7.412e-02;1.000e+01;3.761e-01;-1.062e-01;1.078e+00;4.979e+01;4.979e+01
0.000219000;1.045e+00;8.273e-01;8.200e-02;7.920e-01;7.851e-02;1.078e+00;1.045e+00;7.446e-01;7.380e-02;1.000e+01;3.842e-01;-1.083e-01;1.078e+00;4.972e+01;4.972e+01
0.000569000;1.045e+00;8.170e-01;8.017e-02;7.820e-01;7.674e-02;1.078e+00;1.045e+00;7.353e-01;7.215e-02;1.000e+01;4.344e-01;-1.208e-01;1.078e+00;4.934e+01;4.934e+01
0.000627000;1.045e+00;8.153e-01;7.991e-02;7.803e-01;7.648e-02;1.077e+00;1.045e+00;7.337e-01;7.192e-02;1.000e+01;4.430e-01;-1.228e-01;1.078e+00;4.928e+01;4.928e+01
0.001022000;1.045e+00;8.035e-01;7.844e-02;7.687e-01;7.504e-02;1.077e+00;1.045e+00;7.231e-01;7.060e-02;1.000e+01;5.008e-01;-1.348e-01;1.078e+00;4.899e+01;4.899e+01
0.001162000;1.045e+00;7.994e-01;7.806e-02;7.646e-01;7.466e-02;1.077e+00;1.045e+00;7.195e-01;7.025e-02;1.000e+01;5.209e-01;-1.384e-01;1.078e+00;4.892e+01;4.892e+01
0.001194000;1.046e+00;7.985e-01;7.798e-02;7.637e-01;7.459e-02;1.077e+00;1.046e+00;7.186e-01;7.018e-02;1.000e+01;5.254e-01;-1.392e-01;1.078e+00;4.890e+01;4.890e+01
0.001322000;1.046e+00;7.949e-01;7.770e-02;7.601e-01;7.430e-02;1.077e+00;1.046e+00;7.154e-01;6.993e-02;1.000e+01;5.433e-01;-1.421e-01;1.078e+00;4.885e+01;4.885e+01
