time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000001000;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000002000;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000004000;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000008000;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000016000;1.044e+00;8.333e-01;2.815e-07;7.979e-01;2.695e-07;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000032000;1.044e+00;8.333e-01;4.215e-17;7.979e-01;4.035e-17;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000064000;1.044e+00;8.333e-01;4.215e-17;7.979e-01;4.035e-17;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000128000;1.044e+00;8.333e-01;-1.056e-06;7.979e-01;-1.011e-06;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000256000;1.044e+00;8.333e-01;-2.516e-06;7.979e-01;-2.409e-06;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.000512000;1.044e+00;8.333e-01;-7.898e-06;7.978e-01;-7.562e-06;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.001024000;1.044e+00;8.332e-01;-3.679e-05;7.977e-01;-3.523e-05;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.002048000;1.044e+00;8.326e-01;-1.495e-04;7.971e-01;-1.431e-04;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.003072000;1.044e+00;8.315e-01;-3.335e-04;7.961e-01;-3.193e-04;1.051e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
