time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;9.922e-01;4.160e-01;-4.440e-01;4.193e-01;-4.475e-01;9.922e-01;1.040e-03;-1.110e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.989994000;9.922e-01;4.160e-01;-4.440e-01;4.193e-01;-4.475e-01;9.922e-01;1.040e-03;-1.110e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990009000;9.922e-01;4.160e-01;-4.440e-01;4.193e-01;-4.475e-01;9.922e-01;1.040e-03;-1.110e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990032000;9.923e-01;4.160e-01;-4.448e-01;4.192e-01;-4.482e-01;9.923e-01;1.040e-03;-1.112e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990043000;9.923e-01;4.160e-01;-4.448e-01;4.192e-01;-4.482e-01;9.923e-01;1.040e-03;-1.112e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990110000;9.925e-01;4.160e-01;-4.460e-01;4.191e-01;-4.494e-01;9.925e-01;1.040e-03;-1.115e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990154000;9.927e-01;4.164e-01;-4.468e-01;4.195e-01;-4.501e-01;9.927e-01;1.041e-03;-1.117e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990199000;9.928e-01;4.164e-01;-4.476e-01;4.194e-01;-4.508e-01;9.928e-01;1.041e-03;-1.119e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990243000;9.930e-01;4.164e-01;-4.480e-01;4.193e-01;-4.512e-01;9.930e-01;1.041e-03;-1.120e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990332000;9.933e-01;4.164e-01;-4.496e-01;4.192e-01;-4.526e-01;9.933e-01;1.041e-03;-1.124e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990377000;9.934e-01;4.168e-01;-4.500e-01;4.196e-01;-4.530e-01;9.934e-01;1.042e-03;-1.125e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990421000;9.936e-01;4.168e-01;-4.508e-01;4.195e-01;-4.537e-01;9.936e-01;1.042e-03;-1.127e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990511000;9.939e-01;4.168e-01;-4.516e-01;4.193e-01;-4.544e-01;9.939e-01;1.042e-03;-1.129e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990555000;9.941e-01;4.168e-01;-4.520e-01;4.193e-01;-4.547e-01;9.941e-01;1.042e-03;-1.130e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990600000;9.943e-01;4.172e-01;-4.528e-01;4.196e-01;-4.554e-01;9.943e-01;1.043e-03;-1.132e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990769000;9.950e-01;4.172e-01;-4.544e-01;4.193e-01;-4.567e-01;9.950e-01;1.043e-03;-1.136e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990849000;9.953e-01;4.176e-01;-4.548e-01;4.196e-01;-4.569e-01;9.953e-01;1.044e-03;-1.137e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
29.990929000;9.957e-01;4.176e-01;-4.556e-01;4.194e-01;-4.576e-01;9.957e-01;1.044e-03;-1.139e-03;5.000e+01;1.000e+01;4.160e-01;-4.440e-01;5.000e+01
