time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.320e-01;1.030e-08;8.320e-01;-3.441e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;-0.000e+00;1.000e+01;8.320e-01;4.699e-05
0.000001000;1.000e+00;8.320e-01;1.021e-08;8.320e-01;-3.401e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;-0.000e+00;1.000e+01;8.320e-01;4.699e-05
19.999996000;1.000e+00;8.320e-01;-1.390e-09;8.320e-01;2.877e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;0.000e+00;1.000e+01;8.320e-01;4.700e-05
19.999996000;1.000e+00;8.320e-01;-1.239e-09;8.320e-01;2.659e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;0.000e+00;1.000e+01;8.320e-01;-2.215e-02
20.000348000;1.000e+00;8.320e-01;2.295e-09;8.320e-01;-1.903e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;-0.000e+00;1.000e+01;8.320e-01;-2.215e-02
20.000465000;9.999e-01;8.320e-01;2.509e-09;8.320e-01;-1.784e-09;1.000e+00;8.320e-01;6.800e-03;9.999e-01;2.080e-03;-0.000e+00;1.000e+01;8.320e-01;-2.215e-02
20.000583000;9.999e-01;8.320e-01;-4.000e-04;8.321e-01;-4.000e-04;1.000e+00;8.320e-01;6.800e-03;9.999e-01;2.080e-03;-1.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.000701000;9.999e-01;8.320e-01;-4.000e-04;8.321e-01;-4.000e-04;1.000e+00;8.320e-01;6.800e-03;9.999e-01;2.080e-03;-1.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.000936000;9.999e-01;8.320e-01;-4.000e-04;8.321e-01;-4.000e-04;9.999e-01;8.321e-01;6.801e-03;9.999e-01;2.080e-03;-1.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.001406000;9.998e-01;8.320e-01;-4.000e-04;8.321e-01;-4.001e-04;9.999e-01;8.321e-01;6.401e-03;9.998e-01;2.080e-03;-1.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.001824000;9.998e-01;8.316e-01;-8.000e-04;8.318e-01;-8.002e-04;9.998e-01;8.318e-01;6.401e-03;9.998e-01;2.079e-03;-2.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.002242000;9.997e-01;8.316e-01;-8.000e-04;8.318e-01;-8.002e-04;9.998e-01;8.318e-01;6.001e-03;9.997e-01;2.079e-03;-2.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.002659000;9.997e-01;8.316e-01;-8.000e-04;8.319e-01;-8.003e-04;9.997e-01;8.318e-01;6.002e-03;9.997e-01;2.079e-03;-2.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.003077000;9.996e-01;8.316e-01;-1.200e-03;8.319e-01;-1.200e-03;9.997e-01;8.319e-01;6.002e-03;9.996e-01;2.079e-03;-3.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.003494000;9.996e-01;8.316e-01;-1.200e-03;8.320e-01;-1.201e-03;9.996e-01;8.319e-01;5.602e-03;9.996e-01;2.079e-03;-3.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.003912000;9.995e-01;8.316e-01;-1.600e-03;8.320e-01;-1.601e-03;9.996e-01;8.320e-01;5.603e-03;9.995e-01;2.079e-03;-4.000e-06;1.000e+01;8.320e-01;-2.215e-02
20.004330000;9.995e-01;8.316e-01;-1.600e-03;8.320e-01;-1.601e-03;9.995e-01;8.320e-01;5.603e-03;9.995e-01;2.079e-03;-4.000e-06;1.000e+01;8.320e-01;-2.215e-02
