time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.320e-01;0.000e+00;8.320e-01;0.000e+00;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;0.000e+00;1.000e+01;8.320e-01;4.700e-05
29.999994000;1.000e+00;8.320e-01;0.000e+00;8.320e-01;0.000e+00;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;0.000e+00;1.000e+01;8.320e-01;4.700e-05
29.999994000;2.999e-06;2.870e-09;4.000e-04;-6.879e-10;0.000e+00;1.000e+00;1.060e-01;9.923e+01;3.005e-06;-1.446e-09;1.000e-06;1.000e+01;8.320e-01;4.700e-05
29.999998000;2.999e-06;1.907e-09;4.000e-04;1.264e-10;0.000e+00;9.992e-01;1.057e-01;9.915e+01;3.005e-06;-1.963e-09;1.000e-06;1.000e+01;8.320e-01;4.700e-05
30.000020000;3.000e-06;3.189e-09;4.000e-04;3.486e-09;0.000e+00;9.948e-01;1.054e-01;9.871e+01;2.999e-06;-3.079e-09;1.000e-06;1.000e+01;8.320e-01;4.700e-05
30.000769000;1.999e-06;1.191e-08;4.000e-04;1.447e-09;0.000e+00;8.560e-01;9.066e-02;8.494e+01;1.997e-06;-1.933e-09;1.000e-06;1.000e+01;8.320e-01;4.700e-05
30.000820000;1.999e-06;1.196e-08;0.000e+00;1.447e-09;0.000e+00;8.471e-01;8.972e-02;8.406e+01;1.997e-06;-1.916e-09;0.000e+00;1.000e+01;8.320e-01;4.700e-05
30.011245000;1.781e-09;-2.563e-09;0.000e+00;-4.479e-09;0.000e+00;9.757e-02;1.230e-02;9.683e+00;-2.447e-09;3.851e-10;0.000e+00;1.000e+01;8.320e-01;4.700e-05
30.016076000;-3.029e-09;6.581e-10;0.000e+00;-4.542e-09;0.000e+00;4.288e-02;-9.088e-10;4.253e+00;-1.550e-09;-2.608e-09;0.000e+00;1.000e+01;8.320e-01;4.700e-05
30.020658000;-3.594e-09;-1.054e-09;0.000e+00;2.436e-10;0.000e+00;2.467e-02;-1.109e-09;2.449e+00;1.398e-09;-2.166e-09;0.000e+00;1.000e+01;8.320e-01;4.700e-05
30.042684000;4.667e-09;-3.569e-09;0.000e+00;8.379e-10;0.000e+00;1.324e-02;-7.998e-09;1.300e+00;6.740e-10;-1.441e-09;0.000e+00;1.000e+01;8.320e-01;4.700e-05
30.046417000;5.237e-09;-4.265e-09;0.000e+00;-7.940e-11;0.000e+00;1.316e-02;-7.762e-09;1.307e+00;-1.190e-11;4.994e-10;0.000e+00;1.000e+01;8.320e-01;4.700e-05
100.000000000;-8.668e-10;7.308e-10;0.000e+00;-3.129e-09;0.000e+00;1.310e-02;4.145e-10;1.313e+00;7.705e-09;6.202e-10;0.000e+00;1.000e+01;8.320e-01;4.700e-05
