time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.044e+00;8.320e-01;-4.440e-01;7.966e-01;-4.251e-01;9.879e-01;8.422e-01;-3.255e-01;1.044e+00;2.080e-03;-1.110e-03;1.000e+01;8.320e-01;-4.439e-01
29.999994000;1.044e+00;8.320e-01;-4.440e-01;7.966e-01;-4.251e-01;9.879e-01;8.422e-01;-3.255e-01;1.044e+00;2.080e-03;-1.110e-03;1.000e+01;8.320e-01;-4.439e-01
29.999994000;2.459e-09;1.068e-09;-3.636e-09;-2.233e-09;-2.721e-09;9.879e-01;1.239e-09;6.583e+00;2.955e-09;-2.001e-10;-1.550e-10;1.000e+01;8.320e-01;-4.439e-01
29.999994000;2.246e-09;1.182e-09;-3.629e-09;-2.083e-09;-2.692e-09;9.879e-01;1.128e-09;6.583e+00;2.953e-09;-4.330e-10;-8.739e-11;1.000e+01;8.320e-01;-4.439e-01
30.004758000;-7.741e-09;2.781e-09;6.268e-09;-9.510e-09;-1.001e-09;3.036e-01;-1.609e-09;2.023e+00;1.312e-09;4.272e-09;-1.329e-10;1.000e+01;8.320e-01;-4.439e-01
30.005206000;-8.192e-09;3.223e-09;5.243e-09;-9.306e-09;-2.665e-10;2.697e-01;-1.295e-09;1.797e+00;-3.102e-10;6.014e-09;-3.702e-10;1.000e+01;8.320e-01;-4.439e-01
30.006830000;1.455e-09;5.225e-09;-1.006e-09;-5.017e-09;2.419e-09;1.910e-01;-5.711e-11;1.273e+00;-1.983e-09;-5.925e-10;-7.488e-10;1.000e+01;8.320e-01;-4.439e-01
30.006957000;8.191e-10;4.319e-09;2.705e-09;-3.050e-09;4.072e-09;1.897e-01;7.555e-10;1.263e+00;-1.350e-09;-8.478e-10;-1.346e-09;1.000e+01;8.320e-01;-4.439e-01
30.007405000;8.519e-10;4.375e-09;6.926e-09;9.868e-10;3.226e-09;1.881e-01;2.274e-09;1.254e+00;-4.602e-10;-8.858e-10;-3.556e-09;1.000e+01;8.320e-01;-4.439e-01
30.008665000;-3.227e-10;-7.594e-09;-4.127e-10;4.203e-09;-2.647e-09;1.932e-01;4.631e-09;1.288e+00;-3.857e-10;-3.308e-10;-7.332e-09;1.000e+01;8.320e-01;-4.439e-01
30.008872000;-4.028e-09;-4.377e-09;1.764e-09;2.605e-09;-2.610e-09;1.936e-01;4.549e-09;1.291e+00;-2.460e-09;-1.978e-09;-7.110e-09;1.000e+01;8.320e-01;-4.439e-01
30.008987000;-4.186e-09;-3.891e-09;2.093e-09;2.287e-09;-2.892e-09;1.937e-01;4.841e-09;1.291e+00;-2.686e-09;-2.454e-09;-7.026e-09;1.000e+01;8.320e-01;-4.439e-01
30.009598000;-2.745e-09;9.191e-11;1.852e-09;9.640e-10;-5.913e-09;1.916e-01;8.163e-09;1.277e+00;-4.197e-09;-7.270e-09;-5.208e-09;1.000e+01;8.320e-01;-4.439e-01
30.010241000;-2.608e-09;3.708e-11;1.624e-09;5.600e-09;-6.034e-09;1.887e-01;7.458e-09;1.257e+00;-1.194e-09;-9.994e-09;-2.603e-09;1.000e+01;8.320e-01;-4.439e-01
30.011254000;-3.392e-10;-1.306e-09;6.923e-09;2.135e-09;-5.335e-09;1.874e-01;-7.621e-10;1.249e+00;1.157e-10;-6.700e-09;2.652e-09;1.000e+01;8.320e-01;-4.439e-01
30.011355000;-5.915e-10;-1.290e-09;7.275e-09;1.932e-09;-5.432e-09;1.874e-01;-9.223e-10;1.248e+00;-6.856e-11;-6.722e-09;2.800e-09;1.000e+01;8.320e-01;-4.439e-01
30.017723000;-1.886e-09;1.332e-09;5.853e-09;9.249e-09;-1.317e-09;1.928e-01;5.344e-09;1.285e+00;-8.875e-10;-6.410e-09;1.905e-10;1.000e+01;8.320e-01;-4.439e-01
30.029243000;-5.356e-09;-1.241e-09;-3.418e-09;2.158e-09;-7.949e-09;1.949e-01;-5.056e-09;1.299e+00;1.957e-10;2.779e-09;-6.273e-10;1.000e+01;8.320e-01;-4.439e-01
30.149994000;1.446e-09;-2.657e-09;5.271e-07;4.349e-09;-4.380e-07;1.951e-01;-1.193e-08;1.300e+00;4.309e-09;1.457e-09;-1.649e-09;1.000e+01;8.320e-01;-4.439e-01
30.149994000;4.489e-01;3.096e-01;-8.484e-01;6.896e-01;-1.890e+00;1.951e-01;1.587e+00;-1.236e+00;4.489e-01;7.740e-04;-2.121e-03;1.000e+01;8.320e-01;-4.439e-01
30.150411000;4.759e-01;3.292e-01;-8.680e-01;6.918e-01;-1.824e+00;2.273e-01;1.448e+00;-1.306e+00;4.759e-01;8.230e-04;-2.170e-03;1.000e+01;8.320e-01;-4.439e-01
30.150765000;4.983e-01;3.456e-01;-8.816e-01;6.936e-01;-1.769e+00;2.550e-01;1.355e+00;-1.332e+00;4.983e-01;8.640e-04;-2.204e-03;1.000e+01;8.320e-01;-4.439e-01
30.150797000;5.003e-01;3.472e-01;-8.824e-01;6.940e-01;-1.764e+00;2.575e-01;1.348e+00;-1.333e+00;5.003e-01;8.680e-04;-2.206e-03;1.000e+01;8.320e-01;-4.439e-01
30.151053000;5.162e-01;3.584e-01;-8.908e-01;6.943e-01;-1.726e+00;2.776e-01;1.291e+00;-1.339e+00;5.162e-01;8.960e-04;-2.227e-03;1.000e+01;8.320e-01;-4.439e-01
