time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;3.168e-08;7.979e-01;-1.943e-08;1.051e+00;1.044e+00;7.500e-01;-9.786e-08;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
0.000014000;1.044e+00;8.332e-01;-3.767e-05;7.977e-01;-3.617e-05;1.051e+00;1.044e+00;7.499e-01;-3.413e-05;1.000e+01;5.371e-01;-2.073e-02;1.051e+00;4.999e+01;4.999e+01
0.000279000;1.044e+00;8.285e-01;-1.049e-03;7.932e-01;-1.004e-03;1.051e+00;1.044e+00;7.456e-01;-9.441e-04;1.000e+01;5.503e-01;-2.450e-02;1.051e+00;4.978e+01;4.978e+01
0.000394000;1.045e+00;8.263e-01;-1.470e-03;7.911e-01;-1.407e-03;1.051e+00;1.045e+00;7.437e-01;-1.323e-03;1.000e+01;5.564e-01;-2.621e-02;1.051e+00;4.970e+01;4.970e+01
0.000807000;1.045e+00;8.181e-01;-2.849e-03;7.831e-01;-2.727e-03;1.051e+00;1.045e+00;7.363e-01;-2.564e-03;1.000e+01;5.797e-01;-3.245e-02;1.051e+00;4.945e+01;4.945e+01
0.001117000;1.045e+00;8.118e-01;-3.726e-03;7.768e-01;-3.565e-03;1.051e+00;1.045e+00;7.306e-01;-3.353e-03;1.000e+01;5.979e-01;-3.697e-02;1.051e+00;4.931e+01;4.931e+01
0.001220000;1.045e+00;8.096e-01;-3.986e-03;7.747e-01;-3.814e-03;1.050e+00;1.045e+00;7.287e-01;-3.587e-03;1.000e+01;6.041e-01;-3.841e-02;1.051e+00;4.927e+01;4.927e+01
0.001324000;1.045e+00;8.075e-01;-4.227e-03;7.726e-01;-4.044e-03;1.050e+00;1.045e+00;7.268e-01;-3.804e-03;1.000e+01;6.102e-01;-3.981e-02;1.051e+00;4.923e+01;4.923e+01
0.001430000;1.045e+00;8.053e-01;-4.458e-03;7.705e-01;-4.265e-03;1.050e+00;1.045e+00;7.248e-01;-4.012e-03;1.000e+01;6.165e-01;-4.120e-02;1.051e+00;4.920e+01;4.920e+01
0.001462000;1.045e+00;8.047e-01;-4.524e-03;7.698e-01;-4.328e-03;1.050e+00;1.045e+00;7.242e-01;-4.072e-03;1.000e+01;6.184e-01;-4.161e-02;1.051e+00;4.919e+01;4.919e+01
