time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;PV_Array_GEN_VoltageInjTerminal;PV_Array_GEN_ActiveCurrentInjTerminal;PV_Array_GEN_ReactiveCurrentInjTerminal;PV_Array_GEN_ActivePowerControlledPu;PV_Array_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;PV_Array_GEN_ActivePowerSetpointPu;PV_Array_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;8.320e-01;0.000e+00;8.320e-01;-0.000e+00;1.014e+00;8.310e-01;4.104e-02;8.424e-01;4.160e-02;1.000e+00;2.080e-03;-0.000e+00;8.424e-01;4.153e-02
19.999996;1.000e+00;8.320e-01;5.886e-07;8.320e-01;1.868e-07;1.014e+00;8.310e-01;4.104e-02;8.424e-01;4.160e-02;1.000e+00;2.080e-03;0.000e+00;8.424e-01;4.153e-02
19.999997;1.000e+00;8.320e-01;5.886e-07;8.320e-01;1.868e-07;1.014e+00;8.310e-01;4.104e-02;8.424e-01;4.160e-02;1.000e+00;2.080e-03;0.000e+00;8.424e-01;1.933e-02
20.000000;1.000e+00;8.320e-01;5.887e-07;8.320e-01;1.868e-07;1.014e+00;8.310e-01;4.104e-02;8.424e-01;4.160e-02;1.000e+00;2.080e-03;-0.000e+00;8.424e-01;1.933e-02
20.000373;1.000e+00;8.320e-01;5.913e-07;8.320e-01;1.850e-07;1.014e+00;8.310e-01;4.104e-02;8.424e-01;4.160e-02;1.000e+00;2.080e-03;-0.000e+00;8.424e-01;1.933e-02
20.000495;9.999e-01;8.320e-01;5.921e-07;8.320e-01;1.844e-07;1.014e+00;8.311e-01;4.065e-02;8.424e-01;4.120e-02;9.999e-01;2.080e-03;-0.000e+00;8.424e-01;1.933e-02
20.000617;9.999e-01;8.320e-01;-3.994e-04;8.321e-01;-3.998e-04;1.014e+00;8.311e-01;4.065e-02;8.424e-01;4.120e-02;9.999e-01;2.080e-03;-1.000e-06;8.424e-01;1.933e-02
20.000861;9.999e-01;8.320e-01;-3.994e-04;8.321e-01;-3.998e-04;1.014e+00;8.311e-01;4.065e-02;8.424e-01;4.120e-02;9.999e-01;2.080e-03;-1.000e-06;8.424e-01;1.933e-02
20.001350;9.999e-01;8.320e-01;-3.994e-04;8.321e-01;-3.999e-04;1.014e+00;8.307e-01;4.065e-02;8.420e-01;4.120e-02;9.999e-01;2.080e-03;-1.000e-06;8.424e-01;1.933e-02
20.001741;9.998e-01;8.316e-01;-3.994e-04;8.318e-01;-3.999e-04;1.013e+00;8.308e-01;4.026e-02;8.420e-01;4.080e-02;9.998e-01;2.079e-03;-1.000e-06;8.424e-01;1.933e-02
20.002131;9.998e-01;8.316e-01;-7.994e-04;8.318e-01;-8.000e-04;1.013e+00;8.308e-01;4.026e-02;8.420e-01;4.080e-02;9.998e-01;2.079e-03;-2.000e-06;8.424e-01;1.933e-02
20.002522;9.997e-01;8.316e-01;-7.994e-04;8.318e-01;-8.000e-04;1.013e+00;8.309e-01;4.026e-02;8.420e-01;4.080e-02;9.997e-01;2.079e-03;-2.000e-06;8.424e-01;1.933e-02
20.002913;9.997e-01;8.316e-01;-7.994e-04;8.319e-01;-8.000e-04;1.013e+00;8.309e-01;4.026e-02;8.420e-01;4.040e-02;9.997e-01;2.079e-03;-2.000e-06;8.424e-01;1.933e-02
20.003304;9.997e-01;8.316e-01;-1.199e-03;8.319e-01;-1.200e-03;1.013e+00;8.309e-01;3.987e-02;8.420e-01;4.040e-02;9.997e-01;2.079e-03;-3.000e-06;8.424e-01;1.933e-02
20.003695;9.996e-01;8.316e-01;-1.199e-03;8.319e-01;-1.200e-03;1.013e+00;8.310e-01;3.987e-02;8.420e-01;4.040e-02;9.996e-01;2.079e-03;-3.000e-06;8.424e-01;1.933e-02
20.004086;9.996e-01;8.316e-01;-1.199e-03;8.320e-01;-1.201e-03;1.013e+00;8.310e-01;3.987e-02;8.420e-01;4.040e-02;9.996e-01;2.079e-03;-3.000e-06;8.424e-01;1.933e-02
20.004476;9.995e-01;8.316e-01;-1.199e-03;8.320e-01;-1.201e-03;1.013e+00;8.307e-01;3.948e-02;8.416e-01;4.000e-02;9.995e-01;2.079e-03;-3.000e-06;8.424e-01;1.933e-02
20.004867;9.995e-01;8.312e-01;-1.599e-03;8.316e-01;-1.601e-03;1.013e+00;8.307e-01;3.948e-02;8.416e-01;4.000e-02;9.995e-01;2.078e-03;-4.000e-06;8.424e-01;1.933e-02
20.005258;9.995e-01;8.312e-01;-1.599e-03;8.316e-01;-1.601e-03;1.013e+00;8.307e-01;3.948e-02;8.416e-01;4.000e-02;9.995e-01;2.078e-03;-4.000e-06;8.424e-01;1.933e-02
20.005649;9.994e-01;8.312e-01;-1.599e-03;8.317e-01;-1.601e-03;1.013e+00;8.308e-01;3.909e-02;8.416e-01;3.960e-02;9.994e-01;2.078e-03;-4.000e-06;8.424e-01;1.933e-02
20.006040;9.994e-01;8.312e-01;-1.999e-03;8.317e-01;-2.001e-03;1.013e+00;8.308e-01;3.909e-02;8.416e-01;3.960e-02;9.994e-01;2.078e-03;-5.000e-06;8.424e-01;1.933e-02
20.006431;9.994e-01;8.312e-01;-1.999e-03;8.317e-01;-2.001e-03;1.013e+00;8.308e-01;3.909e-02;8.416e-01;3.960e-02;9.994e-01;2.078e-03;-5.000e-06;8.424e-01;1.933e-02
20.006822;9.993e-01;8.312e-01;-1.999e-03;8.318e-01;-2.001e-03;1.013e+00;8.309e-01;3.910e-02;8.416e-01;3.960e-02;9.993e-01;2.078e-03;-5.000e-06;8.424e-01;1.933e-02
