time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.320e-01;-0.000e+00;7.966e-01;-0.000e+00;1.044e+00;1.044e+00;2.080e-03;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;7.966e-01;-4.100e-05
29.999994000;1.044e+00;8.320e-01;-0.000e+00;7.966e-01;-0.000e+00;1.044e+00;1.044e+00;2.080e-03;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;7.966e-01;-4.100e-05
29.999994000;-8.892e-09;-5.535e-09;-0.000e+00;6.822e-09;0.000e+00;4.760e-04;-1.068e-09;-1.833e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;7.976e-01;1.300e+00
29.999994000;-7.267e-09;-3.189e-09;-0.000e+00;8.043e-09;0.000e+00;4.760e-04;-6.709e-10;-4.576e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;7.976e-01;1.300e+00
29.999995000;-4.313e-09;-1.757e-09;-0.000e+00;8.376e-09;0.000e+00;4.760e-04;-5.145e-10;-6.889e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;7.976e-01;1.300e+00
30.002991000;4.607e-09;-1.729e-09;-0.000e+00;3.555e-09;0.000e+00;2.270e-04;2.291e-11;-4.804e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;8.431e-01;1.300e+00
30.005109000;-1.031e-09;7.445e-10;-0.000e+00;-3.800e-10;0.000e+00;1.270e-04;-4.843e-09;-2.091e-10;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;8.605e-01;1.300e+00
30.006005000;8.938e-10;-1.996e-09;-0.000e+00;-1.538e-09;0.000e+00;1.060e-04;-1.299e-09;2.856e-10;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;8.673e-01;-2.139e-01
30.006468000;-3.911e-09;9.582e-10;-0.000e+00;-2.580e-09;0.000e+00;1.020e-04;2.383e-10;2.799e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;8.708e-01;-6.648e-01
30.011982000;-3.775e-10;1.505e-09;-0.000e+00;-4.411e-09;0.000e+00;9.600e-05;9.121e-10;9.552e-10;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;9.116e-01;-1.106e+00
30.015083000;-1.981e-11;4.109e-09;-0.000e+00;-1.522e-09;0.000e+00;9.700e-05;-7.727e-11;1.354e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;9.346e-01;-1.114e+00
30.015968000;-2.095e-09;5.072e-09;-0.000e+00;1.254e-09;0.000e+00;9.700e-05;-2.722e-09;1.095e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;8.413e-01;-1.115e+00
30.018979000;-2.626e-09;6.945e-09;-0.000e+00;2.217e-10;0.000e+00;9.500e-05;1.916e-10;5.809e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;7.023e-01;-1.118e+00
30.033754000;7.137e-09;-1.013e-09;-0.000e+00;3.473e-09;0.000e+00;8.400e-05;2.413e-09;4.040e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;3.976e-01;-1.131e+00
30.043226000;-8.701e-09;-7.096e-09;-0.000e+00;4.609e-09;0.000e+00;8.001e-05;-3.990e-09;-6.825e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;2.494e-01;-1.139e+00
30.044506000;-9.990e-09;-8.472e-09;-0.000e+00;4.188e-09;0.000e+00;8.001e-05;-3.915e-09;-8.487e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;2.341e-01;-1.140e+00
30.050591000;-2.416e-09;-6.365e-09;-0.000e+00;4.083e-09;0.000e+00;7.900e-05;9.745e-10;-7.387e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;1.730e-01;-1.144e+00
30.057138000;-1.373e-09;-1.414e-09;-0.000e+00;2.429e-09;0.000e+00;7.900e-05;4.930e-09;-6.454e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;1.248e-01;-1.149e+00
30.064121000;3.399e-10;2.097e-09;-0.000e+00;3.511e-09;0.000e+00;7.901e-05;7.052e-09;-7.543e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;8.806e-02;-1.155e+00
30.071977000;-4.301e-10;2.253e-09;-0.000e+00;3.869e-09;0.000e+00;7.901e-05;5.363e-09;-5.469e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;5.946e-02;-1.160e+00
30.080706000;-1.030e-09;-1.926e-09;-0.000e+00;3.780e-09;0.000e+00;7.900e-05;6.030e-09;-2.918e-09;-0.000e+00;1.000e+01;8.320e-01;4.300e-05;4.300e-05;3.843e-02;-1.166e+00
