time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.320e-01;3.220e-09;8.320e-01;2.966e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;1.883e-09;1.000e+01;8.320e-01;4.700e-05
29.999994000;1.000e+00;8.320e-01;-2.327e-09;8.320e-01;2.322e-09;1.000e+00;8.320e-01;6.800e-03;1.000e+00;2.080e-03;6.627e-09;1.000e+01;8.320e-01;4.700e-05
29.999994000;8.976e-01;1.576e+00;9.110e+00;1.755e+00;1.015e+01;1.000e+00;1.577e+00;1.018e+01;8.976e-01;3.939e-03;2.277e-02;1.000e+01;8.320e-01;4.700e-05
29.999998000;8.975e-01;1.575e+00;9.107e+00;1.755e+00;1.015e+01;1.000e+00;1.576e+00;1.018e+01;8.975e-01;3.937e-03;2.277e-02;1.000e+01;8.320e-01;4.700e-05
30.003336000;8.386e-01;1.041e+00;7.417e+00;1.242e+00;8.845e+00;9.278e-01;1.123e+00;8.861e+00;8.386e-01;2.603e-03;1.854e-02;1.000e+01;8.320e-01;4.700e-05
30.004040000;8.270e-01;9.364e-01;7.106e+00;1.132e+00;8.592e+00;9.137e-01;1.026e+00;8.605e+00;8.270e-01;2.341e-03;1.776e-02;1.000e+01;8.320e-01;4.700e-05
30.005337000;8.065e-01;7.676e-01;6.566e+00;9.518e-01;8.142e+00;8.886e-01;8.647e-01;8.152e+00;8.065e-01;1.919e-03;1.642e-02;1.000e+01;8.320e-01;4.700e-05
30.006360000;7.909e-01;6.604e-01;6.170e+00;8.350e-01;7.802e+00;8.696e-01;7.604e-01;7.809e+00;7.909e-01;1.651e-03;1.543e-02;1.000e+01;8.320e-01;4.700e-05
30.007252000;7.778e-01;5.848e-01;5.844e+00;7.518e-01;7.514e+00;8.536e-01;6.860e-01;7.520e+00;7.778e-01;1.462e-03;1.461e-02;1.000e+01;8.320e-01;4.700e-05
30.007764000;7.705e-01;5.476e-01;5.665e+00;7.107e-01;7.352e+00;8.446e-01;6.493e-01;7.358e+00;7.705e-01;1.369e-03;1.416e-02;1.000e+01;8.320e-01;4.700e-05
30.009556000;7.460e-01;4.504e-01;5.079e+00;6.038e-01;6.808e+00;8.146e-01;5.539e-01;6.813e+00;7.460e-01;1.126e-03;1.270e-02;1.000e+01;8.320e-01;4.700e-05
30.011220000;7.246e-01;4.004e-01;4.587e+00;5.526e-01;6.331e+00;7.884e-01;5.083e-01;6.334e+00;7.246e-01;1.001e-03;1.147e-02;1.000e+01;8.320e-01;4.700e-05
30.011732000;7.183e-01;3.916e-01;4.445e+00;5.452e-01;6.188e+00;7.807e-01;5.021e-01;6.192e+00;7.183e-01;9.790e-04;1.111e-02;1.000e+01;8.320e-01;4.700e-05
30.012500000;7.091e-01;3.832e-01;4.240e+00;5.404e-01;5.980e+00;7.694e-01;4.986e-01;5.984e+00;7.091e-01;9.580e-04;1.060e-02;1.000e+01;8.320e-01;4.700e-05
30.012884000;7.046e-01;3.812e-01;4.141e+00;5.410e-01;5.878e+00;7.638e-01;4.996e-01;5.881e+00;7.046e-01;9.530e-04;1.035e-02;1.000e+01;8.320e-01;4.700e-05
30.013396000;6.986e-01;3.808e-01;4.013e+00;5.451e-01;5.744e+00;7.566e-01;5.039e-01;5.747e+00;6.986e-01;9.520e-04;1.003e-02;1.000e+01;8.320e-01;4.700e-05
30.015956000;6.707e-01;4.056e-01;3.425e+00;6.047e-01;5.106e+00;7.222e-01;5.622e-01;5.112e+00;6.707e-01;1.014e-03;8.562e-03;1.000e+01;8.320e-01;4.700e-05
30.016596000;6.642e-01;4.176e-01;3.292e+00;6.288e-01;4.956e+00;7.141e-01;5.853e-01;4.961e+00;6.642e-01;1.044e-03;8.229e-03;1.000e+01;8.320e-01;4.700e-05
30.021270000;6.207e-01;5.376e-01;2.457e+00;8.662e-01;3.959e+00;6.606e-01;8.138e-01;3.970e+00;6.207e-01;1.344e-03;6.143e-03;1.000e+01;8.320e-01;4.700e-05
30.021654000;6.174e-01;5.476e-01;2.399e+00;8.869e-01;3.885e+00;6.566e-01;8.339e-01;3.897e+00;6.174e-01;1.369e-03;5.997e-03;1.000e+01;8.320e-01;4.700e-05
30.023702000;6.008e-01;5.912e-01;2.107e+00;9.840e-01;3.507e+00;6.363e-01;9.292e-01;3.522e+00;6.008e-01;1.478e-03;5.268e-03;1.000e+01;8.320e-01;4.700e-05
30.027299000;5.744e-01;6.240e-01;1.673e+00;1.086e+00;2.912e+00;6.039e-01;1.033e+00;2.932e+00;5.744e-01;1.560e-03;4.182e-03;1.000e+01;8.320e-01;4.700e-05
30.028315000;5.676e-01;6.244e-01;1.566e+00;1.100e+00;2.758e+00;5.955e-01;1.049e+00;2.778e+00;5.676e-01;1.561e-03;3.914e-03;1.000e+01;8.320e-01;4.700e-05
30.030087000;5.562e-01;6.180e-01;1.392e+00;1.111e+00;2.503e+00;5.816e-01;1.063e+00;2.524e+00;5.562e-01;1.545e-03;3.481e-03;1.000e+01;8.320e-01;4.700e-05
30.032383000;5.443e-01;6.064e-01;1.217e+00;1.114e+00;2.236e+00;5.669e-01;1.070e+00;2.257e+00;5.443e-01;1.516e-03;3.042e-03;1.000e+01;8.320e-01;4.700e-05
30.033620000;5.395e-01;6.008e-01;1.148e+00;1.114e+00;2.128e+00;5.610e-01;1.071e+00;2.150e+00;5.395e-01;1.502e-03;2.870e-03;1.000e+01;8.320e-01;4.700e-05
30.034233000;5.374e-01;5.980e-01;1.119e+00;1.113e+00;2.082e+00;5.585e-01;1.071e+00;2.104e+00;5.374e-01;1.495e-03;2.798e-03;1.000e+01;8.320e-01;4.700e-05
30.037006000;5.304e-01;5.820e-01;1.021e+00;1.097e+00;1.925e+00;5.499e-01;1.058e+00;1.946e+00;5.304e-01;1.455e-03;2.552e-03;1.000e+01;8.320e-01;4.700e-05
30.037774000;5.290e-01;5.764e-01;1.001e+00;1.090e+00;1.893e+00;5.482e-01;1.051e+00;1.914e+00;5.290e-01;1.441e-03;2.503e-03;1.000e+01;8.320e-01;4.700e-05
30.038158000;5.283e-01;5.732e-01;9.924e-01;1.085e+00;1.878e+00;5.474e-01;1.048e+00;1.900e+00;5.283e-01;1.433e-03;2.481e-03;1.000e+01;8.320e-01;4.700e-05
