time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.333e-01;-1.283e-08;7.979e-01;-2.886e-08;1.044e+00;7.500e-01;1.833e-09;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;-1.490e-02
0.000014000;1.044e+00;8.332e-01;-2.779e-05;7.978e-01;-2.659e-05;1.044e+00;7.499e-01;-2.500e-05;1.000e+01;8.335e-01;1.556e-02;1.556e-02;5.583e-01;-1.496e-02
0.002170000;1.045e+00;7.984e-01;-4.632e-03;7.637e-01;-4.431e-03;1.045e+00;7.186e-01;-4.169e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;6.576e-01;-3.606e-02
0.003152000;1.046e+00;7.839e-01;-5.142e-03;7.491e-01;-4.914e-03;1.046e+00;7.055e-01;-4.628e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.002e-01;-4.217e-02
0.003741000;1.047e+00;7.768e-01;-4.994e-03;7.419e-01;-4.770e-03;1.047e+00;6.991e-01;-4.495e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.212e-01;-4.379e-02
0.003937000;1.047e+00;7.748e-01;-4.883e-03;7.398e-01;-4.663e-03;1.047e+00;6.973e-01;-4.395e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.273e-01;-4.400e-02
0.004133000;1.047e+00;7.729e-01;-4.744e-03;7.379e-01;-4.530e-03;1.047e+00;6.956e-01;-4.270e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.330e-01;-4.405e-02
0.005115000;1.048e+00;7.658e-01;-3.733e-03;7.305e-01;-3.561e-03;1.048e+00;6.892e-01;-3.360e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.544e-01;-4.220e-02
0.005311000;1.049e+00;7.648e-01;-3.487e-03;7.294e-01;-3.325e-03;1.049e+00;6.884e-01;-3.138e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.573e-01;-4.148e-02
0.005409000;1.049e+00;7.644e-01;-3.359e-03;7.290e-01;-3.203e-03;1.049e+00;6.880e-01;-3.023e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.586e-01;-4.109e-02
0.006096000;1.049e+00;7.623e-01;-2.423e-03;7.266e-01;-2.310e-03;1.049e+00;6.861e-01;-2.181e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.651e-01;-3.776e-02
0.006587000;1.050e+00;7.617e-01;-1.742e-03;7.258e-01;-1.660e-03;1.050e+00;6.855e-01;-1.568e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.671e-01;-3.497e-02
0.006784000;1.050e+00;7.616e-01;-1.473e-03;7.256e-01;-1.404e-03;1.050e+00;6.855e-01;-1.326e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.674e-01;-3.379e-02
0.006980000;1.050e+00;7.616e-01;-1.209e-03;7.256e-01;-1.152e-03;1.050e+00;6.855e-01;-1.088e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.674e-01;-3.259e-02
0.007824000;1.050e+00;7.625e-01;-1.556e-04;7.261e-01;-1.481e-04;1.050e+00;6.862e-01;-1.400e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.649e-01;-2.738e-02
