time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.000e+00;8.333e-01;-2.224e-06;8.333e-01;-2.226e-06;1.000e+00;1.017e+00;8.414e-01;7.171e-02;1.000e+00;7.500e-01;-1.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.000001000;1.000e+00;8.333e-01;-2.224e-06;8.333e-01;-2.226e-06;1.000e+00;1.017e+00;8.414e-01;7.171e-02;1.000e+00;7.500e-01;-1.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.001028000;1.000e+00;8.333e-01;-3.334e-06;8.333e-01;-3.335e-06;1.000e+00;1.017e+00;8.414e-01;7.171e-02;1.000e+00;7.500e-01;-2.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.002028000;1.000e+00;8.333e-01;-4.445e-06;8.333e-01;-4.446e-06;1.000e+00;1.017e+00;8.414e-01;7.170e-02;1.000e+00;7.500e-01;-3.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.003028000;1.000e+00;8.333e-01;-4.445e-06;8.333e-01;-4.445e-06;1.000e+00;1.017e+00;8.414e-01;7.170e-02;1.000e+00;7.499e-01;-3.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.004028000;1.000e+00;8.333e-01;-5.557e-06;8.333e-01;-5.557e-06;1.000e+00;1.017e+00;8.414e-01;7.170e-02;1.000e+00;7.499e-01;-4.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.005028000;1.000e+00;8.333e-01;-5.557e-06;8.333e-01;-5.557e-06;1.000e+00;1.017e+00;8.413e-01;7.170e-02;1.000e+00;7.499e-01;-4.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.006028000;1.000e+00;8.332e-01;-5.557e-06;8.332e-01;-5.557e-06;1.000e+00;1.017e+00;8.413e-01;7.170e-02;1.000e+00;7.499e-01;-4.999e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.009028000;1.000e+00;8.332e-01;-5.557e-06;8.332e-01;-5.556e-06;1.000e+00;1.017e+00;8.413e-01;7.170e-02;1.000e+00;7.499e-01;-4.998e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.010028000;1.000e+00;8.332e-01;-4.445e-06;8.332e-01;-4.443e-06;1.000e+00;1.017e+00;8.413e-01;7.169e-02;1.000e+00;7.499e-01;-3.998e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.011028000;1.000e+00;8.332e-01;-4.446e-06;8.332e-01;-4.443e-06;1.000e+00;1.017e+00;8.413e-01;7.170e-02;1.000e+00;7.499e-01;-3.998e-06;1.000e+01;8.333e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
