time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-2.214e-06;7.979e-01;-2.127e-06;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-2.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000001000;1.044e+00;8.333e-01;-3.325e-06;7.979e-01;-3.190e-06;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-2.999e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000023000;1.044e+00;8.333e-01;-8.888e-06;7.979e-01;-8.503e-06;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-7.992e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000034000;1.044e+00;8.333e-01;-1.222e-05;7.979e-01;-1.169e-05;1.044e+00;1.060e+00;8.060e-01;6.347e-02;1.044e+00;7.500e-01;-1.099e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000055000;1.044e+00;8.333e-01;-1.889e-05;7.979e-01;-1.808e-05;1.044e+00;1.060e+00;8.060e-01;6.346e-02;1.044e+00;7.500e-01;-1.699e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000098000;1.044e+00;8.333e-01;-3.111e-05;7.979e-01;-2.978e-05;1.044e+00;1.060e+00;8.060e-01;6.345e-02;1.044e+00;7.500e-01;-2.799e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000184000;1.044e+00;8.333e-01;-5.556e-05;7.978e-01;-5.318e-05;1.044e+00;1.060e+00;8.060e-01;6.342e-02;1.044e+00;7.500e-01;-4.999e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000270000;1.044e+00;8.333e-01;-8.000e-05;7.978e-01;-7.659e-05;1.044e+00;1.060e+00;8.060e-01;6.340e-02;1.044e+00;7.500e-01;-7.199e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000355000;1.044e+00;8.333e-01;-1.044e-04;7.978e-01;-9.999e-05;1.044e+00;1.060e+00;8.060e-01;6.338e-02;1.044e+00;7.499e-01;-9.399e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000527000;1.044e+00;8.333e-01;-1.533e-04;7.978e-01;-1.468e-04;1.044e+00;1.060e+00;8.060e-01;6.333e-02;1.044e+00;7.499e-01;-1.380e-04;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
