time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;6.660e-01;-3.135e-10;6.660e-01;7.206e-10;1.000e+00;6.660e-01;-2.879e-09;1.000e+00;3.330e-03;-3.371e-09;1.000e+01;6.660e-01;9.000e-05
29.999994000;1.000e+00;6.660e-01;-2.503e-09;6.660e-01;1.350e-09;1.000e+00;6.660e-01;7.980e-09;1.000e+00;3.330e-03;2.191e-10;1.000e+01;6.660e-01;9.000e-05
29.999994000;4.519e-01;3.010e-01;-2.596e-09;6.661e-01;1.368e-09;4.519e-01;6.661e-01;7.892e-09;4.519e-01;1.505e-03;2.277e-10;1.000e+01;6.660e-01;9.000e-05
29.999996000;4.519e-01;3.010e-01;-2.764e-09;6.661e-01;1.436e-09;4.519e-01;6.661e-01;7.702e-09;4.519e-01;1.505e-03;3.119e-10;1.000e+01;6.660e-01;9.000e-05
30.000058000;4.519e-01;3.010e-01;-2.941e-09;6.661e-01;1.717e-09;4.519e-01;6.661e-01;7.154e-09;4.519e-01;1.505e-03;7.749e-10;1.000e+01;6.660e-01;9.000e-05
30.000378000;4.519e-01;3.010e-01;-2.788e-09;6.661e-01;1.924e-09;4.519e-01;6.661e-01;4.426e-04;4.519e-01;1.505e-03;1.182e-09;1.000e+01;6.660e-01;9.000e-05
30.002039000;4.522e-01;3.028e-01;3.600e-03;6.696e-01;7.960e-03;4.523e-01;6.695e-01;7.960e-03;4.522e-01;1.514e-03;1.801e-05;1.000e+01;6.660e-01;9.000e-05
30.003127000;4.529e-01;3.054e-01;9.800e-03;6.744e-01;2.164e-02;4.529e-01;6.743e-01;2.208e-02;4.529e-01;1.527e-03;4.900e-05;1.000e+01;6.660e-01;9.000e-05
30.004304000;4.539e-01;3.094e-01;1.960e-02;6.817e-01;4.318e-02;4.539e-01;6.817e-01;4.362e-02;4.539e-01;1.547e-03;9.800e-05;1.000e+01;6.660e-01;9.000e-05
30.006493000;4.563e-01;3.198e-01;4.400e-02;7.009e-01;9.643e-02;4.563e-01;7.008e-01;9.686e-02;4.563e-01;1.599e-03;2.200e-04;1.000e+01;6.660e-01;9.000e-05
30.011517000;4.634e-01;3.478e-01;1.164e-01;7.506e-01;2.512e-01;4.634e-01;7.505e-01;2.516e-01;4.634e-01;1.739e-03;5.820e-04;1.000e+01;6.660e-01;9.000e-05
30.011901000;4.640e-01;3.496e-01;1.226e-01;7.535e-01;2.643e-01;4.640e-01;7.534e-01;2.642e-01;4.640e-01;1.748e-03;6.130e-04;1.000e+01;6.660e-01;9.000e-05
30.014780000;4.684e-01;3.582e-01;1.692e-01;7.648e-01;3.612e-01;4.685e-01;7.646e-01;3.616e-01;4.684e-01;1.791e-03;8.460e-04;1.000e+01;6.660e-01;9.000e-05
30.015932000;4.701e-01;3.590e-01;1.884e-01;7.636e-01;4.007e-01;4.702e-01;7.634e-01;4.011e-01;4.701e-01;1.795e-03;9.420e-04;1.000e+01;6.660e-01;9.000e-05
30.020470000;4.765e-01;3.574e-01;2.582e-01;7.500e-01;5.418e-01;4.766e-01;7.498e-01;5.417e-01;4.765e-01;1.787e-03;1.291e-03;1.000e+01;6.660e-01;9.000e-05
30.024566000;4.812e-01;3.558e-01;3.104e-01;7.394e-01;6.451e-01;4.813e-01;7.392e-01;6.453e-01;4.812e-01;1.779e-03;1.552e-03;1.000e+01;6.660e-01;9.000e-05
30.029225000;4.854e-01;3.544e-01;3.590e-01;7.301e-01;7.395e-01;4.856e-01;7.298e-01;7.397e-01;4.854e-01;1.772e-03;1.795e-03;1.000e+01;6.660e-01;9.000e-05
30.032451000;4.879e-01;3.534e-01;3.870e-01;7.244e-01;7.933e-01;4.880e-01;7.245e-01;7.934e-01;4.879e-01;1.767e-03;1.935e-03;1.000e+01;6.660e-01;9.000e-05
30.033373000;4.885e-01;3.532e-01;3.942e-01;7.230e-01;8.070e-01;4.887e-01;7.228e-01;8.071e-01;4.885e-01;1.766e-03;1.971e-03;1.000e+01;6.660e-01;9.000e-05
30.039824000;4.921e-01;3.518e-01;4.370e-01;7.149e-01;8.880e-01;4.923e-01;7.146e-01;8.880e-01;4.921e-01;1.759e-03;2.185e-03;1.000e+01;6.660e-01;9.000e-05
30.041667000;4.930e-01;3.514e-01;4.468e-01;7.128e-01;9.063e-01;4.932e-01;7.125e-01;9.068e-01;4.930e-01;1.757e-03;2.234e-03;1.000e+01;6.660e-01;9.000e-05
30.043971000;4.939e-01;3.510e-01;4.582e-01;7.106e-01;9.277e-01;4.941e-01;7.103e-01;9.277e-01;4.939e-01;1.755e-03;2.291e-03;1.000e+01;6.660e-01;9.000e-05
30.044893000;4.943e-01;3.510e-01;4.622e-01;7.101e-01;9.351e-01;4.945e-01;7.098e-01;9.355e-01;4.943e-01;1.755e-03;2.311e-03;1.000e+01;6.660e-01;9.000e-05
30.046275000;4.948e-01;3.508e-01;4.682e-01;7.090e-01;9.463e-01;4.950e-01;7.087e-01;9.463e-01;4.948e-01;1.754e-03;2.341e-03;1.000e+01;6.660e-01;9.000e-05
30.047657000;4.952e-01;3.506e-01;4.738e-01;7.080e-01;9.567e-01;4.954e-01;7.077e-01;9.567e-01;4.952e-01;1.753e-03;2.369e-03;1.000e+01;6.660e-01;9.000e-05
30.048118000;4.954e-01;3.504e-01;4.754e-01;7.073e-01;9.597e-01;4.956e-01;7.070e-01;9.601e-01;4.954e-01;1.752e-03;2.377e-03;1.000e+01;6.660e-01;9.000e-05
30.049501000;4.958e-01;3.502e-01;4.806e-01;7.063e-01;9.693e-01;4.960e-01;7.064e-01;9.693e-01;4.958e-01;1.751e-03;2.403e-03;1.000e+01;6.660e-01;9.000e-05
30.052818000;4.967e-01;3.498e-01;4.914e-01;7.043e-01;9.893e-01;4.969e-01;7.043e-01;9.893e-01;4.967e-01;1.749e-03;2.457e-03;1.000e+01;6.660e-01;9.000e-05
30.055307000;4.973e-01;3.496e-01;4.984e-01;7.030e-01;1.002e+00;4.975e-01;7.027e-01;1.002e+00;4.973e-01;1.748e-03;2.492e-03;1.000e+01;6.660e-01;9.000e-05
30.065260000;4.990e-01;3.488e-01;5.192e-01;6.990e-01;1.040e+00;4.992e-01;6.991e-01;1.041e+00;4.990e-01;1.744e-03;2.596e-03;1.000e+01;6.660e-01;9.000e-05
30.068578000;4.994e-01;3.488e-01;5.242e-01;6.984e-01;1.050e+00;4.997e-01;6.981e-01;1.050e+00;4.994e-01;1.744e-03;2.621e-03;1.000e+01;6.660e-01;9.000e-05
30.069407000;4.995e-01;3.486e-01;5.252e-01;6.979e-01;1.051e+00;4.997e-01;6.976e-01;1.052e+00;4.995e-01;1.743e-03;2.626e-03;1.000e+01;6.660e-01;9.000e-05
30.083849000;5.006e-01;3.482e-01;5.388e-01;6.955e-01;1.076e+00;5.009e-01;6.952e-01;1.077e+00;5.006e-01;1.741e-03;2.694e-03;1.000e+01;6.660e-01;9.000e-05
30.084849000;5.007e-01;3.482e-01;5.396e-01;6.955e-01;1.078e+00;5.009e-01;6.951e-01;1.078e+00;5.007e-01;1.741e-03;2.698e-03;1.000e+01;6.660e-01;9.000e-05
30.086849000;5.008e-01;3.480e-01;5.406e-01;6.949e-01;1.080e+00;5.010e-01;6.950e-01;1.080e+00;5.008e-01;1.740e-03;2.703e-03;1.000e+01;6.660e-01;9.000e-05
30.087849000;5.008e-01;3.480e-01;5.412e-01;6.949e-01;1.081e+00;5.011e-01;6.945e-01;1.081e+00;5.008e-01;1.740e-03;2.706e-03;1.000e+01;6.660e-01;9.000e-05
30.090849000;5.009e-01;3.480e-01;5.428e-01;6.947e-01;1.084e+00;5.012e-01;6.944e-01;1.083e+00;5.009e-01;1.740e-03;2.714e-03;1.000e+01;6.660e-01;9.000e-05
30.099849000;5.012e-01;3.478e-01;5.460e-01;6.939e-01;1.089e+00;5.015e-01;6.940e-01;1.090e+00;5.012e-01;1.739e-03;2.730e-03;1.000e+01;6.660e-01;9.000e-05
30.136849000;5.016e-01;3.478e-01;5.508e-01;6.934e-01;1.098e+00;5.019e-01;6.930e-01;1.098e+00;5.016e-01;1.739e-03;2.754e-03;1.000e+01;6.660e-01;9.000e-05
30.140849000;5.016e-01;3.478e-01;5.510e-01;6.933e-01;1.098e+00;5.019e-01;6.930e-01;1.099e+00;5.016e-01;1.739e-03;2.755e-03;1.000e+01;6.660e-01;9.000e-05
30.152849000;5.017e-01;3.478e-01;5.514e-01;6.933e-01;1.099e+00;5.019e-01;6.930e-01;1.099e+00;5.017e-01;1.739e-03;2.757e-03;1.000e+01;6.660e-01;9.000e-05
30.160849000;5.017e-01;3.478e-01;5.516e-01;6.933e-01;1.100e+00;5.019e-01;6.930e-01;1.099e+00;5.017e-01;1.739e-03;2.758e-03;1.000e+01;6.660e-01;9.000e-05
30.163849000;5.017e-01;3.478e-01;5.516e-01;6.933e-01;1.100e+00;5.019e-01;6.930e-01;1.100e+00;5.017e-01;1.739e-03;2.758e-03;1.000e+01;6.660e-01;9.000e-05
30.169849000;5.017e-01;3.478e-01;5.516e-01;6.933e-01;1.100e+00;5.019e-01;6.929e-01;1.100e+00;5.017e-01;1.739e-03;2.758e-03;1.000e+01;6.660e-01;9.000e-05
30.187849000;5.017e-01;3.478e-01;5.518e-01;6.933e-01;1.100e+00;5.019e-01;6.929e-01;1.100e+00;5.017e-01;1.739e-03;2.759e-03;1.000e+01;6.660e-01;9.000e-05
100.000000000;5.017e-01;3.478e-01;5.518e-01;6.933e-01;1.100e+00;5.019e-01;6.929e-01;1.100e+00;5.017e-01;1.739e-03;2.759e-03;1.000e+01;6.660e-01;9.000e-05
