time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Bess_GEN_VoltageInjTerminal;Bess_GEN_ActiveCurrentInjTerminal;Bess_GEN_ReactiveCurrentInjTerminal;Bess_GEN_ActivePowerControlledPu;Bess_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;-6.660e-01;0.000e+00;-6.660e-01;-0.000e+00;9.908e-01;-6.655e-01;2.685e-02;-6.594e-01;2.660e-02;1.000e+00;-3.330e-03;0.000e+00;-6.593e-01;2.661e-02
29.999994;1.000e+00;-6.660e-01;-9.747e-08;-6.660e-01;1.563e-07;9.908e-01;-6.655e-01;2.685e-02;-6.594e-01;2.660e-02;1.000e+00;-3.330e-03;-3.836e-07;-6.593e-01;2.661e-02
29.999995;-3.232e-07;1.308e-07;-9.747e-08;3.764e-07;1.563e-07;4.120e-02;1.602e-01;6.457e-01;6.600e-03;2.660e-02;-2.486e-08;1.652e-07;-3.836e-07;-6.593e-01;2.661e-02
30.000002;-3.232e-07;1.308e-07;-9.753e-08;3.766e-07;1.563e-07;4.120e-02;1.602e-01;6.457e-01;6.600e-03;2.660e-02;-2.470e-08;1.653e-07;-3.837e-07;-6.593e-01;2.661e-02
30.001009;-3.250e-07;1.291e-07;-1.036e-07;3.994e-07;1.470e-07;4.131e-02;1.598e-01;6.487e-01;6.600e-03;2.680e-02;-4.251e-09;1.812e-07;-3.872e-07;-6.593e-01;2.661e-02
30.002097;-3.273e-07;1.275e-07;-1.079e-07;4.222e-07;1.368e-07;4.172e-02;1.630e-01;6.520e-01;6.800e-03;2.720e-02;1.818e-08;1.995e-07;-3.889e-07;-6.593e-01;2.661e-02
30.003047;-3.295e-07;1.262e-07;-1.100e-07;4.403e-07;1.281e-07;4.237e-02;1.652e-01;6.656e-01;7.000e-03;2.820e-02;3.809e-08;2.162e-07;-3.891e-07;-6.593e-01;2.661e-02
30.004059;-3.320e-07;1.251e-07;-1.107e-07;4.574e-07;1.191e-07;4.342e-02;1.704e-01;6.818e-01;7.400e-03;2.960e-02;5.983e-08;2.342e-07;-3.883e-07;-6.593e-01;2.661e-02
30.005109;-3.344e-07;1.245e-07;-1.103e-07;4.724e-07;1.104e-07;4.438e-02;1.757e-01;6.939e-01;7.800e-03;3.080e-02;8.319e-08;2.524e-07;-3.864e-07;-6.593e-01;2.661e-02
30.006097;-3.363e-07;1.246e-07;-1.092e-07;4.840e-07;1.032e-07;4.505e-02;1.776e-01;7.058e-01;8.000e-03;3.180e-02;1.061e-07;2.683e-07;-3.837e-07;-6.593e-01;2.661e-02
30.007019;-3.376e-07;1.252e-07;-1.078e-07;4.925e-07;9.752e-08;4.578e-02;1.791e-01;7.164e-01;8.200e-03;3.280e-02;1.283e-07;2.816e-07;-3.802e-07;-6.593e-01;2.661e-02
30.008171;-3.386e-07;1.271e-07;-1.061e-07;4.993e-07;9.279e-08;4.681e-02;1.837e-01;7.349e-01;8.600e-03;3.440e-02;1.577e-07;2.952e-07;-3.744e-07;-6.593e-01;2.661e-02
30.009093;-3.389e-07;1.297e-07;-1.050e-07;5.023e-07;9.091e-08;4.770e-02;1.887e-01;7.463e-01;9.000e-03;3.560e-02;1.822e-07;3.037e-07;-3.687e-07;-6.593e-01;2.661e-02
30.010045;-3.388e-07;1.334e-07;-1.043e-07;5.028e-07;9.108e-08;4.866e-02;1.891e-01;7.644e-01;9.200e-03;3.720e-02;2.083e-07;3.101e-07;-3.618e-07;-6.593e-01;2.661e-02
30.011069;-3.383e-07;1.387e-07;-1.041e-07;5.004e-07;9.368e-08;4.973e-02;1.970e-01;7.801e-01;9.600e-03;3.880e-02;2.372e-07;3.141e-07;-3.530e-07;-6.593e-01;2.661e-02
30.012093;-3.376e-07;1.450e-07;-1.044e-07;4.952e-07;9.839e-08;5.083e-02;2.007e-01;7.988e-01;1.020e-02;4.060e-02;2.661e-07;3.153e-07;-3.432e-07;-6.593e-01;2.661e-02
30.013117;-3.367e-07;1.522e-07;-1.050e-07;4.870e-07;1.048e-07;5.193e-02;2.041e-01;8.127e-01;1.060e-02;4.220e-02;2.945e-07;3.144e-07;-3.326e-07;-6.593e-01;2.661e-02
30.014141;-3.357e-07;1.595e-07;-1.057e-07;4.760e-07;1.127e-07;5.302e-02;2.075e-01;8.298e-01;1.100e-02;4.400e-02;3.214e-07;3.118e-07;-3.216e-07;-6.593e-01;2.661e-02
30.015165;-3.345e-07;1.665e-07;-1.064e-07;4.620e-07;1.217e-07;5.411e-02;2.107e-01;8.501e-01;1.140e-02;4.600e-02;3.464e-07;3.079e-07;-3.105e-07;-6.593e-01;2.661e-02
30.016189;-3.329e-07;1.726e-07;-1.073e-07;4.453e-07;1.315e-07;5.519e-02;2.175e-01;8.662e-01;1.200e-02;4.780e-02;3.690e-07;3.028e-07;-2.997e-07;-6.593e-01;2.661e-02
30.017469;-3.301e-07;1.787e-07;-1.084e-07;4.206e-07;1.447e-07;5.649e-02;2.230e-01;8.850e-01;1.260e-02;5.000e-02;3.932e-07;2.952e-07;-2.865e-07;-6.593e-01;2.661e-02
30.018237;-3.278e-07;1.816e-07;-1.091e-07;4.040e-07;1.528e-07;5.726e-02;2.235e-01;8.976e-01;1.280e-02;5.140e-02;4.057e-07;2.900e-07;-2.786e-07;-6.593e-01;2.661e-02
