time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;-6.667e-01;2.167e-01;-6.383e-01;2.074e-01;1.044e+00;-4.000e-01;1.300e-01;1.000e+01;-6.191e-01;-2.245e-01;1.120e+00;5.000e+01;5.000e+01
19.989997000;1.044e+00;-6.666e-01;2.167e-01;-6.383e-01;2.074e-01;1.044e+00;-4.000e-01;1.300e-01;1.000e+01;-6.191e-01;-2.245e-01;1.120e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;-6.667e-01;2.167e-01;-6.383e-01;2.074e-01;1.044e+00;-4.000e-01;1.300e-01;1.000e+01;-6.191e-01;-2.245e-01;1.120e+00;5.000e+01;5.000e+01
19.990028000;1.045e+00;-6.669e-01;2.167e-01;-6.383e-01;2.074e-01;1.045e+00;-4.001e-01;1.300e-01;1.000e+01;-6.191e-01;-2.245e-01;1.120e+00;5.000e+01;5.000e+01
19.990124000;1.046e+00;-6.677e-01;2.170e-01;-6.383e-01;2.074e-01;1.046e+00;-4.006e-01;1.302e-01;1.000e+01;-6.191e-01;-2.245e-01;1.120e+00;5.000e+01;5.000e+01
19.990252000;1.048e+00;-6.687e-01;2.173e-01;-6.383e-01;2.074e-01;1.048e+00;-4.012e-01;1.304e-01;1.000e+01;-6.191e-01;-2.245e-01;1.120e+00;5.001e+01;5.001e+01
19.990753000;1.054e+00;-6.728e-01;2.186e-01;-6.383e-01;2.074e-01;1.054e+00;-4.037e-01;1.312e-01;1.000e+01;-6.191e-01;-2.244e-01;1.120e+00;5.001e+01;5.001e+01
19.990757000;1.054e+00;-6.728e-01;2.187e-01;-6.383e-01;2.074e-01;1.054e+00;-4.037e-01;1.312e-01;1.000e+01;-6.191e-01;-2.244e-01;1.120e+00;5.002e+01;5.002e+01
19.991284000;1.061e+00;-6.771e-01;2.200e-01;-6.383e-01;2.074e-01;1.061e+00;-4.063e-01;1.320e-01;1.000e+01;-6.191e-01;-2.243e-01;1.120e+00;5.002e+01;5.002e+01
19.992052000;1.071e+00;-6.833e-01;2.217e-01;-6.382e-01;2.071e-01;1.071e+00;-4.100e-01;1.330e-01;1.000e+01;-6.191e-01;-2.240e-01;1.120e+00;5.002e+01;5.002e+01
19.992308000;1.074e+00;-6.853e-01;2.223e-01;-6.382e-01;2.070e-01;1.074e+00;-4.112e-01;1.334e-01;1.000e+01;-6.191e-01;-2.238e-01;1.120e+00;5.003e+01;5.003e+01
19.992820000;1.080e+00;-6.894e-01;2.232e-01;-6.381e-01;2.066e-01;1.080e+00;-4.137e-01;1.339e-01;1.000e+01;-6.190e-01;-2.234e-01;1.120e+00;5.003e+01;5.003e+01
19.993076000;1.084e+00;-6.915e-01;2.236e-01;-6.380e-01;2.064e-01;1.084e+00;-4.149e-01;1.342e-01;1.000e+01;-6.190e-01;-2.231e-01;1.120e+00;5.003e+01;5.003e+01
