time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Wind_Turbine_GEN_ActivePowerControlledPu;Wind_Turbine_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.015e+00;8.312e-01;5.775e-02;8.438e-01;5.862e-02;1.000e+00;3.333e-02;0.000e+00;8.439e-01;5.863e-02
29.999994;1.000e+00;8.332e-01;-1.387e-07;8.332e-01;-1.098e-07;1.015e+00;8.312e-01;5.782e-02;8.438e-01;5.860e-02;1.000e+00;3.333e-02;7.495e-08;8.439e-01;5.863e-02
29.999995;4.161e-06;2.606e-07;-1.387e-07;2.843e-07;-1.098e-07;7.150e-02;1.482e-01;8.200e-01;1.060e-02;5.860e-02;3.525e-06;-3.515e-07;7.495e-08;8.439e-01;5.863e-02
30.000000;4.161e-06;2.608e-07;-1.386e-07;2.843e-07;-1.098e-07;7.146e-02;1.483e-01;8.196e-01;1.060e-02;5.857e-02;3.525e-06;-3.516e-07;7.510e-08;8.439e-01;5.863e-02
30.001000;4.161e-06;2.819e-07;-1.110e-07;2.813e-07;-1.191e-07;6.537e-02;1.358e-01;7.495e-01;8.878e-03;4.899e-02;3.514e-06;-3.539e-07;9.900e-08;8.439e-01;5.863e-02
30.002007;4.161e-06;3.021e-07;-8.376e-08;2.782e-07;-1.267e-07;6.006e-02;1.244e-01;6.887e-01;7.478e-03;4.136e-02;3.505e-06;-3.542e-07;1.219e-07;8.439e-01;5.863e-02
30.003005;4.161e-06;3.209e-07;-5.755e-08;2.750e-07;-1.327e-07;5.607e-02;1.164e-01;6.429e-01;6.528e-03;3.604e-02;3.496e-06;-3.523e-07;1.429e-07;8.439e-01;5.863e-02
30.004029;4.161e-06;3.390e-07;-3.177e-08;2.717e-07;-1.372e-07;5.373e-02;1.116e-01;6.164e-01;6.003e-03;3.312e-02;3.489e-06;-3.481e-07;1.622e-07;8.439e-01;5.863e-02
30.005015;4.161e-06;3.550e-07;-8.215e-09;2.685e-07;-1.403e-07;5.297e-02;1.099e-01;6.073e-01;5.827e-03;3.216e-02;3.483e-06;-3.417e-07;1.782e-07;8.439e-01;5.863e-02
30.006052;4.161e-06;3.703e-07;1.493e-08;2.653e-07;-1.424e-07;5.333e-02;1.106e-01;6.117e-01;5.901e-03;3.262e-02;3.479e-06;-3.326e-07;1.918e-07;8.439e-01;5.863e-02
30.007077;4.161e-06;3.841e-07;3.609e-08;2.624e-07;-1.433e-07;5.453e-02;1.132e-01;6.253e-01;6.176e-03;3.409e-02;3.477e-06;-3.216e-07;2.019e-07;8.439e-01;5.863e-02
30.008114;4.162e-06;3.966e-07;5.576e-08;2.600e-07;-1.430e-07;5.631e-02;1.168e-01;6.455e-01;6.576e-03;3.634e-02;3.477e-06;-3.085e-07;2.088e-07;8.439e-01;5.863e-02
30.009107;4.163e-06;4.074e-07;7.306e-08;2.582e-07;-1.413e-07;5.834e-02;1.208e-01;6.689e-01;7.051e-03;3.903e-02;3.478e-06;-2.941e-07;2.127e-07;8.439e-01;5.863e-02
30.009619;4.164e-06;4.125e-07;8.130e-08;2.575e-07;-1.396e-07;5.946e-02;1.232e-01;6.816e-01;7.326e-03;4.052e-02;3.480e-06;-2.858e-07;2.137e-07;8.439e-01;5.863e-02
30.010259;4.166e-06;4.187e-07;9.121e-08;2.568e-07;-1.371e-07;6.089e-02;1.265e-01;6.980e-01;7.701e-03;4.250e-02;3.482e-06;-2.750e-07;2.144e-07;8.439e-01;5.863e-02
30.010387;4.166e-06;4.199e-07;9.308e-08;2.567e-07;-1.365e-07;6.117e-02;1.267e-01;7.013e-01;7.751e-03;4.290e-02;3.482e-06;-2.727e-07;2.144e-07;8.439e-01;5.863e-02
30.010899;4.167e-06;4.245e-07;1.006e-07;2.563e-07;-1.338e-07;6.233e-02;1.291e-01;7.147e-01;8.051e-03;4.455e-02;3.484e-06;-2.635e-07;2.145e-07;8.439e-01;5.863e-02
30.011027;4.168e-06;4.257e-07;1.024e-07;2.562e-07;-1.331e-07;6.262e-02;1.298e-01;7.178e-01;8.126e-03;4.495e-02;3.484e-06;-2.612e-07;2.145e-07;8.439e-01;5.863e-02
30.012051;4.170e-06;4.339e-07;1.157e-07;2.558e-07;-1.256e-07;6.492e-02;1.348e-01;7.444e-01;8.751e-03;4.832e-02;3.489e-06;-2.412e-07;2.131e-07;8.439e-01;5.863e-02
30.013075;4.174e-06;4.412e-07;1.274e-07;2.554e-07;-1.155e-07;6.715e-02;1.392e-01;7.699e-01;9.351e-03;5.170e-02;3.495e-06;-2.200e-07;2.106e-07;8.439e-01;5.863e-02
30.014099;4.177e-06;4.472e-07;1.372e-07;2.550e-07;-1.030e-07;6.929e-02;1.436e-01;7.944e-01;9.951e-03;5.505e-02;3.502e-06;-1.983e-07;2.073e-07;8.439e-01;5.863e-02
30.015123;4.180e-06;4.516e-07;1.448e-07;2.542e-07;-8.807e-08;7.133e-02;1.479e-01;8.177e-01;1.055e-02;5.833e-02;3.511e-06;-1.764e-07;2.033e-07;8.439e-01;5.863e-02
30.016114;4.183e-06;4.543e-07;1.499e-07;2.526e-07;-7.143e-08;7.318e-02;1.517e-01;8.390e-01;1.110e-02;6.140e-02;3.520e-06;-1.551e-07;1.989e-07;8.439e-01;5.863e-02
30.017010;4.186e-06;4.550e-07;1.524e-07;2.503e-07;-5.479e-08;7.476e-02;1.552e-01;8.574e-01;1.160e-02;6.410e-02;3.529e-06;-1.358e-07;1.945e-07;8.439e-01;5.863e-02
30.018034;4.188e-06;4.536e-07;1.525e-07;2.463e-07;-3.409e-08;7.647e-02;1.586e-01;8.769e-01;1.213e-02;6.705e-02;3.539e-06;-1.140e-07;1.893e-07;8.439e-01;5.863e-02
30.019021;4.190e-06;4.497e-07;1.500e-07;2.413e-07;-1.296e-08;7.801e-02;1.618e-01;8.945e-01;1.263e-02;6.978e-02;3.550e-06;-9.332e-08;1.843e-07;8.439e-01;5.863e-02
30.020031;4.191e-06;4.430e-07;1.448e-07;2.350e-07;9.448e-09;7.946e-02;1.649e-01;9.112e-01;1.310e-02;7.240e-02;3.560e-06;-7.310e-08;1.793e-07;8.439e-01;5.863e-02
30.021181;4.190e-06;4.316e-07;1.360e-07;2.270e-07;3.529e-08;8.095e-02;1.680e-01;9.281e-01;1.360e-02;7.512e-02;3.572e-06;-5.168e-08;1.735e-07;8.439e-01;5.863e-02
30.022103;4.189e-06;4.200e-07;1.272e-07;2.204e-07;5.579e-08;8.203e-02;1.701e-01;9.405e-01;1.395e-02;7.715e-02;3.581e-06;-3.573e-08;1.686e-07;8.439e-01;5.863e-02
30.023025;4.186e-06;4.063e-07;1.170e-07;2.137e-07;7.574e-08;8.301e-02;1.723e-01;9.520e-01;1.430e-02;7.902e-02;3.590e-06;-2.095e-08;1.633e-07;8.439e-01;5.863e-02
30.024177;4.182e-06;3.865e-07;1.027e-07;2.060e-07;9.945e-08;8.413e-02;1.744e-01;9.646e-01;1.467e-02;8.115e-02;3.602e-06;-4.229e-09;1.557e-07;8.439e-01;5.863e-02
30.025098;4.177e-06;3.695e-07;9.043e-08;2.004e-07;1.174e-07;8.493e-02;1.760e-01;9.740e-01;1.495e-02;8.272e-02;3.611e-06;7.924e-09;1.487e-07;8.439e-01;5.863e-02
30.026023;4.172e-06;3.517e-07;7.773e-08;1.954e-07;1.345e-07;8.062e-02;1.671e-01;9.244e-01;1.347e-02;7.453e-02;3.621e-06;1.892e-08;1.408e-07;8.439e-01;5.863e-02
30.026886;4.166e-06;3.351e-07;6.582e-08;1.914e-07;1.494e-07;7.133e-02;1.479e-01;8.180e-01;1.055e-02;5.835e-02;3.630e-06;2.804e-08;1.325e-07;8.439e-01;5.863e-02
30.027062;4.164e-06;3.318e-07;6.341e-08;1.907e-07;1.524e-07;6.939e-02;1.441e-01;7.958e-01;1.000e-02;5.523e-02;3.631e-06;2.982e-08;1.307e-07;8.439e-01;5.863e-02
30.027126;4.164e-06;3.306e-07;6.255e-08;1.905e-07;1.534e-07;6.869e-02;1.423e-01;7.876e-01;9.776e-03;5.410e-02;3.632e-06;3.042e-08;1.301e-07;8.439e-01;5.863e-02
30.027318;4.162e-06;3.270e-07;5.997e-08;1.898e-07;1.566e-07;6.655e-02;1.379e-01;7.630e-01;9.176e-03;5.077e-02;3.634e-06;3.223e-08;1.280e-07;8.439e-01;5.863e-02
30.027382;4.162e-06;3.258e-07;5.911e-08;1.896e-07;1.576e-07;6.584e-02;1.367e-01;7.549e-01;9.001e-03;4.970e-02;3.635e-06;3.283e-08;1.274e-07;8.439e-01;5.863e-02
30.027574;4.160e-06;3.222e-07;5.653e-08;1.889e-07;1.607e-07;6.368e-02;1.319e-01;7.302e-01;8.401e-03;4.650e-02;3.637e-06;3.463e-08;1.253e-07;8.439e-01;5.863e-02
30.028028;4.156e-06;3.138e-07;5.044e-08;1.874e-07;1.680e-07;5.855e-02;1.213e-01;6.712e-01;7.101e-03;3.930e-02;3.641e-06;3.887e-08;1.205e-07;8.439e-01;5.863e-02
30.028220;4.155e-06;3.104e-07;4.798e-08;1.869e-07;1.709e-07;5.635e-02;1.167e-01;6.460e-01;6.576e-03;3.640e-02;3.643e-06;4.048e-08;1.183e-07;8.439e-01;5.863e-02
30.028284;4.154e-06;3.093e-07;4.716e-08;1.868e-07;1.719e-07;5.561e-02;1.155e-01;6.375e-01;6.426e-03;3.545e-02;3.644e-06;4.102e-08;1.175e-07;8.439e-01;5.863e-02
30.028412;4.153e-06;3.070e-07;4.552e-08;1.865e-07;1.738e-07;5.413e-02;1.122e-01;6.207e-01;6.076e-03;3.360e-02;3.645e-06;4.209e-08;1.160e-07;8.439e-01;5.863e-02
30.028604;4.151e-06;3.036e-07;4.307e-08;1.860e-07;1.767e-07;5.189e-02;1.074e-01;5.950e-01;5.576e-03;3.087e-02;3.647e-06;4.371e-08;1.138e-07;8.439e-01;5.863e-02
30.028732;4.150e-06;3.014e-07;4.143e-08;1.858e-07;1.787e-07;5.039e-02;1.047e-01;5.780e-01;5.276e-03;2.913e-02;3.648e-06;4.478e-08;1.123e-07;8.439e-01;5.863e-02
30.028796;4.149e-06;3.002e-07;4.061e-08;1.856e-07;1.796e-07;4.964e-02;1.027e-01;5.691e-01;5.101e-03;2.825e-02;3.649e-06;4.532e-08;1.116e-07;8.439e-01;5.863e-02
30.029116;4.146e-06;2.948e-07;3.660e-08;1.850e-07;1.844e-07;4.586e-02;9.486e-02;5.255e-01;4.351e-03;2.410e-02;3.652e-06;4.790e-08;1.078e-07;8.439e-01;5.863e-02
30.029500;4.143e-06;2.885e-07;3.198e-08;1.846e-07;1.898e-07;4.130e-02;8.536e-02;4.734e-01;3.526e-03;1.955e-02;3.656e-06;5.078e-08;1.029e-07;8.439e-01;5.863e-02
30.029692;4.141e-06;2.853e-07;2.967e-08;1.843e-07;1.925e-07;3.902e-02;8.073e-02;4.472e-01;3.150e-03;1.745e-02;3.659e-06;5.222e-08;1.005e-07;8.439e-01;5.863e-02
30.029941;4.138e-06;2.812e-07;2.667e-08;1.841e-07;1.960e-07;3.608e-02;7.484e-02;4.137e-01;2.700e-03;1.492e-02;3.661e-06;5.409e-08;9.739e-08;8.439e-01;5.863e-02
30.030114;4.137e-06;2.785e-07;2.467e-08;1.840e-07;1.983e-07;3.407e-02;7.044e-02;3.904e-01;2.400e-03;1.330e-02;3.663e-06;5.529e-08;9.509e-08;8.439e-01;5.863e-02
30.030172;4.136e-06;2.776e-07;2.401e-08;1.840e-07;1.991e-07;3.341e-02;6.960e-02;3.832e-01;2.325e-03;1.280e-02;3.664e-06;5.567e-08;9.430e-08;8.439e-01;5.863e-02
30.030287;4.135e-06;2.759e-07;2.271e-08;1.840e-07;2.006e-07;3.209e-02;6.622e-02;3.677e-01;2.125e-03;1.180e-02;3.665e-06;5.643e-08;9.273e-08;8.439e-01;5.863e-02
30.030390;4.134e-06;2.743e-07;2.155e-08;1.840e-07;2.020e-07;3.093e-02;6.386e-02;3.549e-01;1.975e-03;1.098e-02;3.666e-06;5.712e-08;9.133e-08;8.439e-01;5.863e-02
30.030498;4.133e-06;2.727e-07;2.033e-08;1.840e-07;2.034e-07;2.916e-02;6.087e-02;3.343e-01;1.775e-03;9.749e-03;3.667e-06;5.783e-08;8.986e-08;8.439e-01;5.863e-02
30.030584;4.132e-06;2.713e-07;1.936e-08;1.840e-07;2.045e-07;2.742e-02;5.652e-02;3.145e-01;1.550e-03;8.624e-03;3.668e-06;5.840e-08;8.869e-08;8.439e-01;5.863e-02
30.030755;4.130e-06;2.687e-07;1.742e-08;1.840e-07;2.068e-07;2.389e-02;4.919e-02;2.742e-01;1.175e-03;6.549e-03;3.670e-06;5.954e-08;8.635e-08;8.439e-01;5.863e-02
30.030813;4.130e-06;2.679e-07;1.677e-08;1.840e-07;2.075e-07;2.269e-02;4.738e-02;2.601e-01;1.075e-03;5.899e-03;3.671e-06;5.992e-08;8.556e-08;8.439e-01;5.863e-02
30.030841;4.129e-06;2.674e-07;1.645e-08;1.840e-07;2.079e-07;2.208e-02;4.528e-02;2.536e-01;1.000e-03;5.599e-03;3.671e-06;6.011e-08;8.518e-08;8.439e-01;5.863e-02
30.030956;4.128e-06;2.657e-07;1.515e-08;1.840e-07;2.094e-07;1.965e-02;4.072e-02;2.252e-01;8.005e-04;4.424e-03;3.672e-06;6.087e-08;8.361e-08;8.439e-01;5.863e-02
30.031013;4.128e-06;2.648e-07;1.452e-08;1.840e-07;2.102e-07;1.841e-02;3.802e-02;2.104e-01;7.005e-04;3.874e-03;3.673e-06;6.124e-08;8.282e-08;8.439e-01;5.863e-02
30.031070;4.127e-06;2.640e-07;1.391e-08;1.841e-07;2.109e-07;1.717e-02;3.494e-02;1.966e-01;6.005e-04;3.374e-03;3.673e-06;6.157e-08;8.198e-08;8.439e-01;5.863e-02
30.031270;4.125e-06;2.611e-07;1.177e-08;1.843e-07;2.133e-07;1.274e-02;2.552e-02;1.453e-01;3.255e-04;1.849e-03;3.676e-06;6.273e-08;7.904e-08;8.439e-01;5.863e-02
30.031356;4.124e-06;2.598e-07;1.086e-08;1.844e-07;2.144e-07;1.080e-02;2.316e-02;1.227e-01;2.505e-04;1.324e-03;3.677e-06;6.323e-08;7.777e-08;8.439e-01;5.863e-02
30.031442;4.123e-06;2.586e-07;9.938e-09;1.845e-07;2.154e-07;8.833e-03;1.698e-02;1.019e-01;1.505e-04;8.995e-04;3.678e-06;6.373e-08;7.651e-08;8.439e-01;5.863e-02
30.031499;4.123e-06;2.577e-07;9.330e-09;1.846e-07;2.161e-07;7.511e-03;1.664e-02;8.654e-02;1.255e-04;6.495e-04;3.678e-06;6.406e-08;7.567e-08;8.439e-01;5.863e-02
30.031551;4.122e-06;2.570e-07;8.775e-09;1.846e-07;2.167e-07;6.312e-03;1.188e-02;7.129e-02;7.547e-05;4.495e-04;3.679e-06;6.436e-08;7.490e-08;8.439e-01;5.863e-02
30.031625;4.122e-06;2.559e-07;7.985e-09;1.847e-07;2.176e-07;4.565e-03;1.095e-02;5.476e-02;5.047e-05;2.495e-04;3.680e-06;6.479e-08;7.381e-08;8.439e-01;5.863e-02
