time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;2.970e-10;8.332e-01;1.914e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;8.837e-09;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;2.319e-09;8.332e-01;-1.241e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-8.078e-10;1.000e+01;8.333e-01;7.540e-04
29.999994000;3.706e-01;3.088e-01;2.173e-09;8.333e-01;-1.225e-09;3.706e-01;8.332e-01;2.024e-03;3.706e-01;1.235e-02;-9.778e-10;1.000e+01;8.333e-01;7.540e-04
29.999994000;3.706e-01;3.088e-01;2.028e-09;8.333e-01;-1.192e-09;3.706e-01;8.332e-01;2.024e-03;3.706e-01;1.235e-02;-1.148e-09;1.000e+01;8.333e-01;7.540e-04
29.999996000;3.706e-01;3.088e-01;1.749e-09;8.331e-01;-1.084e-09;3.706e-01;8.332e-01;2.024e-03;3.706e-01;1.235e-02;-1.483e-09;1.000e+01;8.333e-01;7.540e-04
30.000230000;3.705e-01;3.051e-01;-8.750e-04;8.233e-01;-2.361e-03;3.706e-01;8.233e-01;-3.373e-04;3.705e-01;1.220e-02;-3.500e-05;1.000e+01;8.333e-01;7.540e-04
30.000358000;3.705e-01;3.031e-01;-1.200e-03;8.180e-01;-3.238e-03;3.706e-01;8.180e-01;-1.282e-03;3.705e-01;1.212e-02;-4.800e-05;1.000e+01;8.333e-01;7.540e-04
30.000870000;3.708e-01;2.957e-01;-1.675e-03;7.973e-01;-4.517e-03;3.708e-01;7.974e-01;-2.629e-03;3.708e-01;1.183e-02;-6.700e-05;1.000e+01;8.333e-01;7.540e-04
30.002596000;3.749e-01;2.766e-01;6.775e-03;7.378e-01;1.807e-02;3.749e-01;7.377e-01;1.967e-02;3.749e-01;1.106e-02;2.710e-04;1.000e+01;8.333e-01;7.540e-04
30.004694000;3.863e-01;2.671e-01;3.977e-02;6.915e-01;1.030e-01;3.865e-01;6.914e-01;1.043e-01;3.863e-01;1.069e-02;1.591e-03;1.000e+01;8.333e-01;7.540e-04
30.004698000;3.864e-01;2.671e-01;3.988e-02;6.915e-01;1.032e-01;3.865e-01;6.912e-01;1.045e-01;3.864e-01;1.069e-02;1.595e-03;1.000e+01;8.333e-01;7.540e-04
30.004754000;3.867e-01;2.671e-01;4.100e-02;6.906e-01;1.060e-01;3.869e-01;6.904e-01;1.073e-01;3.867e-01;1.068e-02;1.640e-03;1.000e+01;8.333e-01;7.540e-04
30.005330000;3.907e-01;2.666e-01;5.322e-02;6.824e-01;1.362e-01;3.908e-01;6.822e-01;1.376e-01;3.907e-01;1.066e-02;2.129e-03;1.000e+01;8.333e-01;7.540e-04
30.005586000;3.925e-01;2.666e-01;5.897e-02;6.793e-01;1.503e-01;3.926e-01;6.790e-01;1.515e-01;3.925e-01;1.066e-02;2.359e-03;1.000e+01;8.333e-01;7.540e-04
30.012005000;4.409e-01;2.844e-01;2.347e-01;6.451e-01;5.323e-01;4.415e-01;6.443e-01;5.333e-01;4.409e-01;1.138e-02;9.388e-03;1.000e+01;8.333e-01;7.540e-04
30.012517000;4.441e-01;2.865e-01;2.476e-01;6.451e-01;5.576e-01;4.447e-01;6.442e-01;5.586e-01;4.441e-01;1.146e-02;9.905e-03;1.000e+01;8.333e-01;7.540e-04
30.013307000;4.487e-01;2.897e-01;2.666e-01;6.457e-01;5.943e-01;4.493e-01;6.448e-01;5.954e-01;4.487e-01;1.159e-02;1.067e-02;1.000e+01;8.333e-01;7.540e-04
30.019008000;4.730e-01;3.071e-01;3.734e-01;6.493e-01;7.894e-01;4.739e-01;6.481e-01;7.903e-01;4.730e-01;1.229e-02;1.494e-02;1.000e+01;8.333e-01;7.540e-04
30.026688000;4.902e-01;3.190e-01;4.544e-01;6.507e-01;9.269e-01;4.913e-01;6.494e-01;9.278e-01;4.902e-01;1.276e-02;1.818e-02;1.000e+01;8.333e-01;7.540e-04
30.031288000;4.958e-01;3.232e-01;4.816e-01;6.518e-01;9.714e-01;4.969e-01;6.504e-01;9.723e-01;4.958e-01;1.293e-02;1.927e-02;1.000e+01;8.333e-01;7.540e-04
30.033988000;4.981e-01;3.251e-01;4.929e-01;6.526e-01;9.896e-01;4.992e-01;6.513e-01;9.906e-01;4.981e-01;1.300e-02;1.972e-02;1.000e+01;8.333e-01;7.540e-04
30.034833000;4.987e-01;3.256e-01;4.959e-01;6.530e-01;9.945e-01;4.998e-01;6.516e-01;9.953e-01;4.987e-01;1.303e-02;1.984e-02;1.000e+01;8.333e-01;7.540e-04
30.034961000;4.987e-01;3.256e-01;4.960e-01;6.530e-01;9.945e-01;4.998e-01;6.516e-01;9.954e-01;4.987e-01;1.303e-02;1.984e-02;1.000e+01;8.333e-01;7.540e-04
30.044313000;4.991e-01;3.280e-01;4.980e-01;6.572e-01;9.979e-01;5.002e-01;6.558e-01;9.988e-01;4.991e-01;1.312e-02;1.992e-02;1.000e+01;8.333e-01;7.540e-04
30.055313000;4.992e-01;3.321e-01;4.991e-01;6.653e-01;9.998e-01;5.003e-01;6.638e-01;1.001e+00;4.992e-01;1.328e-02;1.996e-02;1.000e+01;8.333e-01;7.540e-04
30.057313000;4.992e-01;3.330e-01;4.992e-01;6.669e-01;9.999e-01;5.003e-01;6.655e-01;1.001e+00;4.992e-01;1.332e-02;1.997e-02;1.000e+01;8.333e-01;7.540e-04
30.135278000;4.984e-01;3.704e-01;4.991e-01;7.431e-01;1.001e+00;4.995e-01;7.415e-01;1.003e+00;4.984e-01;1.482e-02;1.996e-02;1.000e+01;8.333e-01;7.540e-04
30.210813000;4.972e-01;4.071e-01;4.979e-01;8.188e-01;1.001e+00;4.983e-01;8.170e-01;1.003e+00;4.972e-01;1.629e-02;1.992e-02;1.000e+01;8.333e-01;7.540e-04
30.211317000;4.972e-01;4.073e-01;4.979e-01;8.192e-01;1.001e+00;4.983e-01;8.175e-01;1.003e+00;4.972e-01;1.629e-02;1.992e-02;1.000e+01;8.333e-01;7.540e-04
30.216829000;4.971e-01;4.094e-01;4.976e-01;8.236e-01;1.001e+00;4.982e-01;8.218e-01;1.003e+00;4.971e-01;1.638e-02;1.991e-02;1.000e+01;8.333e-01;7.540e-04
30.221829000;4.970e-01;4.107e-01;4.973e-01;8.263e-01;1.001e+00;4.981e-01;8.244e-01;1.002e+00;4.970e-01;1.643e-02;1.989e-02;1.000e+01;8.333e-01;7.540e-04
30.230829000;4.969e-01;4.120e-01;4.968e-01;8.291e-01;9.999e-01;4.980e-01;8.274e-01;1.001e+00;4.969e-01;1.648e-02;1.987e-02;1.000e+01;8.333e-01;7.540e-04
30.231829000;4.969e-01;4.121e-01;4.968e-01;8.294e-01;9.998e-01;4.980e-01;8.276e-01;1.001e+00;4.969e-01;1.648e-02;1.987e-02;1.000e+01;8.333e-01;7.540e-04
30.799994000;4.966e-01;4.134e-01;4.959e-01;8.324e-01;9.985e-01;4.977e-01;8.307e-01;1.000e+00;4.966e-01;1.654e-02;1.984e-02;1.000e+01;8.333e-01;7.540e-04
30.799994000;1.340e+00;1.116e+00;1.338e+00;8.325e-01;9.985e-01;1.341e+00;8.318e-01;9.991e-01;1.340e+00;4.462e-02;5.352e-02;1.000e+01;8.333e-01;7.540e-04
30.800023000;1.340e+00;1.116e+00;1.338e+00;8.325e-01;9.985e-01;1.341e+00;8.318e-01;9.991e-01;1.340e+00;4.462e-02;5.352e-02;1.000e+01;8.333e-01;7.540e-04
30.800053000;1.340e+00;1.115e+00;1.338e+00;8.324e-01;9.985e-01;1.341e+00;8.318e-01;9.991e-01;1.340e+00;4.462e-02;5.352e-02;1.000e+01;8.333e-01;7.540e-04
30.800533000;1.340e+00;1.114e+00;1.338e+00;8.311e-01;9.982e-01;1.341e+00;8.304e-01;9.987e-01;1.340e+00;4.455e-02;5.350e-02;1.000e+01;8.333e-01;7.540e-04
