time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.333e-01;-2.003e-08;7.979e-01;0.000e+00;1.045e+00;1.044e+00;7.500e-01;5.669e-08;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02
29.999994000;1.044e+00;8.333e-01;-1.258e-08;7.979e-01;0.000e+00;1.045e+00;1.044e+00;7.500e-01;3.946e-09;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02
29.999994000;7.795e-05;-4.482e-06;-6.744e-04;-5.131e-08;0.000e+00;1.951e-02;7.805e-05;-3.986e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02
29.999994000;7.795e-05;-4.483e-06;-6.744e-04;-4.905e-08;0.000e+00;1.951e-02;7.804e-05;-3.987e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02
29.999995000;7.795e-05;-5.594e-06;-6.744e-04;-4.661e-08;0.000e+00;1.951e-02;7.804e-05;-4.987e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02
29.999998000;7.795e-05;-5.593e-06;-6.744e-04;-4.142e-08;0.000e+00;1.950e-02;7.804e-05;-4.988e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.974e-01;1.489e-02
30.000211000;7.801e-05;-6.674e-06;-6.733e-04;2.693e-08;0.000e+00;1.910e-02;7.804e-05;-5.998e-06;-6.060e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.810e-01;1.539e-02
30.000218000;7.801e-05;-6.674e-06;-6.722e-04;2.737e-08;0.000e+00;1.908e-02;7.804e-05;-5.996e-06;-6.050e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.805e-01;1.542e-02
30.000331000;7.801e-05;-6.667e-06;-6.722e-04;2.453e-08;0.000e+00;1.887e-02;7.803e-05;-5.971e-06;-6.050e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.719e-01;1.607e-02
30.000344000;7.801e-05;-6.666e-06;-6.711e-04;2.357e-08;0.000e+00;1.885e-02;7.803e-05;-5.969e-06;-6.039e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.710e-01;1.616e-02
30.000458000;7.802e-05;-7.771e-06;-6.711e-04;2.131e-08;0.000e+00;1.864e-02;7.802e-05;-6.955e-06;-6.039e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.624e-01;1.710e-02
30.000471000;7.802e-05;-7.771e-06;-6.700e-04;2.196e-08;0.000e+00;1.862e-02;7.802e-05;-6.954e-06;-6.029e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.615e-01;1.723e-02
30.000597000;7.803e-05;-7.773e-06;-6.700e-04;3.003e-08;0.000e+00;1.839e-02;7.801e-05;-6.938e-06;-6.029e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.521e-01;1.860e-02
30.000610000;7.803e-05;-7.773e-06;-6.689e-04;2.995e-08;0.000e+00;1.836e-02;7.801e-05;-6.936e-06;-6.020e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.512e-01;1.876e-02
30.000737000;7.802e-05;-8.895e-06;-6.689e-04;1.660e-08;0.000e+00;1.814e-02;7.800e-05;-7.923e-06;-6.020e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.419e-01;2.046e-02
30.000750000;7.802e-05;-8.896e-06;-6.678e-04;1.431e-08;0.000e+00;1.811e-02;7.800e-05;-7.922e-06;-6.010e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.410e-01;2.065e-02
30.000889000;7.700e-05;-1.001e-05;-6.678e-04;-1.414e-08;0.000e+00;1.787e-02;7.698e-05;-8.914e-06;-6.009e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.310e-01;2.290e-02
