time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.038e+00;8.636e-01;-3.463e-01;8.321e-01;-3.338e-01;1.037e+00;8.325e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000047000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.338e-01;1.037e+00;8.325e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000070000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.324e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000211000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.325e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000258000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000305000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000352000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000398000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000445000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000586000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000633000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.328e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000727000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000811000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000895000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001064000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001128000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001205000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001207000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001235000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001267000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001299000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001363000;1.038e+00;8.635e-01;-3.460e-01;8.320e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001477000;1.038e+00;8.635e-01;-3.460e-01;8.320e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001533000;1.038e+00;8.635e-01;-3.460e-01;8.320e-01;-3.334e-01;1.038e+00;8.323e-01;-3.326e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001647000;1.038e+00;8.634e-01;-3.460e-01;8.319e-01;-3.334e-01;1.038e+00;8.322e-01;-3.326e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001704000;1.038e+00;8.634e-01;-3.460e-01;8.319e-01;-3.333e-01;1.038e+00;8.322e-01;-3.326e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
