time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.295e-01;5.338e-02;7.942e-01;5.111e-02;1.060e+00;1.064e+00;7.996e-01;1.071e-01;1.044e+00;7.465e-01;4.804e-02;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.003652000;1.044e+00;8.395e-01;2.041e-01;8.037e-01;1.954e-01;1.106e+00;1.076e+00;8.006e-01;2.501e-01;1.044e+00;7.555e-01;1.837e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.004036000;1.044e+00;8.402e-01;2.129e-01;8.044e-01;2.039e-01;1.108e+00;1.077e+00;8.008e-01;2.585e-01;1.044e+00;7.562e-01;1.916e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.004676000;1.044e+00;8.413e-01;2.258e-01;8.055e-01;2.162e-01;1.112e+00;1.078e+00;8.011e-01;2.707e-01;1.044e+00;7.572e-01;2.032e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.007373000;1.044e+00;8.449e-01;2.611e-01;8.089e-01;2.500e-01;1.123e+00;1.080e+00;8.026e-01;3.044e-01;1.044e+00;7.604e-01;2.350e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.008064000;1.044e+00;8.456e-01;2.668e-01;8.096e-01;2.554e-01;1.124e+00;1.081e+00;8.030e-01;3.098e-01;1.044e+00;7.610e-01;2.401e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.008755000;1.044e+00;8.462e-01;2.714e-01;8.102e-01;2.599e-01;1.126e+00;1.081e+00;8.033e-01;3.142e-01;1.044e+00;7.616e-01;2.443e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.008986000;1.044e+00;8.464e-01;2.728e-01;8.104e-01;2.612e-01;1.126e+00;1.081e+00;8.034e-01;3.155e-01;1.044e+00;7.617e-01;2.455e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.011453000;1.044e+00;8.481e-01;2.831e-01;8.120e-01;2.710e-01;1.129e+00;1.082e+00;8.045e-01;3.255e-01;1.044e+00;7.633e-01;2.548e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.012217000;1.044e+00;8.485e-01;2.851e-01;8.124e-01;2.730e-01;1.130e+00;1.082e+00;8.048e-01;3.274e-01;1.044e+00;7.637e-01;2.566e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
