time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-1.795e-07;7.979e-01;-6.224e-08;1.051e+00;1.044e+00;7.500e-01;1.012e-06;1.000e+01;8.083e-01;2.061e-02;1.045e+00;5.000e+01;5.000e+01
0.009000000;1.044e+00;8.333e-01;-3.019e-03;7.978e-01;-2.890e-03;1.050e+00;1.044e+00;7.500e-01;-2.716e-03;1.000e+01;8.083e-01;1.772e-02;1.045e+00;5.000e+01;5.000e+01
0.015000000;1.044e+00;8.333e-01;-3.540e-03;7.978e-01;-3.389e-03;1.050e+00;1.044e+00;7.500e-01;-3.185e-03;1.000e+01;8.083e-01;1.722e-02;1.045e+00;5.000e+01;5.000e+01
0.036000000;1.044e+00;8.333e-01;-3.649e-03;7.979e-01;-3.494e-03;1.050e+00;1.044e+00;7.500e-01;-3.284e-03;1.000e+01;8.083e-01;1.712e-02;1.045e+00;5.000e+01;5.000e+01
0.252000000;1.044e+00;8.333e-01;-1.100e-02;7.979e-01;-1.054e-02;1.048e+00;1.044e+00;7.500e-01;-9.903e-03;1.000e+01;8.085e-01;1.008e-02;1.045e+00;5.000e+01;5.000e+01
0.255000000;1.044e+00;8.333e-01;-1.109e-02;7.979e-01;-1.061e-02;1.048e+00;1.044e+00;7.500e-01;-9.977e-03;1.000e+01;8.085e-01;1.000e-02;1.045e+00;5.000e+01;5.000e+01
0.300000000;1.044e+00;8.333e-01;-1.226e-02;7.979e-01;-1.174e-02;1.047e+00;1.044e+00;7.500e-01;-1.103e-02;1.000e+01;8.085e-01;8.880e-03;1.045e+00;5.000e+01;5.000e+01
0.429000000;1.044e+00;8.333e-01;-1.498e-02;7.979e-01;-1.435e-02;1.047e+00;1.044e+00;7.500e-01;-1.349e-02;1.000e+01;8.085e-01;6.275e-03;1.045e+00;5.000e+01;5.000e+01
0.432000000;1.044e+00;8.333e-01;-1.504e-02;7.979e-01;-1.440e-02;1.047e+00;1.044e+00;7.500e-01;-1.353e-02;1.000e+01;8.085e-01;6.224e-03;1.045e+00;5.000e+01;5.000e+01
0.699000000;1.044e+00;8.333e-01;-1.821e-02;7.979e-01;-1.743e-02;1.046e+00;1.044e+00;7.500e-01;-1.639e-02;1.000e+01;8.086e-01;3.191e-03;1.045e+00;5.000e+01;5.000e+01
0.717000000;1.044e+00;8.333e-01;-1.833e-02;7.979e-01;-1.755e-02;1.046e+00;1.044e+00;7.500e-01;-1.650e-02;1.000e+01;8.086e-01;3.070e-03;1.045e+00;5.000e+01;5.000e+01
0.723000000;1.044e+00;8.333e-01;-1.837e-02;7.979e-01;-1.759e-02;1.046e+00;1.044e+00;7.500e-01;-1.654e-02;1.000e+01;8.086e-01;3.032e-03;1.045e+00;5.000e+01;5.000e+01
0.726000000;1.044e+00;8.333e-01;-1.839e-02;7.979e-01;-1.761e-02;1.045e+00;1.044e+00;7.500e-01;-1.655e-02;1.000e+01;8.086e-01;3.013e-03;1.045e+00;5.000e+01;5.000e+01
0.732000000;1.044e+00;8.333e-01;-1.843e-02;7.979e-01;-1.765e-02;1.045e+00;1.044e+00;7.500e-01;-1.659e-02;1.000e+01;8.086e-01;2.976e-03;1.045e+00;5.000e+01;5.000e+01
1.119000000;1.044e+00;8.333e-01;-1.963e-02;7.979e-01;-1.879e-02;1.045e+00;1.044e+00;7.500e-01;-1.766e-02;1.000e+01;8.086e-01;1.833e-03;1.045e+00;5.000e+01;5.000e+01
1.122000000;1.044e+00;8.333e-01;-1.963e-02;7.979e-01;-1.879e-02;1.045e+00;1.044e+00;7.500e-01;-1.767e-02;1.000e+01;8.086e-01;1.830e-03;1.045e+00;5.000e+01;5.000e+01
1.125000000;1.044e+00;8.333e-01;-1.963e-02;7.979e-01;-1.880e-02;1.045e+00;1.044e+00;7.500e-01;-1.767e-02;1.000e+01;8.086e-01;1.828e-03;1.045e+00;5.000e+01;5.000e+01
19.992000000;1.044e+00;8.333e-01;-1.998e-02;7.979e-01;-1.913e-02;1.045e+00;1.044e+00;7.500e-01;-1.798e-02;1.000e+01;8.086e-01;1.493e-03;1.045e+00;5.000e+01;5.000e+01
19.992000000;9.401e-01;7.501e-01;-1.798e-02;7.979e-01;-1.913e-02;9.411e-01;9.401e-01;6.751e-01;-1.619e-02;1.000e+01;8.086e-01;1.493e-03;1.045e+00;5.000e+01;5.000e+01
19.995000000;7.836e-01;6.347e-01;1.227e-02;8.100e-01;1.565e-02;7.944e-01;7.836e-01;5.712e-01;1.104e-02;1.000e+01;8.201e-01;3.776e-02;1.045e+00;5.000e+01;5.000e+01
20.001000000;5.227e-01;3.939e-01;1.066e-01;7.535e-01;2.039e-01;5.658e-01;5.227e-01;3.545e-01;9.593e-02;1.000e+01;7.585e-01;2.288e-01;1.045e+00;5.000e+01;5.000e+01
20.001000000;4.706e-01;3.546e-01;9.595e-02;7.535e-01;2.039e-01;5.104e-01;4.706e-01;3.191e-01;8.636e-02;1.000e+01;7.585e-01;2.288e-01;1.045e+00;5.000e+01;5.000e+01
20.004000000;3.140e-01;1.897e-01;1.413e-01;6.040e-01;4.500e-01;3.729e-01;3.140e-01;1.707e-01;1.272e-01;1.000e+01;6.005e-01;4.737e-01;1.045e+00;5.000e+01;5.000e+01
20.007000000;1.575e-01;8.655e-02;9.115e-02;5.494e-01;5.787e-01;2.049e-01;1.575e-01;7.789e-02;8.204e-02;1.000e+01;5.354e-01;6.067e-01;1.045e+00;5.000e+01;5.000e+01
20.008500000;7.926e-02;4.039e-02;5.013e-02;5.096e-01;6.325e-01;1.159e-01;7.926e-02;3.635e-02;4.512e-02;1.000e+01;4.856e-01;6.645e-01;1.045e+00;5.000e+01;5.000e+01
20.010000000;9.999e-04;5.044e-04;6.488e-04;5.044e-01;6.489e-01;2.644e-02;1.000e-03;4.540e-04;5.840e-04;1.000e+01;4.273e-01;7.148e-01;1.045e+00;5.000e+01;5.000e+01
20.013000000;9.999e-04;5.078e-04;6.843e-04;5.078e-01;6.844e-01;2.755e-02;1.000e-03;4.570e-04;6.160e-04;1.000e+01;3.406e-01;7.922e-01;1.045e+00;5.000e+01;5.000e+01
20.016000000;9.999e-04;4.600e-04;7.566e-04;4.600e-01;7.567e-01;2.888e-02;1.000e-03;4.140e-04;6.810e-04;1.000e+01;2.778e-01;8.517e-01;1.045e+00;5.000e+01;5.000e+01
20.019000000;9.999e-04;4.289e-04;8.110e-04;4.289e-01;8.111e-01;3.012e-02;1.000e-03;3.860e-04;7.300e-04;1.000e+01;2.343e-01;8.974e-01;1.045e+00;5.000e+01;5.000e+01
20.022000000;9.999e-04;4.111e-04;8.521e-04;4.111e-01;8.522e-01;3.121e-02;1.000e-03;3.700e-04;7.670e-04;1.000e+01;2.070e-01;9.326e-01;1.045e+00;5.000e+01;5.000e+01
20.025000000;9.999e-04;4.122e-04;8.799e-04;4.122e-01;8.800e-01;3.221e-02;1.000e-03;3.710e-04;7.920e-04;1.000e+01;2.019e-01;9.597e-01;1.045e+00;5.000e+01;5.000e+01
20.028000000;1.000e-03;1.832e-04;1.255e-04;1.833e-01;1.256e-01;6.787e-03;1.000e-03;1.650e-04;1.130e-04;1.000e+01;1.576e-01;1.731e-01;1.045e+00;5.000e+01;5.000e+01
20.031000000;1.000e-03;1.066e-04;-3.456e-05;1.067e-01;-3.444e-02;3.006e-03;1.000e-03;9.597e-05;-3.100e-05;1.000e+01;1.213e-01;1.417e-08;1.045e+00;5.000e+01;5.000e+01
20.031000000;1.000e-03;-1.117e-05;-5.668e-06;-1.111e-02;-5.556e-03;1.000e-03;1.000e-03;-1.004e-05;-5.008e-06;1.000e+01;-6.750e-08;9.375e-09;1.045e+00;5.000e+01;5.000e+01
20.085000000;1.000e-03;-1.115e-05;-5.536e-06;-1.111e-02;-5.556e-03;1.000e-03;9.999e-04;-1.011e-05;-4.931e-06;1.000e+01;-2.756e-08;2.143e-09;1.045e+00;5.000e+01;5.000e+01
20.088000000;1.000e-03;-1.115e-05;-5.529e-06;-1.111e-02;-5.556e-03;1.000e-03;1.000e-03;-1.011e-05;-4.937e-06;1.000e+01;-2.720e-08;6.036e-09;1.045e+00;5.000e+01;5.000e+01
20.151000000;1.000e-03;-1.103e-05;-5.526e-06;-1.111e-02;-5.556e-03;1.000e-03;1.000e-03;-9.988e-06;-4.991e-06;1.000e+01;1.049e-07;2.620e-08;1.045e+00;5.000e+01;5.000e+01
20.154000000;4.396e-03;-4.438e-05;-2.777e-05;-1.011e-02;-6.319e-03;4.396e-03;4.396e-03;-3.996e-05;-2.497e-05;1.000e+01;1.061e-07;1.911e-08;1.045e+00;5.000e+01;5.000e+01
20.155500000;5.670e-03;-6.106e-05;-2.889e-05;-1.078e-02;-5.095e-03;5.670e-03;5.670e-03;-5.495e-05;-2.597e-05;1.000e+01;1.040e-07;1.163e-08;1.045e+00;5.000e+01;5.000e+01
20.170500000;1.841e-02;-1.967e-04;-9.561e-05;-1.069e-02;-5.192e-03;1.841e-02;1.841e-02;-1.769e-04;-8.595e-05;1.000e+01;6.180e-08;-4.352e-08;1.045e+00;5.000e+01;5.000e+01
20.170500000;1.841e-02;-1.933e-04;-7.228e-05;-1.050e-02;-3.924e-03;1.841e-02;1.841e-02;-1.739e-04;-6.494e-05;1.000e+01;5.023e-08;-5.121e-08;1.045e+00;5.000e+01;5.000e+01
20.182500000;2.859e-02;-3.055e-04;-1.611e-04;-1.069e-02;-5.635e-03;2.859e-02;2.859e-02;-2.749e-04;-1.449e-04;1.000e+01;3.237e-08;-6.466e-08;1.045e+00;5.000e+01;5.000e+01
20.275500000;1.076e-01;-1.143e-03;-5.690e-04;-1.063e-02;-5.290e-03;1.076e-01;1.076e-01;-1.029e-03;-5.120e-04;1.000e+01;7.721e-08;4.532e-08;1.045e+00;5.000e+01;5.000e+01
20.278500000;1.101e-01;-1.153e-03;-3.851e-03;-1.048e-02;-3.498e-02;1.084e-01;1.101e-01;-1.038e-03;-3.466e-03;1.000e+01;7.162e-03;-2.879e-02;1.045e+00;5.000e+01;5.000e+01
20.278500000;1.101e-01;3.434e-04;2.308e-03;3.118e-03;2.096e-02;1.116e-01;1.101e-01;3.090e-04;2.077e-03;1.000e+01;7.162e-03;2.879e-02;1.045e+00;5.000e+01;5.000e+01
20.287500000;1.177e-01;6.899e-03;2.486e-02;5.860e-02;2.111e-01;1.311e-01;1.177e-01;6.209e-03;2.237e-02;1.000e+01;1.616e-02;2.267e-01;1.045e+00;5.000e+01;5.000e+01
20.296500000;1.254e-01;1.528e-02;5.433e-02;1.218e-01;4.333e-01;1.542e-01;1.254e-01;1.375e-02;4.890e-02;1.000e+01;2.516e-02;4.575e-01;1.045e+00;5.000e+01;5.000e+01
20.305500000;1.330e-01;1.437e-02;9.301e-02;1.081e-01;6.992e-01;1.822e-01;1.330e-01;1.294e-02;8.371e-02;1.000e+01;3.416e-02;7.137e-01;1.045e+00;5.000e+01;5.000e+01
20.314500000;1.407e-01;1.321e-02;1.374e-01;9.389e-02;9.766e-01;2.133e-01;1.407e-01;1.189e-02;1.236e-01;1.000e+01;4.316e-02;9.865e-01;1.045e+00;5.000e+01;5.000e+01
20.317500000;1.432e-01;1.236e-02;1.419e-01;8.628e-02;9.910e-01;2.178e-01;1.432e-01;1.112e-02;1.277e-01;1.000e+01;4.616e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.320500000;1.458e-01;1.169e-02;1.446e-01;8.022e-02;9.918e-01;2.211e-01;1.458e-01;1.052e-02;1.301e-01;1.000e+01;4.916e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.326500000;1.508e-01;1.108e-02;1.497e-01;7.344e-02;9.927e-01;2.278e-01;1.508e-01;9.971e-03;1.348e-01;1.000e+01;5.516e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.329500000;1.534e-01;1.105e-02;1.523e-01;7.204e-02;9.929e-01;2.311e-01;1.534e-01;9.946e-03;1.371e-01;1.000e+01;5.816e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.332500000;1.559e-01;1.117e-02;1.549e-01;7.161e-02;9.932e-01;2.345e-01;1.559e-01;1.005e-02;1.394e-01;1.000e+01;6.116e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.338500000;1.610e-01;1.174e-02;1.600e-01;7.290e-02;9.934e-01;2.411e-01;1.610e-01;1.056e-02;1.440e-01;1.000e+01;6.716e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.344500000;1.661e-01;1.265e-02;1.651e-01;7.615e-02;9.936e-01;2.477e-01;1.661e-01;1.139e-02;1.486e-01;1.000e+01;7.316e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.353500000;1.738e-01;1.446e-02;1.727e-01;8.320e-02;9.937e-01;2.577e-01;1.738e-01;1.301e-02;1.554e-01;1.000e+01;8.216e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
20.365500000;1.840e-01;1.741e-02;1.828e-01;9.462e-02;9.936e-01;2.709e-01;1.840e-01;1.566e-02;1.645e-01;1.000e+01;9.416e-02;1.000e+00;1.045e+00;5.000e+01;5.000e+01
