time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
0.000e+00;1.044e+00;8.333e-01;7.979e-01;-8.287e-08;-8.157e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.000e-06;1.044e+00;8.333e-01;7.979e-01;-8.286e-08;-8.158e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
2.000e-06;1.044e+00;8.333e-01;7.979e-01;-8.285e-08;-8.159e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
4.000e-06;1.044e+00;8.333e-01;7.979e-01;-8.284e-08;-8.160e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
8.000e-06;1.044e+00;8.333e-01;7.979e-01;-8.284e-08;-8.162e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.600e-05;1.044e+00;8.333e-01;7.979e-01;-8.283e-08;-8.163e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
3.200e-05;1.044e+00;8.333e-01;7.979e-01;-8.282e-08;-8.165e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
6.400e-05;1.044e+00;8.333e-01;7.979e-01;-8.281e-08;-8.166e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.280e-04;1.044e+00;8.333e-01;7.979e-01;-8.280e-08;-8.168e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
2.560e-04;1.044e+00;8.333e-01;7.979e-01;-8.279e-08;-8.170e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
5.120e-04;1.044e+00;8.333e-01;7.979e-01;-8.277e-08;-8.172e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.000e-03;1.044e+00;8.333e-01;7.979e-01;-8.276e-08;-8.174e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.000e-03;1.044e+00;8.333e-01;7.979e-01;-8.275e-08;-8.176e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.001e-03;1.044e+00;8.333e-01;7.979e-01;-8.273e-08;-8.179e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.002e-03;1.044e+00;8.333e-01;7.979e-01;-8.272e-08;-8.181e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.004e-03;1.044e+00;8.333e-01;7.979e-01;-8.271e-08;-8.184e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.008e-03;1.044e+00;8.333e-01;7.979e-01;-8.269e-08;-8.186e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.016e-03;1.044e+00;8.333e-01;7.979e-01;-8.267e-08;-8.189e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.032e-03;1.044e+00;8.333e-01;7.979e-01;-8.266e-08;-8.192e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.064e-03;1.044e+00;8.333e-01;7.979e-01;-8.264e-08;-8.195e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
1.128e-03;1.044e+00;8.333e-01;7.979e-01;-8.262e-08;-8.198e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02;7.977e-01;1.489e-02;7.979e-01
