time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;7.102e-09;7.979e-01;0.000e+00;1.045e+00;1.044e+00;7.500e-01;-5.206e-09;1.000e+01;8.335e-01;1.556e-02;1.556e-02
29.999994000;1.044e+00;8.333e-01;2.936e-09;7.979e-01;0.000e+00;1.045e+00;1.044e+00;7.500e-01;-3.195e-09;1.000e+01;8.335e-01;1.556e-02;1.556e-02
29.999994000;7.801e-05;-4.449e-06;-6.744e-04;-2.663e-09;0.000e+00;1.951e-02;7.801e-05;-4.000e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
29.999995000;7.801e-05;-5.561e-06;-6.744e-04;-2.610e-09;0.000e+00;1.951e-02;7.801e-05;-5.000e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
29.999995000;7.801e-05;-5.561e-06;-6.744e-04;-2.563e-09;0.000e+00;1.951e-02;7.801e-05;-5.000e-06;-6.070e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000211000;7.800e-05;-6.666e-06;-6.733e-04;-4.878e-09;0.000e+00;1.910e-02;7.800e-05;-5.995e-06;-6.060e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000218000;7.800e-05;-6.665e-06;-6.722e-04;-4.907e-09;0.000e+00;1.908e-02;7.800e-05;-5.995e-06;-6.050e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000333000;7.800e-05;-6.665e-06;-6.722e-04;-6.775e-09;0.000e+00;1.887e-02;7.800e-05;-5.999e-06;-6.050e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000340000;7.800e-05;-6.665e-06;-6.711e-04;-6.853e-09;0.000e+00;1.886e-02;7.800e-05;-5.999e-06;-6.040e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000458000;7.800e-05;-7.776e-06;-6.711e-04;-6.255e-09;0.000e+00;1.864e-02;7.800e-05;-7.001e-06;-6.040e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000471000;7.800e-05;-7.776e-06;-6.700e-04;-6.071e-09;0.000e+00;1.861e-02;7.800e-05;-7.001e-06;-6.030e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000601000;7.801e-05;-7.777e-06;-6.700e-04;-3.407e-09;0.000e+00;1.838e-02;7.800e-05;-7.003e-06;-6.030e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000614000;7.801e-05;-7.777e-06;-6.689e-04;-3.062e-09;0.000e+00;1.836e-02;7.800e-05;-7.003e-06;-6.020e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000743000;7.800e-05;-8.890e-06;-6.689e-04;7.911e-10;0.000e+00;1.813e-02;7.800e-05;-8.003e-06;-6.020e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000756000;7.800e-05;-8.890e-06;-6.678e-04;1.182e-09;0.000e+00;1.810e-02;7.800e-05;-8.003e-06;-6.010e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.000885000;7.700e-05;-1.000e-05;-6.678e-04;4.048e-09;0.000e+00;1.788e-02;7.700e-05;-9.003e-06;-6.010e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
