time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.333e-01;-2.277e-08;7.979e-01;-2.410e-08;1.045e+00;1.044e+00;7.500e-01;-2.023e-08;1.000e+01;8.335e-01;1.045e+00;7.977e-01;1.489e-02
19.999996000;1.044e+00;8.333e-01;-1.175e-08;7.979e-01;-4.230e-09;1.045e+00;1.044e+00;7.500e-01;-4.048e-08;1.000e+01;8.335e-01;1.045e+00;7.977e-01;1.489e-02
19.999996000;1.044e+00;8.333e-01;-1.471e-08;7.979e-01;-4.238e-09;1.045e+00;1.044e+00;7.500e-01;-3.920e-08;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.489e-02
20.000000000;1.044e+00;8.333e-01;4.220e-05;7.979e-01;4.042e-05;1.045e+00;1.044e+00;7.500e-01;3.797e-05;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.494e-02
20.000004000;1.044e+00;8.334e-01;8.554e-05;7.979e-01;8.191e-05;1.045e+00;1.044e+00;7.500e-01;7.697e-05;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.498e-02
20.000012000;1.045e+00;8.334e-01;1.700e-04;7.979e-01;1.628e-04;1.045e+00;1.045e+00;7.501e-01;1.530e-04;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.506e-02
20.000060000;1.045e+00;8.336e-01;6.789e-04;7.979e-01;6.498e-04;1.045e+00;1.045e+00;7.502e-01;6.110e-04;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.556e-02
20.000092000;1.045e+00;8.337e-01;1.017e-03;7.979e-01;9.730e-04;1.045e+00;1.045e+00;7.503e-01;9.150e-04;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.589e-02
20.000156000;1.045e+00;8.339e-01;1.690e-03;7.979e-01;1.617e-03;1.046e+00;1.045e+00;7.505e-01;1.521e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.655e-02
20.000214000;1.045e+00;8.341e-01;2.293e-03;7.979e-01;2.194e-03;1.046e+00;1.045e+00;7.507e-01;2.064e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.714e-02
20.000271000;1.046e+00;8.343e-01;2.893e-03;7.979e-01;2.767e-03;1.046e+00;1.046e+00;7.509e-01;2.604e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.773e-02
20.000329000;1.046e+00;8.345e-01;3.490e-03;7.979e-01;3.337e-03;1.046e+00;1.046e+00;7.510e-01;3.141e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.832e-02
20.000386000;1.046e+00;8.347e-01;4.084e-03;7.979e-01;3.905e-03;1.047e+00;1.046e+00;7.512e-01;3.676e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.890e-02
20.000444000;1.046e+00;8.349e-01;4.674e-03;7.980e-01;4.468e-03;1.047e+00;1.046e+00;7.514e-01;4.207e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;1.947e-02
20.000502000;1.047e+00;8.351e-01;5.263e-03;7.980e-01;5.029e-03;1.047e+00;1.047e+00;7.516e-01;4.737e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.005e-02
20.000559000;1.047e+00;8.353e-01;5.848e-03;7.980e-01;5.587e-03;1.047e+00;1.047e+00;7.517e-01;5.263e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.062e-02
20.000617000;1.047e+00;8.355e-01;6.430e-03;7.980e-01;6.142e-03;1.048e+00;1.047e+00;7.519e-01;5.787e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.119e-02
20.000732000;1.047e+00;8.359e-01;7.584e-03;7.980e-01;7.241e-03;1.048e+00;1.047e+00;7.523e-01;6.826e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.231e-02
20.000790000;1.048e+00;8.360e-01;8.158e-03;7.980e-01;7.787e-03;1.048e+00;1.048e+00;7.524e-01;7.342e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.287e-02
20.000847000;1.048e+00;8.362e-01;8.728e-03;7.980e-01;8.329e-03;1.048e+00;1.048e+00;7.526e-01;7.855e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.343e-02
20.000962000;1.048e+00;8.366e-01;9.859e-03;7.981e-01;9.405e-03;1.049e+00;1.048e+00;7.529e-01;8.873e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.453e-02
20.001078000;1.049e+00;8.370e-01;1.098e-02;7.981e-01;1.047e-02;1.049e+00;1.049e+00;7.533e-01;9.880e-03;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.561e-02
20.001193000;1.049e+00;8.373e-01;1.208e-02;7.981e-01;1.152e-02;1.050e+00;1.049e+00;7.536e-01;1.088e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.669e-02
20.001308000;1.050e+00;8.377e-01;1.318e-02;7.981e-01;1.256e-02;1.050e+00;1.050e+00;7.539e-01;1.186e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.775e-02
20.001423000;1.050e+00;8.381e-01;1.426e-02;7.981e-01;1.358e-02;1.051e+00;1.050e+00;7.542e-01;1.283e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.880e-02
20.001538000;1.050e+00;8.384e-01;1.533e-02;7.981e-01;1.460e-02;1.051e+00;1.050e+00;7.546e-01;1.380e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;2.983e-02
20.001654000;1.051e+00;8.387e-01;1.639e-02;7.982e-01;1.560e-02;1.052e+00;1.051e+00;7.549e-01;1.475e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.086e-02
20.001769000;1.051e+00;8.391e-01;1.744e-02;7.982e-01;1.659e-02;1.052e+00;1.051e+00;7.552e-01;1.569e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.187e-02
20.001884000;1.052e+00;8.394e-01;1.847e-02;7.982e-01;1.756e-02;1.052e+00;1.052e+00;7.555e-01;1.662e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.286e-02
20.001999000;1.052e+00;8.398e-01;1.949e-02;7.982e-01;1.853e-02;1.053e+00;1.052e+00;7.558e-01;1.754e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.385e-02
20.002114000;1.052e+00;8.401e-01;2.050e-02;7.982e-01;1.948e-02;1.053e+00;1.052e+00;7.561e-01;1.845e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.482e-02
20.002230000;1.053e+00;8.404e-01;2.150e-02;7.982e-01;2.042e-02;1.054e+00;1.053e+00;7.564e-01;1.935e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.578e-02
20.002345000;1.053e+00;8.407e-01;2.249e-02;7.982e-01;2.135e-02;1.054e+00;1.053e+00;7.566e-01;2.024e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.673e-02
20.002460000;1.054e+00;8.410e-01;2.346e-02;7.982e-01;2.227e-02;1.055e+00;1.054e+00;7.569e-01;2.111e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.767e-02
20.002575000;1.054e+00;8.413e-01;2.442e-02;7.983e-01;2.317e-02;1.055e+00;1.054e+00;7.572e-01;2.198e-02;1.000e+01;8.335e-01;1.097e+00;7.977e-01;3.859e-02
20.002690000;1.054e+00;8.416e-01;2.537e-02;7.983e-01;2.406e-02;1.055e+00;1.054e+00;7.575e-01;2.284e-02;1.000e+01;8.335e-01;1.097e+00;7.976e-01;3.950e-02
20.002806000;1.055e+00;8.419e-01;2.631e-02;7.983e-01;2.495e-02;1.056e+00;1.055e+00;7.577e-01;2.368e-02;1.000e+01;8.335e-01;1.097e+00;7.976e-01;4.040e-02
20.003036000;1.055e+00;8.425e-01;2.815e-02;7.983e-01;2.667e-02;1.056e+00;1.055e+00;7.583e-01;2.533e-02;1.000e+01;8.335e-01;1.097e+00;7.976e-01;4.216e-02
20.003151000;1.056e+00;8.428e-01;2.905e-02;7.983e-01;2.752e-02;1.057e+00;1.056e+00;7.585e-01;2.615e-02;1.000e+01;8.335e-01;1.097e+00;7.976e-01;4.302e-02
