time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;7.540e-04
0.000001000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999994000;4.001e-06;-1.352e-10;0.000e+00;-5.723e-10;0.000e+00;9.051e-04;3.874e-10;8.287e-01;3.994e-06;-7.559e-09;0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999995000;4.001e-06;1.193e-10;-0.000e+00;-7.283e-10;0.000e+00;9.051e-04;8.693e-10;8.287e-01;3.994e-06;-7.302e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999995000;4.001e-06;2.620e-10;-0.000e+00;-8.239e-10;0.000e+00;9.051e-04;1.093e-09;8.286e-01;3.993e-06;-7.168e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000001000;4.002e-06;1.086e-09;-0.000e+00;-1.445e-09;0.000e+00;9.051e-04;1.923e-09;8.286e-01;3.993e-06;-6.420e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000003000;4.002e-06;1.280e-09;-0.000e+00;-1.590e-09;0.000e+00;9.042e-04;2.020e-09;8.295e-01;3.993e-06;-6.243e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000008000;4.002e-06;1.488e-09;-0.000e+00;-1.739e-09;0.000e+00;9.042e-04;2.089e-09;8.295e-01;3.994e-06;-6.058e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000012000;4.002e-06;1.710e-09;-0.000e+00;-1.893e-09;0.000e+00;9.033e-04;2.133e-09;8.303e-01;3.994e-06;-5.867e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
