time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;4.914e-09;8.332e-01;2.252e-11;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-1.693e-09;8.333e-01;7.540e-04
0.000001000;1.000e+00;8.332e-01;4.956e-09;8.332e-01;8.510e-11;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-1.717e-09;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;7.286e-10;8.332e-01;2.611e-09;1.000e+00;8.332e-01;7.502e-04;1.000e+00;3.333e-02;2.892e-09;8.333e-01;7.540e-04
29.999994000;4.006e-06;-3.279e-09;6.259e-10;-3.459e-09;2.500e-09;9.051e-04;-4.401e-10;8.287e-01;3.998e-06;3.280e-10;2.883e-09;8.333e-01;7.540e-04
30.000001000;4.004e-06;-3.349e-09;-5.931e-11;-3.489e-09;1.601e-09;9.051e-04;-5.147e-10;8.286e-01;3.998e-06;2.959e-10;2.610e-09;8.333e-01;7.540e-04
30.000003000;4.004e-06;-3.429e-09;-1.032e-10;-3.464e-09;1.544e-09;9.042e-04;-5.498e-10;8.295e-01;3.998e-06;3.017e-10;2.569e-09;8.333e-01;7.540e-04
30.000008000;4.004e-06;-3.517e-09;-1.391e-10;-3.437e-09;1.508e-09;9.042e-04;-5.827e-10;8.295e-01;3.998e-06;3.109e-10;2.529e-09;8.333e-01;7.540e-04
30.000012000;4.003e-06;-3.608e-09;-1.693e-10;-3.406e-09;1.494e-09;9.033e-04;-6.099e-10;8.303e-01;3.998e-06;3.223e-10;2.492e-09;8.333e-01;7.540e-04
30.000021000;4.003e-06;-3.783e-09;-2.180e-10;-3.327e-09;1.529e-09;9.033e-04;-6.307e-10;8.303e-01;3.998e-06;3.456e-10;2.437e-09;8.333e-01;7.540e-04
30.000026000;4.003e-06;-3.861e-09;-2.382e-10;-3.272e-09;1.579e-09;9.024e-04;-6.165e-10;8.311e-01;3.998e-06;3.538e-10;2.421e-09;8.333e-01;7.540e-04
30.000030000;4.003e-06;-3.930e-09;-2.569e-10;-3.203e-09;1.653e-09;9.024e-04;-5.835e-10;8.311e-01;3.998e-06;3.582e-10;2.413e-09;8.333e-01;7.540e-04
30.000035000;4.003e-06;-3.987e-09;-2.751e-10;-3.115e-09;1.756e-09;9.015e-04;-5.330e-10;8.320e-01;3.998e-06;3.586e-10;2.411e-09;8.333e-01;7.540e-04
30.000039000;4.002e-06;-4.031e-09;-2.928e-10;-3.007e-09;1.890e-09;9.015e-04;-4.682e-10;8.320e-01;3.998e-06;3.558e-10;2.416e-09;8.333e-01;7.540e-04
30.000044000;4.002e-06;-4.060e-09;-3.095e-10;-2.879e-09;2.055e-09;9.006e-04;-3.932e-10;8.328e-01;3.998e-06;3.498e-10;2.426e-09;8.333e-01;7.540e-04
30.000048000;4.002e-06;-4.075e-09;-3.247e-10;-2.732e-09;2.249e-09;9.006e-04;-3.117e-10;8.327e-01;3.998e-06;3.404e-10;2.440e-09;8.333e-01;7.540e-04
30.000053000;4.002e-06;-4.074e-09;-3.388e-10;-2.567e-09;2.466e-09;8.996e-04;-2.270e-10;8.337e-01;3.998e-06;3.274e-10;2.460e-09;8.333e-01;7.540e-04
30.000061000;4.002e-06;-4.032e-09;-3.710e-10;-2.192e-09;2.951e-09;8.997e-04;-5.404e-11;8.336e-01;3.998e-06;2.921e-10;2.521e-09;8.333e-01;7.540e-04
30.000066000;4.002e-06;-3.997e-09;-3.916e-10;-1.988e-09;3.210e-09;8.988e-04;3.246e-11;8.344e-01;3.998e-06;2.734e-10;2.569e-09;8.333e-01;7.540e-04
30.000070000;4.002e-06;-3.958e-09;-4.164e-10;-1.777e-09;3.473e-09;8.988e-04;1.187e-10;8.344e-01;3.998e-06;2.575e-10;2.632e-09;8.333e-01;7.540e-04
30.000075000;4.002e-06;-3.920e-09;-4.464e-10;-1.563e-09;3.734e-09;8.979e-04;2.050e-10;8.353e-01;3.998e-06;2.461e-10;2.713e-09;8.333e-01;7.540e-04
30.000084000;4.002e-06;-3.887e-09;-4.824e-10;-1.349e-09;3.987e-09;8.970e-04;2.910e-10;8.361e-01;3.998e-06;2.407e-10;2.814e-09;8.333e-01;7.540e-04
30.000092000;4.002e-06;-3.860e-09;-5.247e-10;-1.136e-09;4.224e-09;8.961e-04;3.748e-10;8.370e-01;3.998e-06;2.419e-10;2.937e-09;8.333e-01;7.540e-04
30.000100000;4.002e-06;-3.841e-09;-5.743e-10;-9.275e-10;4.442e-09;8.961e-04;4.540e-10;8.369e-01;3.998e-06;2.511e-10;3.082e-09;8.333e-01;7.540e-04
30.000103000;4.002e-06;-3.834e-09;-6.325e-10;-7.240e-10;4.640e-09;8.952e-04;5.265e-10;8.378e-01;3.998e-06;2.700e-10;3.248e-09;8.333e-01;7.540e-04
30.000105000;4.002e-06;-3.868e-09;-7.789e-10;-3.395e-10;4.972e-09;8.952e-04;6.428e-10;8.378e-01;3.998e-06;3.447e-10;3.640e-09;8.333e-01;7.540e-04
30.000107000;4.002e-06;-3.914e-09;-8.665e-10;-1.622e-10;5.105e-09;8.952e-04;6.803e-10;8.098e-01;3.998e-06;4.042e-10;3.862e-09;8.333e-01;7.540e-04
30.000111000;4.001e-06;-4.065e-09;-1.063e-09;1.566e-10;5.298e-09;8.953e-04;7.031e-10;8.098e-01;3.998e-06;5.706e-10;4.334e-09;8.333e-01;7.540e-04
30.000113000;4.001e-06;-4.165e-09;-1.172e-09;2.975e-10;5.360e-09;8.943e-04;6.919e-10;8.107e-01;3.998e-06;6.751e-10;4.572e-09;8.333e-01;7.540e-04
30.000117000;4.001e-06;-4.280e-09;-1.288e-09;4.243e-10;5.401e-09;8.943e-04;6.719e-10;8.107e-01;3.998e-06;7.906e-10;4.804e-09;8.333e-01;7.540e-04
30.000125000;4.001e-06;-4.406e-09;-1.410e-09;5.348e-10;5.424e-09;8.934e-04;6.496e-10;8.115e-01;3.998e-06;9.148e-10;5.024e-09;8.333e-01;7.540e-04
30.000133000;4.001e-06;-4.543e-09;-1.538e-09;6.285e-10;5.431e-09;8.925e-04;6.318e-10;8.123e-01;3.998e-06;1.045e-09;5.229e-09;8.333e-01;7.540e-04
30.000141000;4.001e-06;-4.688e-09;-1.670e-09;7.068e-10;5.425e-09;8.916e-04;6.243e-10;8.131e-01;3.998e-06;1.180e-09;5.418e-09;8.333e-01;7.540e-04
30.000149000;4.000e-06;-4.840e-09;-1.804e-09;7.726e-10;5.408e-09;8.917e-04;6.318e-10;8.131e-01;3.998e-06;1.318e-09;5.585e-09;8.333e-01;7.540e-04
30.000157000;4.000e-06;-4.994e-09;-1.942e-09;8.291e-10;5.382e-09;8.908e-04;6.562e-10;8.139e-01;3.998e-06;1.458e-09;5.726e-09;8.333e-01;7.540e-04
30.000165000;4.000e-06;-5.149e-09;-2.084e-09;8.792e-10;5.351e-09;8.899e-04;6.979e-10;8.147e-01;3.998e-06;1.597e-09;5.837e-09;8.333e-01;7.540e-04
30.000173000;4.000e-06;-5.301e-09;-2.227e-09;9.249e-10;5.319e-09;8.890e-04;7.563e-10;8.155e-01;3.998e-06;1.734e-09;5.915e-09;8.333e-01;7.540e-04
30.000181000;4.000e-06;-5.448e-09;-2.369e-09;9.678e-10;5.289e-09;8.881e-04;8.303e-10;8.164e-01;3.998e-06;1.865e-09;5.961e-09;8.333e-01;7.540e-04
30.000189000;3.999e-06;-5.585e-09;-2.507e-09;1.009e-09;5.262e-09;8.882e-04;9.182e-10;8.163e-01;3.997e-06;1.987e-09;5.978e-09;8.333e-01;7.540e-04
30.000197000;3.999e-06;-5.708e-09;-2.635e-09;1.050e-09;5.241e-09;8.873e-04;1.017e-09;8.171e-01;3.997e-06;2.096e-09;5.970e-09;8.333e-01;7.540e-04
30.000205000;3.999e-06;-5.814e-09;-2.749e-09;1.089e-09;5.226e-09;8.864e-04;1.120e-09;8.179e-01;3.997e-06;2.193e-09;5.941e-09;8.333e-01;7.540e-04
30.000213000;3.999e-06;-5.902e-09;-2.843e-09;1.125e-09;5.217e-09;8.855e-04;1.224e-09;8.188e-01;3.997e-06;2.275e-09;5.893e-09;8.333e-01;7.540e-04
30.000221000;3.999e-06;-5.970e-09;-2.915e-09;1.155e-09;5.211e-09;8.846e-04;1.323e-09;8.196e-01;3.997e-06;2.343e-09;5.827e-09;8.333e-01;7.540e-04
30.000229000;3.999e-06;-6.021e-09;-2.960e-09;1.175e-09;5.206e-09;8.847e-04;1.414e-09;8.195e-01;3.997e-06;2.396e-09;5.745e-09;8.333e-01;7.540e-04
30.000237000;3.999e-06;-6.056e-09;-2.978e-09;1.183e-09;5.203e-09;8.838e-04;1.496e-09;8.203e-01;3.997e-06;2.434e-09;5.647e-09;8.333e-01;7.540e-04
30.000245000;3.999e-06;-6.075e-09;-2.966e-09;1.176e-09;5.199e-09;8.829e-04;1.566e-09;8.211e-01;3.997e-06;2.458e-09;5.534e-09;8.333e-01;7.540e-04
30.000253000;3.999e-06;-6.077e-09;-2.925e-09;1.153e-09;5.195e-09;8.820e-04;1.625e-09;8.220e-01;3.998e-06;2.469e-09;5.409e-09;8.333e-01;7.540e-04
30.000261000;3.999e-06;-6.061e-09;-2.852e-09;1.117e-09;5.192e-09;8.811e-04;1.672e-09;8.228e-01;3.998e-06;2.467e-09;5.275e-09;8.333e-01;7.540e-04
30.000269000;3.999e-06;-6.030e-09;-2.745e-09;1.070e-09;5.190e-09;8.803e-04;1.706e-09;8.236e-01;3.998e-06;2.454e-09;5.133e-09;8.333e-01;7.540e-04
30.000277000;3.999e-06;-5.984e-09;-2.606e-09;1.016e-09;5.191e-09;8.804e-04;1.723e-09;8.235e-01;3.998e-06;2.429e-09;4.985e-09;8.333e-01;7.540e-04
30.000285000;3.999e-06;-5.925e-09;-2.433e-09;9.580e-10;5.197e-09;8.795e-04;1.722e-09;7.959e-01;3.998e-06;2.391e-09;4.834e-09;8.333e-01;7.540e-04
30.000293000;3.999e-06;-5.855e-09;-2.229e-09;8.971e-10;5.208e-09;8.786e-04;1.698e-09;7.967e-01;3.998e-06;2.342e-09;4.684e-09;8.333e-01;7.540e-04
30.000301000;3.999e-06;-5.773e-09;-1.994e-09;8.337e-10;5.226e-09;8.777e-04;1.648e-09;7.975e-01;3.998e-06;2.282e-09;4.536e-09;8.333e-01;7.540e-04
30.000309000;3.999e-06;-5.680e-09;-1.731e-09;7.687e-10;5.250e-09;8.768e-04;1.571e-09;7.983e-01;3.998e-06;2.214e-09;4.392e-09;8.333e-01;7.540e-04
30.000317000;3.999e-06;-5.573e-09;-1.441e-09;7.035e-10;5.280e-09;8.770e-04;1.469e-09;7.982e-01;3.998e-06;2.142e-09;4.250e-09;8.333e-01;7.540e-04
30.000325000;3.999e-06;-5.453e-09;-1.128e-09;6.400e-10;5.317e-09;8.761e-04;1.345e-09;7.990e-01;3.998e-06;2.068e-09;4.111e-09;8.333e-01;7.540e-04
30.000333000;3.999e-06;-5.318e-09;-7.975e-10;5.797e-10;5.362e-09;8.752e-04;1.203e-09;7.998e-01;3.998e-06;1.994e-09;3.972e-09;8.333e-01;7.540e-04
30.000341000;3.999e-06;-5.171e-09;-4.562e-10;5.242e-10;5.414e-09;8.743e-04;1.048e-09;8.006e-01;3.998e-06;1.918e-09;3.833e-09;8.333e-01;7.540e-04
30.000349000;4.000e-06;-5.012e-09;-1.108e-10;4.748e-10;5.474e-09;8.735e-04;8.830e-10;8.014e-01;3.998e-06;1.840e-09;3.692e-09;8.333e-01;7.540e-04
30.000357000;4.000e-06;-4.845e-09;2.333e-10;4.318e-10;5.539e-09;8.726e-04;7.097e-10;8.022e-01;3.998e-06;1.759e-09;3.549e-09;8.333e-01;7.540e-04
30.000365000;4.000e-06;-4.675e-09;5.725e-10;3.948e-10;5.610e-09;8.727e-04;5.292e-10;8.021e-01;3.998e-06;1.676e-09;3.405e-09;8.333e-01;7.540e-04
30.000373000;4.000e-06;-4.506e-09;9.048e-10;3.637e-10;5.683e-09;8.717e-04;3.446e-10;8.030e-01;3.998e-06;1.592e-09;3.262e-09;8.333e-01;7.540e-04
