time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;4.529e-09;8.332e-01;-1.916e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-3.950e-09;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;-2.594e-10;8.332e-01;-1.251e-09;1.000e+00;8.332e-01;7.501e-04;1.000e+00;3.333e-02;8.897e-10;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.006e-06;4.672e-09;-2.253e-10;1.836e-10;-1.289e-09;9.056e-04;-6.242e-10;8.282e-01;9.995e-07;-3.382e-09;1.154e-09;1.000e+01;8.333e-01;7.540e-04
30.000102000;1.007e-06;2.576e-09;1.345e-09;1.752e-09;-3.396e-09;8.953e-04;-1.623e-09;8.377e-01;9.978e-07;1.940e-10;1.350e-09;1.000e+01;8.333e-01;7.540e-04
30.000858000;9.904e-07;-1.563e-09;6.366e-11;3.534e-10;1.431e-09;8.301e-04;3.516e-09;7.529e-01;1.001e-06;-5.464e-09;-3.135e-10;1.000e+01;8.333e-01;7.540e-04
30.003230000;1.001e-06;7.534e-10;1.010e-09;-2.111e-09;4.566e-09;6.691e-04;-5.330e-09;5.978e-01;9.958e-07;-3.673e-10;-1.077e-09;1.000e+01;8.333e-01;7.540e-04
30.003723000;9.994e-07;-1.113e-09;1.720e-09;-6.612e-09;6.259e-09;6.486e-04;-5.714e-11;5.782e-01;1.002e-06;1.729e-09;-1.711e-09;1.000e+01;8.333e-01;7.540e-04
30.004096000;9.984e-07;-1.886e-11;4.553e-09;-8.057e-09;4.723e-10;6.380e-04;6.736e-10;5.877e-01;1.003e-06;-1.019e-09;-2.949e-09;1.000e+01;8.333e-01;7.540e-04
30.004537000;9.962e-07;1.318e-09;5.025e-09;-7.292e-09;-3.510e-09;6.290e-04;6.813e-10;5.962e-01;1.000e-06;-2.499e-09;-3.889e-09;1.000e+01;8.333e-01;7.540e-04
30.004595000;9.961e-07;1.550e-09;4.916e-09;-7.180e-09;-3.614e-09;6.280e-04;7.884e-10;5.573e-01;1.000e-06;-2.511e-09;-3.961e-09;1.000e+01;8.333e-01;7.540e-04
30.005459000;9.946e-07;5.769e-09;2.752e-09;-6.378e-09;-6.961e-10;6.203e-04;2.881e-09;5.643e-01;9.989e-07;-1.601e-09;-5.945e-09;1.000e+01;8.333e-01;7.540e-04
30.006542000;9.978e-07;7.794e-09;3.270e-10;-4.435e-09;3.530e-09;6.272e-04;2.957e-09;5.580e-01;9.972e-07;1.853e-09;-5.908e-09;1.000e+01;8.333e-01;7.540e-04
30.006645000;9.979e-07;7.716e-09;2.553e-10;-4.290e-09;3.666e-09;6.290e-04;2.935e-09;5.962e-01;9.971e-07;1.996e-09;-5.795e-09;1.000e+01;8.333e-01;7.540e-04
30.007682000;9.992e-07;6.707e-09;1.420e-10;-2.588e-09;4.563e-09;6.477e-04;2.571e-09;5.790e-01;9.965e-07;2.435e-09;-3.787e-09;1.000e+01;8.333e-01;7.540e-04
30.012970000;1.005e-06;-4.878e-10;-3.049e-09;1.535e-09;6.602e-09;7.999e-04;-2.111e-09;7.501e-01;9.969e-07;3.213e-09;-2.139e-09;1.000e+01;8.333e-01;7.540e-04
30.013488000;1.003e-06;-1.033e-09;-2.740e-09;1.318e-09;7.933e-09;8.137e-04;-2.373e-09;7.373e-01;9.973e-07;2.808e-09;-2.014e-09;1.000e+01;8.333e-01;7.540e-04
30.015417000;1.000e-06;1.050e-10;-8.100e-10;-1.429e-09;9.489e-09;8.650e-04;-1.148e-09;8.092e-01;9.979e-07;3.289e-09;-1.067e-09;1.000e+01;8.333e-01;7.540e-04
30.015977000;2.000e-06;6.127e-10;-4.115e-10;-1.638e-09;9.431e-09;8.784e-04;-3.120e-10;7.969e-01;1.998e-06;3.405e-09;-1.080e-09;1.000e+01;8.333e-01;7.540e-04
30.019500000;1.998e-06;4.901e-10;3.123e-09;1.093e-09;3.457e-09;9.419e-04;2.565e-09;8.759e-01;1.992e-06;4.483e-09;-1.754e-09;1.000e+01;8.333e-01;7.540e-04
30.019869000;1.003e-06;1.794e-09;7.137e-09;5.230e-09;-4.829e-11;8.307e-04;-1.522e-09;7.523e-01;9.912e-07;2.139e-09;1.880e-10;1.000e+01;8.333e-01;7.540e-04
