time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.082e+00;8.624e-01;-3.609e-01;7.967e-01;-3.334e-01;1.082e+00;1.082e+00;3.449e-02;-1.444e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.981e-01;-3.300e-01
0.018000000;1.084e+00;8.477e-01;-3.608e-01;7.823e-01;-3.329e-01;1.083e+00;1.084e+00;3.391e-02;-1.443e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.835e-01;-3.300e-01
0.021000000;1.078e+00;8.413e-01;-3.739e-01;7.804e-01;-3.468e-01;1.078e+00;1.078e+00;3.365e-02;-1.496e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.815e-01;-3.443e-01
0.024000000;1.077e+00;8.385e-01;-3.776e-01;7.789e-01;-3.508e-01;1.076e+00;1.077e+00;3.354e-02;-1.511e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.799e-01;-3.485e-01
0.027000000;1.076e+00;8.370e-01;-3.785e-01;7.777e-01;-3.517e-01;1.076e+00;1.076e+00;3.348e-02;-1.514e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.787e-01;-3.496e-01
0.030000000;1.076e+00;8.360e-01;-3.789e-01;7.769e-01;-3.521e-01;1.076e+00;1.076e+00;3.344e-02;-1.516e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.777e-01;-3.501e-01
0.039000000;1.076e+00;8.344e-01;-3.792e-01;7.754e-01;-3.523e-01;1.076e+00;1.076e+00;3.338e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.760e-01;-3.509e-01
0.042000000;1.076e+00;8.341e-01;-3.792e-01;7.751e-01;-3.524e-01;1.076e+00;1.076e+00;3.336e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.757e-01;-3.511e-01
0.051000000;1.076e+00;8.336e-01;-3.793e-01;7.746e-01;-3.524e-01;1.076e+00;1.076e+00;3.334e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.751e-01;-3.514e-01
0.054000000;1.076e+00;8.335e-01;-3.793e-01;7.745e-01;-3.524e-01;1.076e+00;1.076e+00;3.334e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.749e-01;-3.515e-01
0.063000000;1.076e+00;8.334e-01;-3.793e-01;7.744e-01;-3.524e-01;1.076e+00;1.076e+00;3.333e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.747e-01;-3.517e-01
0.069000000;1.076e+00;8.333e-01;-3.793e-01;7.743e-01;-3.525e-01;1.076e+00;1.076e+00;3.333e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.747e-01;-3.517e-01
0.090000000;1.076e+00;8.332e-01;-3.793e-01;7.743e-01;-3.525e-01;1.076e+00;1.076e+00;3.333e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.746e-01;-3.518e-01
0.096000000;1.076e+00;8.332e-01;-3.793e-01;7.743e-01;-3.525e-01;1.076e+00;1.076e+00;3.333e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.745e-01;-3.518e-01
0.138000000;1.076e+00;8.332e-01;-3.793e-01;7.743e-01;-3.525e-01;1.076e+00;1.076e+00;3.333e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.745e-01;-3.519e-01
30.000000000;1.076e+00;8.332e-01;-3.793e-01;7.743e-01;-3.525e-01;1.076e+00;1.076e+00;3.333e-02;-1.517e-02;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.745e-01;-3.519e-01
30.000000000;1.184e-06;-2.410e-06;-2.235e-07;4.925e-06;-4.321e-08;9.240e-04;1.089e-06;-1.697e-07;-8.248e-09;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;7.745e-01;-3.519e-01
30.001500000;1.201e-06;-2.378e-06;-2.518e-07;5.428e-06;-5.042e-08;8.140e-04;1.131e-06;-1.877e-07;-8.797e-09;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;6.736e-01;-3.300e-01
30.002063000;1.245e-06;-1.662e-06;-3.093e-07;5.356e-06;-8.596e-08;1.288e-03;1.280e-06;-2.281e-07;-1.002e-08;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;6.371e-01;-1.000e+00
30.004875000;1.285e-06;-2.143e-06;-2.005e-07;3.271e-06;-1.572e-07;1.208e-03;1.264e-06;-1.430e-07;-1.046e-08;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;4.880e-01;-1.000e+00
30.007875000;1.279e-06;-2.542e-06;-1.471e-07;2.797e-06;-1.703e-07;1.160e-03;1.258e-06;-9.160e-08;-1.065e-08;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;3.759e-01;-1.000e+00
30.007875000;1.260e-06;-3.109e-06;-8.715e-08;2.313e-06;-1.789e-07;8.508e-04;1.253e-06;-3.318e-08;-1.092e-08;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;3.759e-01;-6.876e-01
30.010875000;1.228e-06;-3.779e-06;-2.060e-08;1.806e-06;-1.851e-07;5.248e-04;1.247e-06;2.529e-08;-1.124e-08;1.000e+01;8.333e-01;-4.436e-01;-4.436e-01;2.894e-01;-3.876e-01
