time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
0.0;1.0766506379533545;0.8597334558491339;0.7985620004671697;-0.3737592873756153;-0.3471561121631105;1.0685486029066558;10.000102286089367;0.8335673023269916;-0.4244549943149099;-0.4244549990991381;0.805802891531931;-0.3300000036264794;0.8707327587780403
0.01;1.0773367858796898;0.8532832543893795;0.7920661419478876;-0.3734279184694555;-0.346627429896521;1.0692426046449346;10.000102337720536;0.833567315184498;-0.4244549943243586;-0.4244549990929522;0.7991368590086994;-0.33000000359920784;0.8645677550117894
0.01;1.0773368180387148;0.8532832816540837;0.7920661696329456;-0.3734279184796207;-0.3466274299046448;1.0692426064576928;10.000102392723013;0.8335673288253789;-0.42445499433445844;-0.4244549990862931;0.7991368241939543;-0.3300000035698297;0.8645678086601668
0.02;1.0779640839594917;0.8466699560263327;0.7854701654343198;-0.3732317530339172;-0.34624375417609804;1.0698756083230176;10.00010245135056;0.8335673430936007;-0.42445499434520284;-0.4244549990791862;0.7924317871069402;-0.3300000035382269;0.8583742977254546
0.02;1.077964118463978;0.8466699872586668;0.7854701970510207;-0.37323175304565265;-0.3462437541855044;1.0698756102968863;10.00010251426837;0.8335673578289853;-0.4244549943566038;-0.4244549990717096;0.7924317478044769;-0.33000000350431463;0.8583743602919367
0.03;1.078514212007696;0.8417640857919374;0.7805207528376761;-0.3728926143325273;-0.3457527059277811;1.070433612548889;10.000102581735522;0.8335673729275509;-0.4244549943686854;-0.42445499906396866;0.7873097064370632;-0.3300000034680508;0.8536483203021222
0.04;1.078955345501458;0.8385153776492634;0.7771906293536633;-0.37249859286998;-0.3452461581651408;1.0708846152878895;10.000102653161795;0.8335673883804455;-0.4244549943814515;-0.42445499905607686;0.7837846632763231;-0.33000000342942787;0.8503985127543028
0.05;1.079284758231132;0.836475246722368;0.7750631476715929;-0.3721351231156612;-0.34480401790398874;1.0712226186258866;10.000102727712498;0.8335674042438458;-0.42445499439485396;-0.4244549990481486;0.7814796186801357;-0.33000000338845326;0.8482746803606918
0.06;1.0795175537841584;0.8352230769863048;0.7737360744334736;-0.37184315825611874;-0.3444592070242432;1.0714636225204777;10.000102804789258;0.8335674205262675;-0.42445499440881396;-0.42445499904027834;0.7800115730386997;-0.3300000033451361;0.846922589895467
0.07;1.0796775806361356;0.8344634875771937;0.7729178685368292;-0.37162626227790985;-0.344207267615614;1.0716286268289335;10.000102883937089;0.8335674371283953;-0.4244549944232847;-0.4244549990325182;0.7790895267537457;-0.33000000329949764;0.846073623933282
