time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;7.540e-04
0.000001000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.000e+00;8.332e-01;7.502e-04;1.000e+00;3.333e-02;0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999994000;4.002e-06;-2.815e-09;0.000e+00;-1.532e-09;0.000e+00;9.051e-04;-1.892e-09;8.287e-01;4.006e-06;2.173e-09;0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999995000;4.003e-06;-2.478e-09;-0.000e+00;-1.360e-09;0.000e+00;9.051e-04;-1.724e-09;8.287e-01;4.005e-06;2.309e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
29.999995000;4.003e-06;-2.307e-09;-0.000e+00;-1.267e-09;0.000e+00;9.051e-04;-1.643e-09;8.286e-01;4.005e-06;2.381e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000001000;4.003e-06;-1.538e-09;-0.000e+00;-7.122e-10;0.000e+00;9.051e-04;-1.337e-09;8.286e-01;4.005e-06;2.688e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000004000;4.003e-06;-1.416e-09;-0.000e+00;-5.877e-10;0.000e+00;9.042e-04;-1.300e-09;8.295e-01;4.005e-06;2.735e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000008000;4.003e-06;-1.310e-09;-0.000e+00;-4.590e-10;0.000e+00;9.042e-04;-1.271e-09;8.295e-01;4.004e-06;2.777e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
30.000013000;4.003e-06;-1.220e-09;-0.000e+00;-3.264e-10;0.000e+00;9.033e-04;-1.250e-09;8.303e-01;4.004e-06;2.813e-09;-0.000e+00;1.000e+01;8.333e-01;7.540e-04
