time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;5.592e-09;8.332e-01;1.018e-09;1.000e+00;8.332e-01;7.500e-04;1.000e+00;3.333e-02;-5.026e-09;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;-2.319e-09;8.332e-01;7.691e-09;1.000e+00;8.332e-01;7.499e-04;1.000e+00;3.333e-02;4.127e-09;1.000e+01;8.333e-01;7.540e-04
29.999994000;4.007e-06;2.969e-09;-5.000e-05;1.893e-09;7.642e-09;9.051e-04;-8.451e-10;8.287e-01;3.996e-06;-1.682e-09;-1.996e-06;1.000e+01;8.333e-01;7.540e-04
30.000103000;4.003e-06;1.660e-09;-4.999e-05;2.288e-10;3.675e-10;8.952e-04;2.944e-09;8.378e-01;3.997e-06;-4.407e-09;-1.996e-06;1.000e+01;8.333e-01;7.540e-04
30.006438000;4.001e-06;-2.002e-09;-5.001e-05;4.351e-09;-6.322e-09;6.280e-04;2.373e-09;5.573e-01;4.001e-06;-4.918e-09;-2.005e-06;1.000e+01;8.333e-01;7.540e-04
30.018797000;4.000e-06;1.952e-09;-5.000e-05;4.094e-09;-8.004e-09;9.422e-04;4.740e-09;8.756e-01;4.002e-06;5.304e-09;-1.999e-06;1.000e+01;8.333e-01;7.540e-04
30.022332000;3.994e-06;1.597e-09;-4.999e-05;9.553e-10;-1.980e-10;1.988e-04;1.053e-09;-9.983e-09;4.001e-06;-5.499e-09;-1.998e-06;1.000e+01;8.333e-01;7.540e-04
30.023277000;4.006e-06;5.139e-10;-5.000e-05;-1.919e-09;-5.364e-09;3.992e-06;-2.365e-09;7.029e-11;4.000e-06;5.271e-09;-1.996e-06;1.000e+01;8.333e-01;7.540e-04
30.023549000;3.996e-06;-6.605e-09;-5.000e-05;4.894e-09;-4.979e-09;4.001e-06;-1.721e-09;1.769e-09;3.992e-06;-3.853e-10;-1.996e-06;1.000e+01;8.333e-01;7.540e-04
30.023677000;3.993e-06;-5.617e-09;-5.000e-05;4.823e-09;-4.882e-09;4.000e-06;-2.945e-09;-3.665e-11;3.996e-06;-3.835e-11;-1.995e-06;1.000e+01;8.333e-01;7.540e-04
30.149994000;4.004e-06;-3.840e-10;-4.999e-05;-1.735e-09;8.896e-10;4.000e-06;2.656e-09;9.069e-12;3.997e-06;-2.090e-09;-1.998e-06;1.000e+01;8.333e-01;7.540e-04
30.150127000;9.952e-01;-4.112e-09;2.473e-09;-2.675e-09;-1.753e-09;9.952e-01;-2.798e-10;-9.891e-10;9.952e-01;-2.113e-09;-8.766e-10;1.000e+01;8.333e-01;7.540e-04
30.150191000;9.952e-01;-4.985e-09;-7.021e-10;-2.649e-09;-1.771e-09;9.952e-01;1.583e-10;-1.340e-09;9.952e-01;-2.822e-09;-1.102e-09;1.000e+01;8.333e-01;7.540e-04
30.150583000;9.952e-01;-2.002e-09;-4.602e-09;-6.346e-09;-2.512e-09;9.952e-01;2.660e-09;-5.315e-10;9.952e-01;-3.149e-09;-1.337e-09;1.000e+01;8.333e-01;7.540e-04
30.150606000;9.952e-01;-1.929e-09;-4.480e-09;-6.265e-09;-2.457e-09;9.952e-01;2.766e-09;-6.857e-10;9.952e-01;-3.153e-09;-1.353e-09;1.000e+01;8.333e-01;7.540e-04
30.151053000;9.952e-01;2.226e-09;-2.183e-09;-1.591e-09;1.182e-09;9.952e-01;2.883e-09;-2.493e-09;9.952e-01;-1.268e-09;-6.532e-10;1.000e+01;8.333e-01;7.540e-04
30.151053000;9.952e-01;2.193e-09;-2.179e-09;-1.338e-09;1.302e-09;9.952e-01;2.677e-09;-2.575e-09;9.952e-01;-1.315e-09;-6.493e-10;1.000e+01;8.333e-01;7.540e-04
30.151597000;1.094e+00;2.336e-01;1.069e+00;2.135e-01;9.769e-01;1.095e+00;2.133e-01;9.770e-01;1.094e+00;9.345e-03;4.277e-02;1.000e+01;8.333e-01;7.540e-04
