time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Wind_Turbine_GEN_ActivePowerControlledPu;Wind_Turbine_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;8.332e-01;0.000e+00;8.332e-01;0.000e+00;1.015e+00;8.312e-01;5.775e-02;8.438e-01;5.862e-02;1.000e+00;3.333e-02;0.000e+00;8.439e-01;5.863e-02
29.999994;1.000e+00;8.332e-01;-6.913e-08;8.332e-01;1.097e-07;1.015e+00;8.312e-01;5.768e-02;8.438e-01;5.861e-02;1.000e+00;3.333e-02;-1.015e-07;8.439e-01;5.863e-02
29.999995;1.143e-06;6.435e-08;-6.913e-08;2.641e-07;1.097e-07;7.150e-02;1.482e-01;8.198e-01;1.060e-02;5.861e-02;7.239e-07;1.259e-06;-1.015e-07;8.439e-01;5.863e-02
30.000000;1.143e-06;6.436e-08;-6.918e-08;2.640e-07;1.098e-07;7.146e-02;1.483e-01;8.195e-01;1.060e-02;5.857e-02;7.238e-07;1.260e-06;-1.016e-07;8.439e-01;5.863e-02
30.000453;1.144e-06;6.492e-08;-7.293e-08;2.604e-07;1.148e-07;6.861e-02;1.425e-01;7.868e-01;9.776e-03;5.399e-02;7.184e-07;1.275e-06;-1.052e-07;8.439e-01;5.863e-02
30.000828;1.145e-06;6.539e-08;-7.603e-08;2.574e-07;1.190e-07;6.636e-02;1.375e-01;7.611e-01;9.126e-03;5.051e-02;7.140e-07;1.288e-06;-1.081e-07;8.439e-01;5.863e-02
30.001003;1.146e-06;6.560e-08;-7.748e-08;2.560e-07;1.210e-07;6.534e-02;1.354e-01;7.494e-01;8.851e-03;4.896e-02;7.119e-07;1.294e-06;-1.095e-07;8.439e-01;5.863e-02
30.002000;1.147e-06;6.683e-08;-8.585e-08;2.476e-07;1.302e-07;6.008e-02;1.248e-01;6.890e-01;7.501e-03;4.139e-02;7.000e-07;1.324e-06;-1.166e-07;8.439e-01;5.863e-02
30.003013;1.148e-06;6.825e-08;-9.444e-08;2.389e-07;1.381e-07;5.599e-02;1.161e-01;6.419e-01;6.501e-03;3.594e-02;6.874e-07;1.352e-06;-1.232e-07;8.439e-01;5.863e-02
30.004020;1.146e-06;7.004e-08;-1.029e-07;2.302e-07;1.449e-07;5.365e-02;1.113e-01;6.154e-01;5.976e-03;3.301e-02;6.744e-07;1.376e-06;-1.293e-07;8.439e-01;5.863e-02
30.005031;1.141e-06;7.240e-08;-1.112e-07;2.216e-07;1.510e-07;5.286e-02;1.097e-01;6.063e-01;5.800e-03;3.204e-02;6.606e-07;1.397e-06;-1.351e-07;8.439e-01;5.863e-02
30.006010;1.135e-06;7.531e-08;-1.191e-07;2.133e-07;1.565e-07;5.318e-02;1.105e-01;6.098e-01;5.875e-03;3.242e-02;6.467e-07;1.414e-06;-1.407e-07;8.439e-01;5.863e-02
30.007081;1.124e-06;7.931e-08;-1.275e-07;2.040e-07;1.622e-07;5.441e-02;1.130e-01;6.240e-01;6.150e-03;3.395e-02;6.309e-07;1.428e-06;-1.470e-07;8.439e-01;5.863e-02
30.008015;1.112e-06;8.344e-08;-1.345e-07;1.959e-07;1.671e-07;5.599e-02;1.161e-01;6.421e-01;6.500e-03;3.595e-02;6.169e-07;1.437e-06;-1.528e-07;8.439e-01;5.863e-02
30.009112;1.095e-06;8.899e-08;-1.423e-07;1.863e-07;1.732e-07;5.822e-02;1.207e-01;6.677e-01;7.025e-03;3.887e-02;6.000e-07;1.443e-06;-1.602e-07;8.439e-01;5.863e-02
