time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;SyncCompensator_GEN_TSO_FrequencyHz;SyncCompensator_GEN_TSO_ActivePower;SyncCompensator_GEN_TSO_ReactivePower;Main_load_LOAD_TSO_ActivePower;Main_load_LOAD_TSO_ReactivePower;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;SyncCompensator_GEN_FrequencyHz;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;9.916e-01;6.141e-01;-1.598e-01;6.193e-01;-1.611e-01;9.436e-01;9.896e-01;6.377e-01;-1.202e-01;5.000e+01;5.255e-02;1.692e-01;6.667e-01;-2.526e-09;9.916e-01;5.527e-01;-1.438e-01;1.000e+01;5.000e+01;6.667e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.004159000;1.012e+00;6.427e-01;-9.881e-02;6.347e-01;-9.760e-02;9.828e-01;1.016e+00;6.495e-01;-5.663e-02;5.000e+01;2.401e-02;1.021e-01;6.667e-01;-2.245e-09;1.012e+00;5.784e-01;-8.893e-02;1.000e+01;5.000e+01;6.667e-01;1.044e+00;1.044e+00;4.999e+01;4.999e+01
0.004210000;1.013e+00;6.431e-01;-9.785e-02;6.349e-01;-9.662e-02;9.834e-01;1.016e+00;6.496e-01;-5.565e-02;4.999e+01;2.359e-02;1.011e-01;6.667e-01;-2.279e-09;1.013e+00;5.788e-01;-8.807e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;4.999e+01;4.999e+01
0.004402000;1.014e+00;6.446e-01;-9.425e-02;6.357e-01;-9.295e-02;9.857e-01;1.018e+00;6.502e-01;-5.199e-02;4.999e+01;2.203e-02;9.723e-02;6.667e-01;-1.643e-09;1.014e+00;5.802e-01;-8.483e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;4.999e+01;4.999e+01
0.006690000;1.028e+00;6.617e-01;-5.232e-02;6.438e-01;-5.091e-02;1.012e+00;1.035e+00;6.560e-01;-1.015e-02;4.999e+01;4.962e-03;5.318e-02;6.667e-01;5.470e-09;1.028e+00;5.955e-01;-4.709e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.002e+01;5.002e+01
0.006805000;1.028e+00;6.625e-01;-5.038e-02;6.442e-01;-4.899e-02;1.013e+00;1.036e+00;6.562e-01;-8.246e-03;4.999e+01;4.213e-03;5.117e-02;6.667e-01;5.611e-09;1.028e+00;5.962e-01;-4.534e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.002e+01;5.002e+01
0.008238000;1.036e+00;6.708e-01;-2.798e-02;6.478e-01;-2.702e-02;1.027e+00;1.045e+00;6.586e-01;1.356e-02;4.999e+01;-4.176e-03;2.822e-02;6.667e-01;2.054e-09;1.036e+00;6.038e-01;-2.518e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.005e+01;5.005e+01
0.008320000;1.036e+00;6.713e-01;-2.680e-02;6.480e-01;-2.587e-02;1.028e+00;1.046e+00;6.588e-01;1.470e-02;4.999e+01;-4.600e-03;2.703e-02;6.667e-01;2.107e-09;1.036e+00;6.041e-01;-2.412e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.005e+01;5.005e+01
0.008448000;1.037e+00;6.719e-01;-2.497e-02;6.482e-01;-2.409e-02;1.029e+00;1.047e+00;6.589e-01;1.646e-02;4.999e+01;-5.254e-03;2.517e-02;6.667e-01;3.018e-09;1.037e+00;6.047e-01;-2.248e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.006e+01;5.006e+01
0.008969000;1.039e+00;6.744e-01;-1.779e-02;6.492e-01;-1.712e-02;1.034e+00;1.049e+00;6.596e-01;2.337e-02;4.999e+01;-7.777e-03;1.790e-02;6.667e-01;5.526e-09;1.039e+00;6.070e-01;-1.601e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.007e+01;5.007e+01
