time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;6.975e-10;7.979e-01;-1.799e-08;1.044e+00;7.500e-01;1.333e-08;1.000e+01;8.335e-01;1.556e-02;1.556e-02
29.999994000;1.044e+00;8.333e-01;-5.105e-09;7.979e-01;-3.118e-10;1.044e+00;7.500e-01;-4.004e-08;1.000e+01;8.335e-01;1.556e-02;1.556e-02
29.999994000;2.300e-05;1.224e-05;-6.111e-05;6.853e-09;5.031e-10;2.297e-05;1.101e-05;-5.504e-05;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.105463000;1.202e-05;-3.325e-06;-3.223e-05;1.648e-08;-1.731e-08;1.199e-05;-3.017e-06;-2.899e-05;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.110863000;1.201e-05;-7.774e-06;-3.222e-05;2.415e-08;-2.229e-08;1.199e-05;-7.015e-06;-2.899e-05;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.149994000;2.402e-05;-3.567e-05;-5.222e-05;-4.419e-09;-5.409e-09;2.401e-05;-3.234e-05;-4.697e-05;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.149995000;1.064e+00;-1.298e+00;4.775e-01;-1.220e+00;4.488e-01;1.064e+00;-1.168e+00;4.298e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.150147000;1.145e+00;-1.311e+00;7.009e-01;-1.145e+00;6.123e-01;1.145e+00;-1.180e+00;6.308e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.150161000;1.152e+00;-1.311e+00;7.231e-01;-1.137e+00;6.275e-01;1.152e+00;-1.179e+00;6.508e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.151513000;1.581e+00;5.499e-02;2.050e+00;3.479e-02;1.297e+00;1.581e+00;4.948e-02;1.845e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.151545000;1.582e+00;9.023e-02;2.050e+00;5.704e-02;1.296e+00;1.582e+00;8.119e-02;1.845e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.151577000;1.583e+00;1.245e-01;2.049e+00;7.868e-02;1.295e+00;1.583e+00;1.121e-01;1.844e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.152377000;1.559e+00;6.980e-01;1.898e+00;4.479e-01;1.218e+00;1.559e+00;6.282e-01;1.708e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.152665000;1.545e+00;8.056e-01;1.836e+00;5.213e-01;1.188e+00;1.545e+00;7.251e-01;1.652e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.152729000;1.543e+00;8.250e-01;1.824e+00;5.348e-01;1.182e+00;1.543e+00;7.425e-01;1.641e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.153645000;1.513e+00;9.909e-01;1.695e+00;6.547e-01;1.120e+00;1.513e+00;8.918e-01;1.526e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.153933000;1.508e+00;1.017e+00;1.671e+00;6.743e-01;1.109e+00;1.508e+00;9.151e-01;1.504e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.154163000;1.504e+00;1.033e+00;1.656e+00;6.864e-01;1.101e+00;1.504e+00;9.293e-01;1.491e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.154336000;1.502e+00;1.042e+00;1.647e+00;6.938e-01;1.097e+00;1.502e+00;9.379e-01;1.482e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.156538000;1.479e+00;1.100e+00;1.550e+00;7.438e-01;1.048e+00;1.479e+00;9.902e-01;1.395e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.157956000;1.459e+00;1.109e+00;1.460e+00;7.597e-01;1.001e+00;1.459e+00;9.977e-01;1.314e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.158340000;1.453e+00;1.109e+00;1.432e+00;7.635e-01;9.856e-01;1.453e+00;9.981e-01;1.288e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.158468000;1.450e+00;1.109e+00;1.422e+00;7.647e-01;9.803e-01;1.450e+00;9.982e-01;1.280e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.162436000;1.370e+00;1.073e+00;1.080e+00;7.834e-01;7.881e-01;1.370e+00;9.660e-01;9.718e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.167805000;1.268e+00;9.807e-01;6.830e-01;7.733e-01;5.385e-01;1.268e+00;8.826e-01;6.147e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.168317000;1.260e+00;9.719e-01;6.519e-01;7.715e-01;5.175e-01;1.260e+00;8.747e-01;5.867e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.175229000;1.162e+00;8.686e-01;3.197e-01;7.477e-01;2.752e-01;1.162e+00;7.818e-01;2.878e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.175485000;1.159e+00;8.655e-01;3.102e-01;7.469e-01;2.677e-01;1.159e+00;7.789e-01;2.792e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
30.178557000;1.126e+00;8.318e-01;2.093e-01;7.389e-01;1.860e-01;1.126e+00;7.486e-01;1.884e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02
