time;InternalNode1_BUS_Voltage;InternalNode1_BUS_ActivePower;InternalNode1_BUS_ReactivePower;InternalNode1_BUS_ActiveCurrent;InternalNode1_BUS_ReactiveCurrent;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Wind_Turbine_GEN_ActivePowerControlledPu;Wind_Turbine_GEN_ReactivePowerControlledPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000;1.000e+00;8.332e-01;-0.000e+00;8.332e-01;0.000e+00;1.014e+00;8.322e-01;4.111e-02;8.437e-01;4.165e-02;1.000e+00;3.333e-02;0.000e+00;8.437e-01;4.166e-02
19.999996;1.000e+00;8.332e-01;-7.316e-07;8.332e-01;9.552e-08;1.014e+00;8.322e-01;4.111e-02;8.437e-01;4.165e-02;1.000e+00;3.333e-02;-6.051e-08;8.437e-01;4.166e-02
19.999997;1.000e+00;8.332e-01;-7.316e-07;8.332e-01;9.552e-08;1.014e+00;8.322e-01;4.111e-02;8.437e-01;4.165e-02;1.000e+00;3.333e-02;-6.051e-08;8.437e-01;1.943e-02
19.999998;1.000e+00;8.332e-01;-7.316e-07;8.332e-01;9.551e-08;1.014e+00;8.322e-01;4.111e-02;8.437e-01;4.165e-02;1.000e+00;3.333e-02;-6.050e-08;8.437e-01;1.943e-02
19.999999;1.000e+00;8.332e-01;-7.316e-07;8.333e-01;9.551e-08;1.014e+00;8.322e-01;4.111e-02;8.437e-01;4.165e-02;1.000e+00;3.333e-02;-6.049e-08;8.437e-01;1.943e-02
20.000000;1.000e+00;8.332e-01;-7.316e-07;8.333e-01;9.550e-08;1.014e+00;8.322e-01;4.109e-02;8.437e-01;4.165e-02;1.000e+00;3.333e-02;-6.048e-08;8.437e-01;1.943e-02
20.000028;1.000e+00;8.332e-01;-2.573e-05;8.333e-01;-2.490e-05;1.014e+00;8.322e-01;4.106e-02;8.437e-01;4.163e-02;1.000e+00;3.333e-02;-1.060e-06;8.437e-01;1.943e-02
20.000060;1.000e+00;8.332e-01;-7.573e-05;8.332e-01;-7.490e-05;1.014e+00;8.322e-01;4.104e-02;8.437e-01;4.160e-02;1.000e+00;3.333e-02;-3.060e-06;8.437e-01;1.943e-02
20.000124;1.000e+00;8.332e-01;-1.507e-04;8.332e-01;-1.499e-04;1.014e+00;8.322e-01;4.096e-02;8.436e-01;4.152e-02;1.000e+00;3.333e-02;-6.060e-06;8.437e-01;1.943e-02
20.000252;9.999e-01;8.332e-01;-2.757e-04;8.332e-01;-2.749e-04;1.014e+00;8.322e-01;4.082e-02;8.436e-01;4.138e-02;9.999e-01;3.333e-02;-1.106e-05;8.437e-01;1.943e-02
