time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;-2.926e-09;8.332e-01;8.046e-10;1.000e+00;8.333e-01;7.500e-04;1.000e+00;3.333e-02;1.269e-09;1.000e+01;8.333e-01;7.540e-04
29.999994000;1.000e+00;8.332e-01;2.738e-09;8.332e-01;-5.340e-10;1.000e+00;8.333e-01;7.500e-04;1.000e+00;3.333e-02;-2.119e-09;1.000e+01;8.333e-01;7.540e-04
29.999994000;4.533e-01;1.311e-01;-2.466e+00;2.893e-01;-5.439e+00;4.534e-01;8.333e-01;1.654e-03;4.533e-01;5.246e-03;-9.864e-02;1.000e+01;8.333e-01;7.540e-04
30.000250000;4.533e-01;1.312e-01;-2.466e+00;2.894e-01;-5.439e+00;4.534e-01;8.333e-01;1.654e-03;4.533e-01;5.248e-03;-9.864e-02;1.000e+01;8.333e-01;7.540e-04
30.000985000;4.534e-01;1.316e-01;-2.466e+00;2.904e-01;-5.439e+00;4.534e-01;8.343e-01;2.702e-03;4.534e-01;5.266e-03;-9.864e-02;1.000e+01;8.333e-01;7.540e-04
30.001721000;4.536e-01;1.326e-01;-2.466e+00;2.923e-01;-5.437e+00;4.536e-01;8.365e-01;6.504e-03;4.536e-01;5.304e-03;-9.865e-02;1.000e+01;8.333e-01;7.540e-04
30.002681000;4.540e-01;1.346e-01;-2.467e+00;2.964e-01;-5.433e+00;4.541e-01;8.411e-01;1.663e-02;4.540e-01;5.383e-03;-9.867e-02;1.000e+01;8.333e-01;7.540e-04
30.002937000;4.542e-01;1.353e-01;-2.467e+00;2.978e-01;-5.431e+00;4.542e-01;8.427e-01;2.020e-02;4.542e-01;5.410e-03;-9.867e-02;1.000e+01;8.333e-01;7.540e-04
30.003001000;4.542e-01;1.354e-01;-2.467e+00;2.981e-01;-5.431e+00;4.543e-01;8.431e-01;2.119e-02;4.542e-01;5.417e-03;-9.867e-02;1.000e+01;8.333e-01;7.540e-04
30.003309000;4.545e-01;1.363e-01;-2.467e+00;2.999e-01;-5.428e+00;4.545e-01;8.451e-01;2.602e-02;4.545e-01;5.452e-03;-9.868e-02;1.000e+01;8.333e-01;7.540e-04
30.003424000;4.545e-01;1.367e-01;-2.467e+00;3.006e-01;-5.428e+00;4.546e-01;8.460e-01;2.794e-02;4.545e-01;5.466e-03;-9.868e-02;1.000e+01;8.333e-01;7.540e-04
30.003539000;4.546e-01;1.370e-01;-2.467e+00;3.014e-01;-5.427e+00;4.547e-01;8.468e-01;2.991e-02;4.546e-01;5.481e-03;-9.869e-02;1.000e+01;8.333e-01;7.540e-04
30.005728000;4.568e-01;1.457e-01;-2.469e+00;3.189e-01;-5.405e+00;4.569e-01;8.668e-01;7.758e-02;4.568e-01;5.827e-03;-9.877e-02;1.000e+01;8.333e-01;7.540e-04
30.005909000;4.570e-01;1.464e-01;-2.469e+00;3.204e-01;-5.403e+00;4.571e-01;8.686e-01;8.225e-02;4.570e-01;5.858e-03;-9.878e-02;1.000e+01;8.333e-01;7.540e-04
30.006005000;4.571e-01;1.469e-01;-2.470e+00;3.212e-01;-5.402e+00;4.573e-01;8.696e-01;8.474e-02;4.571e-01;5.874e-03;-9.878e-02;1.000e+01;8.333e-01;7.540e-04
30.008155000;4.599e-01;1.560e-01;-2.472e+00;3.391e-01;-5.375e+00;4.601e-01;8.906e-01;1.455e-01;4.599e-01;6.239e-03;-9.888e-02;1.000e+01;8.333e-01;7.540e-04
30.009192000;4.614e-01;1.593e-01;-2.473e+00;3.452e-01;-5.360e+00;4.616e-01;8.984e-01;1.771e-01;4.614e-01;6.371e-03;-9.892e-02;1.000e+01;8.333e-01;7.540e-04
30.009307000;4.615e-01;1.596e-01;-2.473e+00;3.458e-01;-5.359e+00;4.617e-01;8.991e-01;1.806e-01;4.615e-01;6.383e-03;-9.893e-02;1.000e+01;8.333e-01;7.540e-04
30.009423000;4.617e-01;1.599e-01;-2.473e+00;3.462e-01;-5.357e+00;4.619e-01;8.998e-01;1.842e-01;4.617e-01;6.394e-03;-9.893e-02;1.000e+01;8.333e-01;7.540e-04
30.010556000;4.633e-01;1.620e-01;-2.475e+00;3.497e-01;-5.341e+00;4.636e-01;9.051e-01;2.199e-01;4.633e-01;6.480e-03;-9.898e-02;1.000e+01;8.333e-01;7.540e-04
30.010826000;4.637e-01;1.623e-01;-2.475e+00;3.501e-01;-5.337e+00;4.640e-01;9.059e-01;2.285e-01;4.637e-01;6.493e-03;-9.899e-02;1.000e+01;8.333e-01;7.540e-04
30.010954000;4.639e-01;1.625e-01;-2.475e+00;3.502e-01;-5.335e+00;4.642e-01;9.063e-01;2.326e-01;4.639e-01;6.498e-03;-9.900e-02;1.000e+01;8.333e-01;7.540e-04
30.011440000;4.646e-01;1.627e-01;-2.475e+00;3.502e-01;-5.328e+00;4.649e-01;9.072e-01;2.483e-01;4.646e-01;6.509e-03;-9.902e-02;1.000e+01;8.333e-01;7.540e-04
30.012132000;4.656e-01;1.627e-01;-2.476e+00;3.494e-01;-5.318e+00;4.660e-01;9.075e-01;2.710e-01;4.656e-01;6.507e-03;-9.905e-02;1.000e+01;8.333e-01;7.540e-04
30.012362000;4.660e-01;1.626e-01;-2.476e+00;3.488e-01;-5.314e+00;4.663e-01;9.073e-01;2.786e-01;4.660e-01;6.502e-03;-9.906e-02;1.000e+01;8.333e-01;7.540e-04
30.013053000;4.670e-01;1.618e-01;-2.477e+00;3.464e-01;-5.304e+00;4.674e-01;9.062e-01;3.017e-01;4.670e-01;6.471e-03;-9.908e-02;1.000e+01;8.333e-01;7.540e-04
30.013514000;4.677e-01;1.610e-01;-2.478e+00;3.442e-01;-5.297e+00;4.681e-01;9.048e-01;3.172e-01;4.677e-01;6.440e-03;-9.910e-02;1.000e+01;8.333e-01;7.540e-04
30.013975000;4.684e-01;1.600e-01;-2.478e+00;3.416e-01;-5.290e+00;4.688e-01;9.029e-01;3.327e-01;4.684e-01;6.400e-03;-9.912e-02;1.000e+01;8.333e-01;7.540e-04
30.014897000;4.699e-01;1.573e-01;-2.479e+00;3.349e-01;-5.276e+00;4.703e-01;8.979e-01;3.639e-01;4.699e-01;6.294e-03;-9.915e-02;1.000e+01;8.333e-01;7.540e-04
30.015127000;4.702e-01;1.565e-01;-2.479e+00;3.329e-01;-5.272e+00;4.706e-01;8.964e-01;3.717e-01;4.702e-01;6.262e-03;-9.916e-02;1.000e+01;8.333e-01;7.540e-04
