time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-1.396e-09;7.979e-01;-5.031e-10;1.051e+00;1.044e+00;7.500e-01;-3.879e-09;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
19.989997000;1.045e+00;8.335e-01;-4.782e-09;7.979e-01;-2.260e-09;1.052e+00;1.045e+00;7.501e-01;-4.663e-10;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
19.989998000;1.045e+00;8.334e-01;-4.876e-09;7.979e-01;-2.167e-09;1.052e+00;1.045e+00;7.501e-01;-6.226e-10;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
19.990028000;1.043e+00;8.322e-01;-5.133e-09;7.979e-01;-1.440e-09;1.050e+00;1.043e+00;7.490e-01;-1.350e-09;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
19.990393000;1.024e+00;8.170e-01;-4.668e-05;7.979e-01;-4.557e-05;1.031e+00;1.024e+00;7.353e-01;-4.200e-05;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.005e+01;5.005e+01
19.991160000;9.839e-01;7.851e-01;-2.744e-04;7.979e-01;-2.789e-04;9.908e-01;9.839e-01;7.066e-01;-2.470e-04;1.000e+01;8.083e-01;-2.069e-02;1.051e+00;5.011e+01;5.011e+01
19.992795000;8.986e-01;7.176e-01;-5.156e-04;7.986e-01;-5.737e-04;9.052e-01;8.986e-01;6.459e-01;-4.640e-04;1.000e+01;8.089e-01;-2.157e-02;1.051e+00;5.017e+01;5.017e+01
19.994195000;8.256e-01;6.606e-01;5.443e-05;8.001e-01;6.600e-05;8.323e-01;8.256e-01;5.945e-01;4.900e-05;1.000e+01;8.105e-01;-2.354e-02;1.051e+00;5.020e+01;5.020e+01
19.994608000;8.040e-01;6.439e-01;3.800e-04;8.008e-01;4.727e-04;8.109e-01;8.040e-01;5.795e-01;3.420e-04;1.000e+01;8.111e-01;-2.440e-02;1.051e+00;5.021e+01;5.021e+01
19.997223000;6.676e-01;5.399e-01;4.116e-03;8.087e-01;6.165e-03;6.756e-01;6.676e-01;4.859e-01;3.704e-03;1.000e+01;8.187e-01;-3.366e-02;1.051e+00;5.030e+01;5.030e+01
19.997735000;6.409e-01;5.198e-01;5.656e-03;8.111e-01;8.825e-03;6.494e-01;6.409e-01;4.678e-01;5.090e-03;1.000e+01;8.210e-01;-3.720e-02;1.051e+00;5.032e+01;5.032e+01
20.000508000;4.962e-01;4.121e-01;1.915e-02;8.305e-01;3.860e-02;5.097e-01;4.962e-01;3.709e-01;1.724e-02;1.000e+01;8.391e-01;-7.330e-02;1.051e+00;5.049e+01;5.049e+01
20.001532000;4.428e-01;3.724e-01;2.484e-02;8.410e-01;5.611e-02;4.585e-01;4.428e-01;3.352e-01;2.236e-02;1.000e+01;8.487e-01;-9.408e-02;1.051e+00;5.058e+01;5.058e+01
20.004012000;3.134e-01;2.723e-01;3.536e-02;8.689e-01;1.128e-01;3.341e-01;3.134e-01;2.451e-01;3.182e-02;1.000e+01;8.725e-01;-1.617e-01;1.051e+00;5.089e+01;5.089e+01
20.005292000;2.466e-01;2.164e-01;3.702e-02;8.773e-01;1.501e-01;2.691e-01;2.466e-01;1.947e-01;3.332e-02;1.000e+01;8.775e-01;-2.064e-01;1.051e+00;5.112e+01;5.112e+01
20.006316000;1.932e-01;1.695e-01;3.555e-02;8.773e-01;1.840e-01;2.163e-01;1.932e-01;1.525e-01;3.199e-02;1.000e+01;8.736e-01;-2.471e-01;1.051e+00;5.134e+01;5.134e+01
20.009996000;1.000e-03;8.711e-04;2.878e-04;8.711e-01;2.878e-01;2.948e-02;1.000e-03;7.840e-04;2.590e-04;1.000e+01;8.432e-01;-3.904e-01;1.051e+00;5.316e+01;5.316e+01
20.010000000;1.000e-03;8.711e-04;2.878e-04;8.711e-01;2.878e-01;2.948e-02;1.000e-03;7.840e-04;2.590e-04;1.000e+01;8.432e-01;-3.906e-01;1.051e+00;5.316e+01;5.316e+01
20.012426000;1.000e-03;8.800e-04;3.278e-04;8.800e-01;3.278e-01;3.037e-02;1.000e-03;7.920e-04;2.950e-04;1.000e+01;8.260e-01;-4.716e-01;1.051e+00;5.313e+01;5.313e+01
20.013962000;1.000e-03;8.889e-04;3.478e-04;8.889e-01;3.478e-01;3.099e-02;1.000e-03;8.000e-04;3.130e-04;1.000e+01;8.162e-01;-5.181e-01;1.051e+00;5.312e+01;5.312e+01
20.018058000;1.000e-03;9.211e-04;3.844e-04;9.211e-01;3.844e-01;3.272e-02;1.000e-03;8.290e-04;3.460e-04;1.000e+01;7.933e-01;-6.259e-01;1.051e+00;5.310e+01;5.310e+01
