time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.483e-01;4.395e-01;-4.670e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.990002000;9.500e-01;4.166e-01;-4.445e-01;4.385e-01;-4.679e-01;9.483e-01;4.395e-01;-4.670e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.990010000;9.500e-01;4.167e-01;-4.445e-01;4.386e-01;-4.679e-01;9.484e-01;4.395e-01;-4.670e-01;9.500e-01;1.667e-02;-1.778e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.990026000;9.501e-01;4.167e-01;-4.446e-01;4.385e-01;-4.679e-01;9.484e-01;4.395e-01;-4.670e-01;9.501e-01;1.667e-02;-1.778e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.990058000;9.503e-01;4.168e-01;-4.446e-01;4.386e-01;-4.679e-01;9.486e-01;4.395e-01;-4.670e-01;9.503e-01;1.667e-02;-1.779e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.990378000;9.519e-01;4.174e-01;-4.454e-01;4.385e-01;-4.679e-01;9.502e-01;4.395e-01;-4.670e-01;9.519e-01;1.670e-02;-1.782e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.991325000;9.566e-01;4.195e-01;-4.476e-01;4.385e-01;-4.679e-01;9.549e-01;4.394e-01;-4.670e-01;9.566e-01;1.678e-02;-1.790e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.991556000;9.578e-01;4.199e-01;-4.481e-01;4.385e-01;-4.678e-01;9.561e-01;4.394e-01;-4.670e-01;9.578e-01;1.680e-02;-1.792e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.995280000;9.765e-01;4.279e-01;-4.561e-01;4.382e-01;-4.671e-01;9.748e-01;4.392e-01;-4.662e-01;9.765e-01;1.712e-02;-1.824e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.997840000;9.894e-01;4.331e-01;-4.615e-01;4.378e-01;-4.665e-01;9.877e-01;4.387e-01;-4.656e-01;9.894e-01;1.733e-02;-1.846e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
29.998352000;9.920e-01;4.341e-01;-4.627e-01;4.376e-01;-4.664e-01;9.903e-01;4.386e-01;-4.656e-01;9.920e-01;1.736e-02;-1.851e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.000506000;1.003e+00;4.382e-01;-4.674e-01;4.370e-01;-4.662e-01;1.001e+00;4.379e-01;-4.653e-01;1.003e+00;1.753e-02;-1.870e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.001018000;1.005e+00;4.391e-01;-4.686e-01;4.368e-01;-4.661e-01;1.004e+00;4.377e-01;-4.653e-01;1.005e+00;1.756e-02;-1.874e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.002554000;1.013e+00;4.418e-01;-4.722e-01;4.361e-01;-4.661e-01;1.011e+00;4.370e-01;-4.653e-01;1.013e+00;1.767e-02;-1.889e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.003066000;1.016e+00;4.426e-01;-4.734e-01;4.358e-01;-4.662e-01;1.014e+00;4.367e-01;-4.653e-01;1.016e+00;1.770e-02;-1.894e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.004602000;1.023e+00;4.451e-01;-4.772e-01;4.350e-01;-4.663e-01;1.022e+00;4.359e-01;-4.655e-01;1.023e+00;1.780e-02;-1.909e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.006502000;1.033e+00;4.479e-01;-4.820e-01;4.337e-01;-4.668e-01;1.031e+00;4.346e-01;-4.660e-01;1.033e+00;1.792e-02;-1.928e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.009958000;1.050e+00;4.526e-01;-4.914e-01;4.311e-01;-4.680e-01;1.048e+00;4.319e-01;-4.673e-01;1.050e+00;1.810e-02;-1.965e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.009994000;1.050e+00;4.526e-01;-4.915e-01;4.310e-01;-4.680e-01;1.048e+00;4.319e-01;-4.673e-01;1.050e+00;1.810e-02;-1.966e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.010058000;1.050e+00;4.526e-01;-4.915e-01;4.310e-01;-4.681e-01;1.048e+00;4.318e-01;-4.673e-01;1.050e+00;1.810e-02;-1.966e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.010634000;1.050e+00;4.521e-01;-4.918e-01;4.305e-01;-4.683e-01;1.048e+00;4.314e-01;-4.676e-01;1.050e+00;1.808e-02;-1.967e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.011095000;1.050e+00;4.516e-01;-4.920e-01;4.301e-01;-4.686e-01;1.048e+00;4.310e-01;-4.678e-01;1.050e+00;1.807e-02;-1.968e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.011325000;1.050e+00;4.514e-01;-4.922e-01;4.299e-01;-4.687e-01;1.048e+00;4.308e-01;-4.680e-01;1.050e+00;1.806e-02;-1.969e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.014090000;1.050e+00;4.486e-01;-4.943e-01;4.273e-01;-4.709e-01;1.048e+00;4.282e-01;-4.701e-01;1.050e+00;1.794e-02;-1.977e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.021463000;1.049e+00;4.409e-01;-5.013e-01;4.203e-01;-4.779e-01;1.047e+00;4.211e-01;-4.771e-01;1.049e+00;1.763e-02;-2.005e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.022292000;1.049e+00;4.400e-01;-5.021e-01;4.195e-01;-4.787e-01;1.047e+00;4.204e-01;-4.779e-01;1.049e+00;1.760e-02;-2.008e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.023122000;1.049e+00;4.392e-01;-5.028e-01;4.188e-01;-4.794e-01;1.047e+00;4.197e-01;-4.786e-01;1.049e+00;1.757e-02;-2.011e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.023951000;1.049e+00;4.385e-01;-5.035e-01;4.181e-01;-4.801e-01;1.047e+00;4.189e-01;-4.793e-01;1.049e+00;1.754e-02;-2.014e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.024781000;1.049e+00;4.377e-01;-5.042e-01;4.174e-01;-4.808e-01;1.047e+00;4.182e-01;-4.800e-01;1.049e+00;1.751e-02;-2.017e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.025610000;1.049e+00;4.370e-01;-5.049e-01;4.167e-01;-4.814e-01;1.047e+00;4.176e-01;-4.807e-01;1.049e+00;1.748e-02;-2.019e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.026439000;1.049e+00;4.362e-01;-5.055e-01;4.160e-01;-4.821e-01;1.047e+00;4.169e-01;-4.813e-01;1.049e+00;1.745e-02;-2.022e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.027269000;1.048e+00;4.355e-01;-5.061e-01;4.154e-01;-4.827e-01;1.047e+00;4.162e-01;-4.819e-01;1.048e+00;1.742e-02;-2.024e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.028098000;1.048e+00;4.349e-01;-5.066e-01;4.148e-01;-4.832e-01;1.047e+00;4.156e-01;-4.825e-01;1.048e+00;1.739e-02;-2.027e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.029757000;1.048e+00;4.335e-01;-5.077e-01;4.135e-01;-4.843e-01;1.047e+00;4.144e-01;-4.836e-01;1.048e+00;1.734e-02;-2.031e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
30.030587000;1.048e+00;4.329e-01;-5.082e-01;4.130e-01;-4.848e-01;1.046e+00;4.138e-01;-4.841e-01;1.048e+00;1.732e-02;-2.033e-02;5.000e+01;1.000e+01;4.168e-01;-4.429e-01;5.000e+01
