time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;-1.032e-08;8.332e-01;-5.087e-09;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;2.819e-09;1.000e+01;8.335e-01
19.999997000;1.000e+00;8.332e-01;-3.785e-09;8.332e-01;-2.603e-09;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;2.264e-10;1.000e+01;8.335e-01
20.000000000;1.000e+00;8.332e-01;-3.672e-09;8.332e-01;-2.864e-09;1.000e+00;8.332e-01;2.799e-03;1.000e+00;3.333e-02;6.418e-10;1.000e+01;8.335e-01
20.000012000;1.000e+00;8.332e-01;5.000e-05;8.332e-01;5.000e-05;1.000e+00;8.332e-01;2.824e-03;1.000e+00;3.333e-02;2.001e-06;1.000e+01;8.335e-01
20.000124000;1.000e+00;8.334e-01;3.000e-04;8.333e-01;3.000e-04;1.000e+00;8.332e-01;3.099e-03;1.000e+00;3.333e-02;1.200e-05;1.000e+01;8.335e-01
20.000252000;1.000e+00;8.334e-01;6.250e-04;8.332e-01;6.249e-04;1.001e+00;8.333e-01;3.398e-03;1.000e+00;3.334e-02;2.500e-05;1.000e+01;8.335e-01
20.000508000;1.000e+00;8.336e-01;1.250e-03;8.332e-01;1.249e-03;1.001e+00;8.333e-01;4.022e-03;1.000e+00;3.334e-02;5.000e-05;1.000e+01;8.335e-01
20.000764000;1.001e+00;8.338e-01;1.850e-03;8.333e-01;1.849e-03;1.001e+00;8.333e-01;4.620e-03;1.001e+00;3.335e-02;7.400e-05;1.000e+01;8.335e-01
20.001276000;1.001e+00;8.341e-01;3.050e-03;8.333e-01;3.047e-03;1.001e+00;8.332e-01;5.842e-03;1.001e+00;3.336e-02;1.220e-04;1.000e+01;8.335e-01
20.001737000;1.001e+00;8.344e-01;4.125e-03;8.333e-01;4.119e-03;1.002e+00;8.333e-01;6.888e-03;1.001e+00;3.338e-02;1.650e-04;1.000e+01;8.335e-01
20.003580000;1.003e+00;8.356e-01;8.150e-03;8.333e-01;8.127e-03;1.003e+00;8.332e-01;1.089e-02;1.003e+00;3.342e-02;3.260e-04;1.000e+01;8.335e-01
20.005423000;1.004e+00;8.366e-01;1.183e-02;8.332e-01;1.178e-02;1.004e+00;8.332e-01;1.454e-02;1.004e+00;3.346e-02;4.730e-04;1.000e+01;8.335e-01
20.006345000;1.005e+00;8.370e-01;1.353e-02;8.332e-01;1.346e-02;1.005e+00;8.331e-01;1.622e-02;1.005e+00;3.348e-02;5.410e-04;1.000e+01;8.335e-01
20.007266000;1.005e+00;8.374e-01;1.512e-02;8.331e-01;1.505e-02;1.006e+00;8.331e-01;1.780e-02;1.005e+00;3.350e-02;6.050e-04;1.000e+01;8.335e-01
