time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.332e-01;-0.000e+00;7.978e-01;-0.000e+00;1.044e+00;1.044e+00;3.333e-02;-0.000e+00;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.978e-01;-6.620e-04
29.999994000;1.044e+00;8.332e-01;-0.000e+00;7.978e-01;-0.000e+00;1.044e+00;1.044e+00;3.333e-02;-0.000e+00;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.978e-01;-6.620e-04
29.999994000;2.999e-06;-2.890e-09;-2.500e-05;-1.905e-09;0.000e+00;8.670e-04;3.000e-06;2.010e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.978e-01;-6.620e-04
30.000002000;3.000e-06;-2.992e-09;-2.500e-05;-1.803e-09;0.000e+00;8.670e-04;3.000e-06;2.248e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.978e-01;-6.620e-04
30.000122000;3.000e-06;-3.288e-09;-2.500e-05;-1.832e-09;0.000e+00;8.670e-04;3.000e-06;2.605e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.978e-01;-7.050e-04
30.000775000;2.999e-06;-3.603e-09;-2.500e-05;-2.017e-09;0.000e+00;8.680e-04;3.001e-06;3.526e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.990e-01;-2.190e-03
30.001519000;2.998e-06;-1.788e-09;-2.500e-05;-2.336e-09;0.000e+00;8.720e-04;3.003e-06;6.610e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.025e-01;-7.810e-03
30.003183000;3.000e-06;-1.720e-09;-2.500e-05;-9.940e-10;0.000e+00;8.900e-04;3.003e-06;2.687e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.176e-01;-4.463e-02
30.004048000;4.000e-06;2.203e-09;-2.500e-05;-1.381e-09;0.000e+00;9.020e-04;4.002e-06;-1.734e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.260e-01;-7.503e-02
30.004370000;4.000e-06;2.169e-09;-2.500e-05;-8.109e-10;0.000e+00;9.050e-04;4.002e-06;-1.955e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.280e-01;-8.804e-02
30.004785000;4.000e-06;1.855e-09;-2.500e-05;7.598e-11;0.000e+00;9.080e-04;4.003e-06;-2.252e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.289e-01;-1.060e-01
30.005298000;4.000e-06;1.192e-09;-2.500e-05;1.273e-09;0.000e+00;9.100e-04;4.004e-06;-2.125e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.272e-01;-1.300e-01
30.009621000;4.001e-06;-9.366e-10;-2.500e-05;4.723e-09;0.000e+00;9.380e-04;4.003e-06;6.262e-10;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;8.010e-01;-3.185e-01
30.012549000;4.001e-06;-3.306e-09;-2.500e-05;4.589e-09;0.000e+00;9.730e-04;3.999e-06;3.129e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.863e-01;-4.250e-01
30.013240000;4.000e-06;-3.157e-09;-2.500e-05;4.321e-09;0.000e+00;9.820e-04;3.998e-06;3.306e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.831e-01;-4.479e-01
30.017848000;4.000e-06;-1.659e-09;-2.500e-05;-2.521e-10;0.000e+00;1.046e-03;3.996e-06;1.910e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.645e-01;-5.821e-01
30.020152000;4.000e-06;-3.216e-09;-2.500e-05;-1.696e-09;0.000e+00;1.078e-03;3.994e-06;1.298e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.567e-01;-6.384e-01
30.021304000;3.999e-06;-5.096e-09;-2.500e-05;-1.145e-09;0.000e+00;1.094e-03;3.993e-06;1.487e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.532e-01;-6.643e-01
30.023147000;3.998e-06;-8.130e-09;-2.500e-05;5.498e-10;0.000e+00;1.118e-03;3.991e-06;2.086e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.478e-01;-7.026e-01
30.025912000;3.997e-06;-9.028e-09;-2.500e-05;1.922e-09;0.000e+00;1.151e-03;3.990e-06;2.805e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.407e-01;-7.540e-01
30.028447000;3.997e-06;-4.403e-09;-2.500e-05;1.225e-10;0.000e+00;1.179e-03;3.989e-06;2.148e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.350e-01;-7.951e-01
30.031672000;3.998e-06;2.407e-09;-2.500e-05;-3.106e-09;0.000e+00;1.212e-03;3.989e-06;1.120e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.287e-01;-8.406e-01
30.033976000;4.000e-06;4.862e-09;-2.500e-05;-3.421e-09;0.000e+00;1.232e-03;3.990e-06;1.939e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.248e-01;-8.688e-01
30.037663000;4.001e-06;4.888e-09;-2.500e-05;-1.358e-09;0.000e+00;1.261e-03;3.995e-06;3.148e-09;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.194e-01;-9.077e-01
30.040658000;4.000e-06;2.639e-09;-2.500e-05;-3.347e-10;0.000e+00;1.282e-03;3.996e-06;9.859e-10;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.157e-01;-9.345e-01
30.043469000;4.000e-06;9.902e-10;-2.500e-05;-1.173e-09;0.000e+00;1.299e-03;3.997e-06;-5.267e-10;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.127e-01;-9.562e-01
30.044713000;4.000e-06;8.169e-11;-2.500e-05;-1.808e-09;0.000e+00;1.306e-03;3.998e-06;-6.379e-10;-1.000e-06;1.000e+01;8.333e-01;6.920e-04;6.920e-04;7.115e-01;-9.648e-01
