time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.044e+00;8.332e-01;-8.907e-09;7.978e-01;-5.572e-10;1.044e+00;7.978e-01;6.702e-04;1.044e+00;3.333e-02;8.148e-09;1.000e+01;8.333e-01;6.920e-04
29.999994000;1.044e+00;8.332e-01;2.851e-10;7.978e-01;-4.493e-09;1.044e+00;7.978e-01;6.702e-04;1.044e+00;3.333e-02;2.130e-09;1.000e+01;8.333e-01;6.920e-04
29.999994000;4.665e-01;1.497e-01;-2.224e+00;3.210e-01;-4.768e+00;4.665e-01;7.978e-01;1.500e-03;4.665e-01;5.990e-03;-8.897e-02;1.000e+01;8.333e-01;6.920e-04
30.000122000;4.665e-01;1.497e-01;-2.224e+00;3.210e-01;-4.768e+00;4.665e-01;7.978e-01;1.447e-03;4.665e-01;5.990e-03;-8.897e-02;1.000e+01;8.333e-01;6.920e-04
30.000890000;4.666e-01;1.502e-01;-2.224e+00;3.218e-01;-4.768e+00;4.666e-01;7.986e-01;2.358e-03;4.666e-01;6.006e-03;-8.897e-02;1.000e+01;8.333e-01;6.920e-04
30.001787000;4.667e-01;1.513e-01;-2.224e+00;3.242e-01;-4.766e+00;4.667e-01;8.012e-01;5.463e-03;4.667e-01;6.053e-03;-8.898e-02;1.000e+01;8.333e-01;6.920e-04
30.001907000;4.668e-01;1.515e-01;-2.225e+00;3.247e-01;-4.766e+00;4.668e-01;8.017e-01;6.052e-03;4.668e-01;6.062e-03;-8.898e-02;1.000e+01;8.333e-01;6.920e-04
30.002739000;4.671e-01;1.534e-01;-2.225e+00;3.284e-01;-4.763e+00;4.671e-01;8.058e-01;1.279e-02;4.671e-01;6.136e-03;-8.900e-02;1.000e+01;8.333e-01;6.920e-04
30.002931000;4.672e-01;1.539e-01;-2.225e+00;3.294e-01;-4.762e+00;4.673e-01;8.069e-01;1.493e-02;4.672e-01;6.156e-03;-8.900e-02;1.000e+01;8.333e-01;6.920e-04
30.002995000;4.673e-01;1.541e-01;-2.225e+00;3.297e-01;-4.762e+00;4.673e-01;8.073e-01;1.567e-02;4.673e-01;6.163e-03;-8.900e-02;1.000e+01;8.333e-01;6.920e-04
