time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;5.406e-10;8.332e-01;6.658e-09;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;2.250e-09;1.000e+01;8.335e-01;2.777e-03
29.999994000;1.000e+00;8.332e-01;5.044e-09;8.332e-01;-3.908e-09;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;3.211e-09;1.000e+01;8.335e-01;2.777e-03
29.999994000;1.001e-06;2.891e-09;5.136e-09;-2.216e-09;-3.849e-09;3.359e-03;8.187e-02;8.261e-01;1.008e-06;-2.528e-09;3.088e-09;1.000e+01;8.335e-01;2.777e-03
30.000122000;1.001e-06;4.062e-09;5.926e-09;-4.470e-09;-3.505e-09;3.359e-03;8.186e-02;8.261e-01;1.010e-06;-1.367e-09;1.931e-09;1.000e+01;8.335e-01;2.777e-03
30.000512000;1.000e-06;4.456e-09;6.304e-09;-5.447e-09;-3.607e-09;3.362e-03;8.181e-02;8.329e-01;1.010e-06;-9.921e-10;1.455e-09;1.000e+01;8.335e-01;2.777e-03
30.001088000;9.962e-07;3.631e-09;5.970e-09;-6.835e-09;-4.397e-09;3.369e-03;8.162e-02;8.310e-01;1.006e-06;-2.404e-10;2.666e-09;1.000e+01;8.335e-01;2.777e-03
30.003564000;1.002e-06;-4.714e-10;1.880e-10;-1.443e-09;-2.682e-10;3.466e-03;8.655e-02;8.583e-01;9.959e-07;-1.886e-09;3.799e-09;1.000e+01;8.335e-01;2.777e-03
30.009980000;9.945e-07;-3.968e-09;1.277e-09;-8.642e-10;-3.773e-10;3.592e-03;9.049e-02;8.840e-01;9.995e-07;6.657e-09;5.516e-09;1.000e+01;8.335e-01;2.777e-03
30.015868000;9.998e-07;-6.140e-09;-1.641e-09;3.694e-10;3.390e-09;3.846e-03;9.749e-02;9.489e-01;1.004e-06;6.263e-09;4.892e-09;1.000e+01;8.335e-01;2.777e-03
30.049430000;2.005e-06;-5.182e-09;4.533e-11;-1.826e-09;-7.216e-10;4.930e-03;1.268e-01;1.217e+00;2.007e-06;3.646e-09;-5.991e-09;1.000e+01;8.335e-01;2.777e-03
30.049942000;2.005e-06;-5.178e-09;6.213e-12;-1.586e-09;-6.469e-10;4.937e-03;1.266e-01;1.220e+00;2.006e-06;3.726e-09;-6.144e-09;1.000e+01;8.335e-01;2.777e-03
30.067952000;2.003e-06;-1.897e-09;-1.137e-09;2.949e-09;1.766e-09;5.115e-03;1.271e-01;1.261e+00;2.005e-06;-4.774e-09;2.437e-09;1.000e+01;8.335e-01;2.777e-03
30.076144000;2.004e-06;3.089e-09;-2.914e-09;3.777e-10;2.763e-09;5.158e-03;1.309e-01;1.275e+00;2.002e-06;-3.411e-09;9.020e-10;1.000e+01;8.335e-01;2.777e-03
30.129296000;1.000e-06;4.288e-09;-1.063e-09;-2.559e-08;7.909e-09;5.235e-03;1.337e-01;1.294e+00;1.003e-06;6.678e-09;1.751e-09;1.000e+01;8.335e-01;2.777e-03
30.149994000;9.966e-07;1.928e-09;-1.829e-09;-1.163e-07;4.993e-10;5.239e-03;1.336e-01;1.293e+00;1.005e-06;-5.772e-10;-2.813e-09;1.000e+01;8.335e-01;2.777e-03
30.149994000;1.207e+00;1.347e+00;8.052e-01;1.115e+00;6.669e-01;1.210e+00;1.113e+00;6.708e-01;1.207e+00;5.386e-02;3.221e-02;1.000e+01;8.335e-01;2.777e-03
30.150940000;1.311e+00;1.188e+00;1.211e+00;9.065e-01;9.241e-01;1.315e+00;9.042e-01;9.263e-01;1.311e+00;4.753e-02;4.845e-02;1.000e+01;8.335e-01;2.777e-03
30.151754000;1.342e+00;1.086e+00;1.344e+00;8.091e-01;1.001e+00;1.346e+00;8.070e-01;1.003e+00;1.342e+00;4.343e-02;5.374e-02;1.000e+01;8.335e-01;2.777e-03
30.152683000;1.358e+00;1.024e+00;1.413e+00;7.545e-01;1.041e+00;1.362e+00;7.525e-01;1.042e+00;1.358e+00;4.098e-02;5.654e-02;1.000e+01;8.335e-01;2.777e-03
30.154140000;1.367e+00;9.874e-01;1.456e+00;7.222e-01;1.065e+00;1.372e+00;7.203e-01;1.066e+00;1.367e+00;3.949e-02;5.823e-02;1.000e+01;8.335e-01;2.777e-03
30.154198000;1.367e+00;9.866e-01;1.457e+00;7.216e-01;1.065e+00;1.372e+00;7.197e-01;1.067e+00;1.367e+00;3.947e-02;5.826e-02;1.000e+01;8.335e-01;2.777e-03
30.155235000;1.370e+00;9.782e-01;1.467e+00;7.142e-01;1.071e+00;1.374e+00;7.123e-01;1.072e+00;1.370e+00;3.913e-02;5.867e-02;1.000e+01;8.335e-01;2.777e-03
30.155544000;1.370e+00;9.768e-01;1.469e+00;7.131e-01;1.072e+00;1.375e+00;7.112e-01;1.073e+00;1.370e+00;3.907e-02;5.874e-02;1.000e+01;8.335e-01;2.777e-03
30.155608000;1.370e+00;9.768e-01;1.469e+00;7.130e-01;1.072e+00;1.375e+00;7.111e-01;1.073e+00;1.370e+00;3.907e-02;5.875e-02;1.000e+01;8.335e-01;2.777e-03
30.155864000;1.370e+00;9.770e-01;1.469e+00;7.132e-01;1.072e+00;1.375e+00;7.113e-01;1.073e+00;1.370e+00;3.908e-02;5.875e-02;1.000e+01;8.335e-01;2.777e-03
30.156056000;1.370e+00;9.779e-01;1.468e+00;7.140e-01;1.072e+00;1.374e+00;7.121e-01;1.073e+00;1.370e+00;3.912e-02;5.871e-02;1.000e+01;8.335e-01;2.777e-03
30.156820000;1.367e+00;9.836e-01;1.457e+00;7.193e-01;1.065e+00;1.372e+00;7.174e-01;1.067e+00;1.367e+00;3.934e-02;5.827e-02;1.000e+01;8.335e-01;2.777e-03
30.159367000;1.346e+00;9.992e-01;1.350e+00;7.426e-01;1.004e+00;1.350e+00;7.406e-01;1.005e+00;1.346e+00;3.997e-02;5.402e-02;1.000e+01;8.335e-01;2.777e-03
30.162200000;1.300e+00;9.967e-01;1.134e+00;7.666e-01;8.723e-01;1.304e+00;7.648e-01;8.739e-01;1.300e+00;3.987e-02;4.537e-02;1.000e+01;8.335e-01;2.777e-03
30.165240000;1.253e+00;9.742e-01;9.212e-01;7.774e-01;7.351e-01;1.256e+00;7.757e-01;7.369e-01;1.253e+00;3.897e-02;3.685e-02;1.000e+01;8.335e-01;2.777e-03
30.165752000;1.246e+00;9.692e-01;8.880e-01;7.781e-01;7.129e-01;1.249e+00;7.765e-01;7.146e-01;1.246e+00;3.877e-02;3.552e-02;1.000e+01;8.335e-01;2.777e-03
30.166631000;1.233e+00;9.601e-01;8.327e-01;7.788e-01;6.755e-01;1.236e+00;7.772e-01;6.773e-01;1.233e+00;3.840e-02;3.331e-02;1.000e+01;8.335e-01;2.777e-03
30.170727000;1.178e+00;9.149e-01;6.065e-01;7.764e-01;5.147e-01;1.181e+00;7.751e-01;5.166e-01;1.178e+00;3.660e-02;2.426e-02;1.000e+01;8.335e-01;2.777e-03
30.175591000;1.125e+00;8.652e-01;4.001e-01;7.693e-01;3.557e-01;1.126e+00;7.684e-01;3.578e-01;1.125e+00;3.461e-02;1.600e-02;1.000e+01;8.335e-01;2.777e-03
30.180967000;1.079e+00;8.230e-01;2.369e-01;7.630e-01;2.196e-01;1.080e+00;7.624e-01;2.217e-01;1.079e+00;3.292e-02;9.474e-03;1.000e+01;8.335e-01;2.777e-03
30.181223000;1.077e+00;8.214e-01;2.305e-01;7.628e-01;2.140e-01;1.078e+00;7.622e-01;2.161e-01;1.077e+00;3.286e-02;9.219e-03;1.000e+01;8.335e-01;2.777e-03
30.183783000;1.060e+00;8.067e-01;1.729e-01;7.614e-01;1.632e-01;1.061e+00;7.609e-01;1.653e-01;1.060e+00;3.227e-02;6.916e-03;1.000e+01;8.335e-01;2.777e-03
30.184039000;1.058e+00;8.055e-01;1.677e-01;7.613e-01;1.585e-01;1.059e+00;7.609e-01;1.607e-01;1.058e+00;3.222e-02;6.708e-03;1.000e+01;8.335e-01;2.777e-03
30.184295000;1.056e+00;8.042e-01;1.626e-01;7.612e-01;1.539e-01;1.057e+00;7.608e-01;1.561e-01;1.056e+00;3.217e-02;6.504e-03;1.000e+01;8.335e-01;2.777e-03
30.187623000;1.038e+00;7.904e-01;1.043e-01;7.613e-01;1.005e-01;1.039e+00;7.610e-01;1.027e-01;1.038e+00;3.162e-02;4.174e-03;1.000e+01;8.335e-01;2.777e-03
30.187994000;1.036e+00;7.892e-01;9.873e-02;7.614e-01;9.525e-02;1.037e+00;7.611e-01;9.745e-02;1.036e+00;3.157e-02;3.949e-03;1.000e+01;8.335e-01;2.777e-03
30.189769000;1.029e+00;7.842e-01;7.500e-02;7.622e-01;7.290e-02;1.029e+00;7.620e-01;7.514e-02;1.029e+00;3.137e-02;3.000e-03;1.000e+01;8.335e-01;2.777e-03
30.193918000;1.016e+00;7.783e-01;3.700e-02;7.658e-01;3.641e-02;1.017e+00;7.657e-01;3.870e-02;1.016e+00;3.113e-02;1.480e-03;1.000e+01;8.335e-01;2.777e-03
30.195577000;1.013e+00;7.776e-01;2.682e-02;7.678e-01;2.649e-02;1.013e+00;7.677e-01;2.880e-02;1.013e+00;3.110e-02;1.073e-03;1.000e+01;8.335e-01;2.777e-03
30.195929000;1.012e+00;7.775e-01;2.495e-02;7.682e-01;2.465e-02;1.013e+00;7.682e-01;2.699e-02;1.012e+00;3.110e-02;9.980e-04;1.000e+01;8.335e-01;2.777e-03
30.195945000;1.012e+00;7.775e-01;2.485e-02;7.682e-01;2.455e-02;1.012e+00;7.682e-01;2.689e-02;1.012e+00;3.110e-02;9.940e-04;1.000e+01;8.335e-01;2.777e-03
30.202329000;1.004e+00;7.809e-01;3.350e-03;7.776e-01;3.335e-03;1.005e+00;7.776e-01;5.748e-03;1.004e+00;3.124e-02;1.340e-04;1.000e+01;8.335e-01;2.777e-03
30.203609000;1.003e+00;7.823e-01;1.075e-03;7.796e-01;1.071e-03;1.004e+00;7.796e-01;3.512e-03;1.003e+00;3.129e-02;4.300e-05;1.000e+01;8.335e-01;2.777e-03
30.214593000;1.000e+00;7.968e-01;-5.900e-03;7.967e-01;-5.899e-03;1.000e+00;7.967e-01;-3.348e-03;1.000e+00;3.187e-02;-2.360e-04;1.000e+01;8.335e-01;2.777e-03
30.215054000;1.000e+00;7.975e-01;-5.925e-03;7.974e-01;-5.924e-03;1.000e+00;7.974e-01;-3.374e-03;1.000e+00;3.190e-02;-2.370e-04;1.000e+01;8.335e-01;2.777e-03
30.215976000;1.000e+00;7.987e-01;-5.950e-03;7.987e-01;-5.950e-03;1.000e+00;7.987e-01;-3.374e-03;1.000e+00;3.195e-02;-2.380e-04;1.000e+01;8.335e-01;2.777e-03
30.235408000;9.996e-01;8.184e-01;-3.600e-03;8.186e-01;-3.601e-03;1.000e+00;8.186e-01;-9.250e-04;9.996e-01;3.273e-02;-1.440e-04;1.000e+01;8.335e-01;2.777e-03
30.240408000;9.996e-01;8.215e-01;-3.100e-03;8.217e-01;-3.101e-03;1.000e+00;8.218e-01;-4.000e-04;9.996e-01;3.286e-02;-1.240e-04;1.000e+01;8.335e-01;2.777e-03
30.248408000;9.996e-01;8.252e-01;-2.550e-03;8.255e-01;-2.551e-03;9.999e-01;8.255e-01;1.750e-04;9.996e-01;3.301e-02;-1.020e-04;1.000e+01;8.335e-01;2.777e-03
30.249408000;9.996e-01;8.256e-01;-2.500e-03;8.259e-01;-2.501e-03;9.999e-01;8.259e-01;2.250e-04;9.996e-01;3.302e-02;-9.999e-05;1.000e+01;8.335e-01;2.777e-03
30.257408000;9.995e-01;8.280e-01;-2.200e-03;8.284e-01;-2.201e-03;9.999e-01;8.284e-01;5.501e-04;9.995e-01;3.312e-02;-8.800e-05;1.000e+01;8.335e-01;2.777e-03
30.335408000;9.994e-01;8.331e-01;-1.775e-03;8.337e-01;-1.776e-03;9.997e-01;8.336e-01;1.000e-03;9.994e-01;3.333e-02;-7.100e-05;1.000e+01;8.335e-01;2.777e-03
30.339408000;9.994e-01;8.332e-01;-1.775e-03;8.337e-01;-1.776e-03;9.997e-01;8.337e-01;1.000e-03;9.994e-01;3.333e-02;-7.100e-05;1.000e+01;8.335e-01;2.777e-03
30.362408000;9.994e-01;8.332e-01;-1.775e-03;8.338e-01;-1.776e-03;9.997e-01;8.337e-01;1.025e-03;9.994e-01;3.333e-02;-7.100e-05;1.000e+01;8.335e-01;2.777e-03
30.372408000;9.994e-01;8.332e-01;-1.775e-03;8.338e-01;-1.776e-03;9.997e-01;8.338e-01;1.025e-03;9.994e-01;3.333e-02;-7.100e-05;1.000e+01;8.335e-01;2.777e-03
100.000000000;1.000e+00;8.332e-01;1.376e-09;8.332e-01;-3.233e-10;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;-8.209e-10;1.000e+01;8.335e-01;2.777e-03
