time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.986e-01;8.348e-01;-4.416e-01;1.000e+00;3.333e-02;-1.778e-02;1.000e+01;8.336e-01;-4.409e-01
0.000001000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.986e-01;8.348e-01;-4.416e-01;1.000e+00;3.333e-02;-1.778e-02;1.000e+01;8.336e-01;-4.409e-01
29.999994000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.986e-01;8.348e-01;-4.416e-01;1.000e+00;3.333e-02;-1.778e-02;1.000e+01;8.336e-01;-4.409e-01
29.999994000;9.964e-07;6.961e-10;-2.187e-10;3.037e-10;5.612e-09;3.806e-03;9.852e-02;9.392e-01;9.992e-07;5.667e-09;4.605e-09;1.000e+01;8.336e-01;-4.409e-01
30.000010000;9.954e-07;-4.672e-10;1.419e-09;1.932e-09;5.537e-09;3.806e-03;9.852e-02;9.392e-01;9.996e-07;5.527e-09;4.943e-09;1.000e+01;8.336e-01;-4.409e-01
30.000026000;9.953e-07;-7.029e-10;1.724e-09;2.229e-09;5.468e-09;3.807e-03;9.850e-02;9.391e-01;9.996e-07;5.462e-09;4.959e-09;1.000e+01;8.336e-01;-4.409e-01
30.000058000;9.952e-07;-9.346e-10;2.016e-09;2.512e-09;5.385e-09;3.807e-03;9.851e-02;9.391e-01;9.996e-07;5.388e-09;4.959e-09;1.000e+01;8.336e-01;-4.409e-01
30.000122000;9.952e-07;-1.159e-09;2.294e-09;2.782e-09;5.290e-09;3.808e-03;9.848e-02;9.388e-01;9.996e-07;5.308e-09;4.943e-09;1.000e+01;8.336e-01;-4.409e-01
30.000250000;9.952e-07;-1.374e-09;2.558e-09;3.039e-09;5.183e-09;3.809e-03;9.845e-02;9.386e-01;9.996e-07;5.222e-09;4.912e-09;1.000e+01;8.336e-01;-4.409e-01
30.000378000;9.952e-07;-1.576e-09;2.808e-09;3.282e-09;5.067e-09;3.810e-03;9.843e-02;9.383e-01;9.995e-07;5.132e-09;4.864e-09;1.000e+01;8.336e-01;-4.409e-01
30.000494000;9.953e-07;-1.761e-09;3.042e-09;3.510e-09;4.942e-09;3.812e-03;9.838e-02;9.379e-01;9.994e-07;5.041e-09;4.799e-09;1.000e+01;8.336e-01;-4.409e-01
30.000526000;9.961e-07;-2.426e-09;4.126e-09;4.550e-09;4.076e-09;3.812e-03;9.838e-02;9.379e-01;9.988e-07;4.576e-09;4.146e-09;1.000e+01;8.336e-01;-4.409e-01
30.000558000;9.963e-07;-2.463e-09;4.251e-09;4.685e-09;3.910e-09;3.812e-03;9.836e-02;9.377e-01;9.986e-07;4.524e-09;4.017e-09;1.000e+01;8.336e-01;-4.409e-01
30.000622000;9.965e-07;-2.483e-09;4.362e-09;4.811e-09;3.742e-09;3.813e-03;9.835e-02;9.441e-01;9.985e-07;4.479e-09;3.885e-09;1.000e+01;8.336e-01;-4.409e-01
30.000750000;9.967e-07;-2.485e-09;4.459e-09;4.928e-09;3.575e-09;3.814e-03;9.831e-02;9.438e-01;9.984e-07;4.440e-09;3.747e-09;1.000e+01;8.336e-01;-4.409e-01
30.000878000;9.969e-07;-2.470e-09;4.544e-09;5.033e-09;3.410e-09;3.816e-03;9.828e-02;9.434e-01;9.983e-07;4.409e-09;3.603e-09;1.000e+01;8.336e-01;-4.409e-01
30.001006000;9.971e-07;-2.437e-09;4.620e-09;5.125e-09;3.252e-09;3.816e-03;9.827e-02;9.434e-01;9.982e-07;4.387e-09;3.452e-09;1.000e+01;8.336e-01;-4.409e-01
30.001134000;9.973e-07;-2.386e-09;4.688e-09;5.204e-09;3.104e-09;3.817e-03;9.824e-02;9.431e-01;9.981e-07;4.373e-09;3.297e-09;1.000e+01;8.336e-01;-4.409e-01
30.001262000;9.974e-07;-2.318e-09;4.750e-09;5.271e-09;2.970e-09;3.817e-03;9.823e-02;9.430e-01;9.980e-07;4.370e-09;3.140e-09;1.000e+01;8.336e-01;-4.409e-01
30.001390000;9.976e-07;-2.232e-09;4.808e-09;5.327e-09;2.853e-09;3.819e-03;9.820e-02;9.428e-01;9.979e-07;4.377e-09;2.981e-09;1.000e+01;8.336e-01;-4.409e-01
30.001646000;9.980e-07;-2.004e-09;4.912e-09;5.411e-09;2.675e-09;3.819e-03;9.820e-02;9.428e-01;9.977e-07;4.415e-09;2.659e-09;1.000e+01;8.336e-01;-4.409e-01
30.001774000;9.981e-07;-1.864e-09;4.954e-09;5.440e-09;2.615e-09;3.819e-03;9.820e-02;9.427e-01;9.977e-07;4.444e-09;2.493e-09;1.000e+01;8.336e-01;-4.409e-01
30.001902000;9.983e-07;-1.706e-09;4.987e-09;5.462e-09;2.572e-09;3.820e-03;9.817e-02;9.424e-01;9.976e-07;4.475e-09;2.321e-09;1.000e+01;8.336e-01;-4.409e-01
30.002030000;9.984e-07;-1.532e-09;5.008e-09;5.478e-09;2.542e-09;3.820e-03;9.817e-02;9.425e-01;9.976e-07;4.507e-09;2.146e-09;1.000e+01;8.336e-01;-4.409e-01
30.002286000;9.987e-07;-1.144e-09;5.005e-09;5.496e-09;2.505e-09;3.820e-03;9.818e-02;9.425e-01;9.976e-07;4.557e-09;1.787e-09;1.000e+01;8.336e-01;-4.409e-01
30.002368000;9.989e-07;-9.311e-10;4.972e-09;5.501e-09;2.492e-09;3.819e-03;9.819e-02;9.426e-01;9.977e-07;4.568e-09;1.605e-09;1.000e+01;8.336e-01;-4.409e-01
30.002450000;9.991e-07;-7.067e-10;4.914e-09;5.502e-09;2.481e-09;3.820e-03;9.818e-02;9.425e-01;9.977e-07;4.565e-09;1.421e-09;1.000e+01;8.336e-01;-4.409e-01
30.002532000;9.993e-07;-4.719e-10;4.827e-09;5.500e-09;2.475e-09;3.819e-03;9.819e-02;9.426e-01;9.978e-07;4.545e-09;1.237e-09;1.000e+01;8.336e-01;-4.409e-01
30.002614000;9.994e-07;-2.281e-10;4.713e-09;5.493e-09;2.470e-09;3.819e-03;9.819e-02;9.427e-01;9.980e-07;4.505e-09;1.053e-09;1.000e+01;8.336e-01;-4.409e-01
30.002765000;9.996e-07;2.254e-11;4.571e-09;5.480e-09;2.467e-09;3.818e-03;9.823e-02;9.430e-01;9.981e-07;4.444e-09;8.693e-10;1.000e+01;8.336e-01;-4.409e-01
