time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;8.321e-09;7.979e-01;-2.367e-09;1.051e+00;1.044e+00;7.500e-01;-9.666e-09;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
20.000508000;1.044e+00;8.333e-01;-1.026e-09;7.979e-01;3.480e-09;1.051e+00;1.044e+00;7.500e-01;8.248e-10;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
20.001020000;1.044e+00;8.333e-01;2.221e-06;7.979e-01;2.131e-06;1.051e+00;1.044e+00;7.500e-01;2.001e-06;1.000e+01;8.083e-01;-2.061e-02;1.051e+00;5.000e+01;5.000e+01
20.006020000;1.044e+00;8.333e-01;5.889e-05;7.979e-01;5.638e-05;1.051e+00;1.044e+00;7.500e-01;5.300e-05;1.000e+01;8.083e-01;-2.067e-02;1.051e+00;5.000e+01;5.000e+01
20.007020000;1.044e+00;8.334e-01;7.778e-05;7.979e-01;7.447e-05;1.051e+00;1.044e+00;7.500e-01;7.000e-05;1.000e+01;8.083e-01;-2.068e-02;1.051e+00;5.000e+01;5.000e+01
20.008020000;1.044e+00;8.334e-01;9.889e-05;7.979e-01;9.468e-05;1.052e+00;1.044e+00;7.500e-01;8.900e-05;1.000e+01;8.083e-01;-2.070e-02;1.051e+00;5.000e+01;5.000e+01
20.011020000;1.044e+00;8.334e-01;1.711e-04;7.979e-01;1.638e-04;1.052e+00;1.044e+00;7.500e-01;1.540e-04;1.000e+01;8.083e-01;-2.077e-02;1.051e+00;5.000e+01;5.000e+01
20.012020000;1.045e+00;8.334e-01;1.978e-04;7.979e-01;1.894e-04;1.052e+00;1.045e+00;7.500e-01;1.780e-04;1.000e+01;8.083e-01;-2.080e-02;1.051e+00;5.000e+01;5.000e+01
20.013020000;1.045e+00;8.334e-01;2.256e-04;7.979e-01;2.159e-04;1.052e+00;1.045e+00;7.501e-01;2.030e-04;1.000e+01;8.083e-01;-2.082e-02;1.051e+00;5.000e+01;5.000e+01
20.014020000;1.045e+00;8.334e-01;2.544e-04;7.979e-01;2.436e-04;1.052e+00;1.045e+00;7.501e-01;2.290e-04;1.000e+01;8.083e-01;-2.085e-02;1.051e+00;5.000e+01;5.000e+01
