time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;-1.565e-08;7.979e-01;-9.526e-09;1.051e+00;1.045e+00;8.083e-01;2.061e-02;1.044e+00;7.500e-01;-2.203e-08;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.011496000;1.044e+00;8.333e-01;-3.894e-03;7.978e-01;-3.729e-03;1.050e+00;1.045e+00;8.083e-01;1.688e-02;1.044e+00;7.499e-01;-3.505e-03;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.029744000;1.044e+00;8.333e-01;-3.244e-03;7.979e-01;-3.106e-03;1.050e+00;1.045e+00;8.083e-01;1.751e-02;1.044e+00;7.500e-01;-2.920e-03;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.222536000;1.044e+00;8.333e-01;-1.018e-02;7.979e-01;-9.751e-03;1.048e+00;1.045e+00;8.084e-01;1.086e-02;1.044e+00;7.500e-01;-9.166e-03;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.296536000;1.044e+00;8.333e-01;-1.220e-02;7.979e-01;-1.168e-02;1.047e+00;1.045e+00;8.085e-01;8.938e-03;1.044e+00;7.500e-01;-1.098e-02;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.433534000;1.044e+00;8.333e-01;-1.509e-02;7.979e-01;-1.445e-02;1.047e+00;1.045e+00;8.085e-01;6.167e-03;1.044e+00;7.500e-01;-1.358e-02;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.719642000;1.044e+00;8.333e-01;-1.838e-02;7.979e-01;-1.760e-02;1.045e+00;1.045e+00;8.086e-01;3.026e-03;1.044e+00;7.500e-01;-1.654e-02;1.000e+01;1.045e+00;5.000e+01;5.000e+01
0.724642000;1.044e+00;8.333e-01;-1.841e-02;7.979e-01;-1.763e-02;1.045e+00;1.045e+00;8.086e-01;2.994e-03;1.044e+00;7.500e-01;-1.657e-02;1.000e+01;1.045e+00;5.000e+01;5.000e+01
1.121642000;1.044e+00;8.333e-01;-1.964e-02;7.979e-01;-1.880e-02;1.045e+00;1.045e+00;8.086e-01;1.821e-03;1.044e+00;7.500e-01;-1.767e-02;1.000e+01;1.045e+00;5.000e+01;5.000e+01
19.989996000;1.045e+00;8.335e-01;-1.998e-02;7.979e-01;-1.913e-02;1.045e+00;1.045e+00;8.086e-01;1.490e-03;1.045e+00;7.501e-01;-1.799e-02;1.000e+01;1.045e+00;5.000e+01;5.000e+01
